# Wordlist

# DATA
ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS	AUTOCOGID
10	1.6 3.0 1.0 1.3 3.0 1.0	lò:sí	lò:sí	- l oː ¹ - s i ⁵ ( - - - - - )	visitor, guest (from out of town)	24	l oː ¹ s i ⁵	lò:sí	0	5 7 8 3 7 8	8733	AXTBYT	24.L.C 24.U.V 24.6.T 24.S.C 24.I.V 24.6.T	visiteur, étranger (en visite)		Nanga	LU6SI6	!GUEST OR STRANGER		3
11	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	lò:sú-n	lò:sú-n	- l oː ¹ - s u ⁵ ( + - n - - )	visitor, guest (from out of town)	26	l oː ¹ s u ⁵ + n	lò:sú-n	0	5 7 8 3 7 8 9 4	8733	AXTBYT_A	26.L.C 26.U.V 26.6.T 26.S.C 26.Y.V 26.6.T 26._._ 26.N.C	visiteur, étranger (en visite)		Perge_Tegu	LU6SY6_N	!GUEST OR STRANGER		3
12	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	yérí-n	yérí-n	j e ⁵ r i ⁵ ( + n - - - - - - - )	visitor, guest (from out of town)	19	j e ⁵ r i ⁵ + n	yérí-n	0	6 7 8 5 7 8 9 4	8363	AXTBYT_A	19.J.C 19.E.V 19.6.T 19.R.C 19.I.V 19.6.T 19._._ 19.N.C	visiteur, étranger (en visite)		Gourou	JE6RI6_N	!GUEST OR STRANGER		9
13	1.6 3.0 1.0 1.3 3.0 1.1 1.0	yéríⁿ	yéríⁿ	j e ⁵ r ĩ ⁵ ( - ∼ - - - - - - - )	visitor, guest (from out of town)	32	j e ⁵ r ĩ ∼ ⁵	yéríⁿ	0	6 7 8 5 7 4 8	8363	AXTBYLT	32.J.C 32.E.V 32.6.T 32.R.C 32.I.V 32.9.c 32.6.T	visiteur, étranger (en visite)		Togo_Kan	JE6RI96	!GUEST OR STRANGER		9
14	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	yér-nɛ́	yér-nɛ́\\yérú-m	j e ⁵ r - - ( - n - ɛ ⁵ - - - - )	visitor, guest (from out of town)	37	j e ⁵ r + n ɛ ⁵	yér-nɛ́	0	6 7 8 5 9 4 7 8	8363	AXTN_AXT	37.J.C 37.E.V 37.6.T 37.R.c 37._._ 37.N.C 37.E.V 37.6.T	visiteur, étranger (en visite)		Yorno_So	JE6R_NE6	!GUEST OR STRANGER		26
15	1.6 3.0 1.0 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	yòùnjì-nɛ́	yòùnjì-nɛ́ \\ yòùnjǔ-m	j o ¹ - u ¹ ( - n dʒ i ¹ + n ɛ ⁵ )	visitor, guest (from out of town)	33	j o ¹ u ¹ n dʒ i ¹ + n ɛ ⁵	yòùnjì-nɛ́	0	6 7 8 7 8 4 1 7 8 9 4 7 8	8363	AXTYTMBYT_AXT	33.J.C 33.U.V 33.6.T 33.Y.V 33.6.T 33.N.c 33.T.C 33.I.V 33.6.T 33._._ 33.N.C 33.E.V 33.6.T	visiteur, étranger (en visite)		Tommo_So	JU6Y6NTI6_NE6	!GUEST OR STRANGER		23
16	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.5	yàrùwúl	yàrùwúl, bɛ̀mmɛ́	j a ¹ r u ¹ ( - w - u ⁵ - l - - )	visitor, guest (from out of town)	16	j a ¹ r u ¹ w u ⁵ l	yàrùwúl	0	6 7 8 5 7 8 6 7 8 5	8363	AXTBYTBYTN	16.J.C 16.A.V 16.6.T 16.R.C 16.Y.V 16.6.T 16.W.C 16.Y.V 16.6.T 16.L.c	visiteur, étranger (en visite)		Dogul_Dom	JA6RY6WY6L	!GUEST OR STRANGER		6
17	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	lògòdé:	lògòdé:\\lògòdù-mbó	l o ¹ ɡ o ¹ + d eː ⁵	visitor, guest (from out of town)	30	l o ¹ ɡ o ¹ d eː ⁵	lògòdé:	0	5 7 8 1 7 8 1 7 8	20	AXTBYTBYT	30.L.C 30.U.V 30.6.T 30.K.C 30.U.V 30.6.T 30.T.C 30.E.V 30.6.T	visiteur, étranger (en visite)		Tebul_Ure	LU6KU6TE6	!GUEST OR STRANGER		20
18	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	nò_nò:zù	nò nò:zù\\nò:zù-mù	n o ¹ n oː ¹ - z u ¹ - - -	visitor, guest (from out of town)	36	n o ¹ _ n oː ¹ z u ¹	nò_nò:zù	0	4 7 8 9 4 7 8 3 7 8	7	AXT_AXTBYT	36.N.C 36.U.V 36.6.T 36._._ 36.N.C 36.U.V 36.6.T 36.S.C 36.Y.V 36.6.T	visiteur, étranger (en visite)		Yanda_Dom	NU6_NU6SY6	!GUEST OR STRANGER		25
19	1.6 3.0 1.0 1.1 1.3 3.0 1.0	bèmbǎ:	bèmbǎ:\\bèmbà-mbó	b e ¹ m b aː ¹⁵	visitor, guest (from out of town)	23	b e ¹ m b aː ¹⁵	bèmbǎ:	0	1 7 8 4 1 7 8	8362	AXTMBYT	23.P.C 23.E.V 23.6.T 23.M.c 23.P.C 23.A.V 23.2.T	visiteur, étranger (en visite)		Najamba	PE6MPA2	!GUEST OR STRANGER		13
20	1.6 3.0 1.0 1.1 1.3 3.0 1.0	dó:njì	dó:njì	- d oː ⁵ n dʒ i ¹ ( - - - - - )	visitor, guest (from out of town)	15	d oː ⁵ n dʒ i ¹	dó:njì	0	1 7 8 4 1 7 8	8733	AXTMBYT	15.T.C 15.U.V 15.6.T 15.N.c 15.T.C 15.I.V 15.6.T	visiteur, étranger (en visite)		Bunoge	TU6NTI6	!GUEST OR STRANGER		5
21	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	wòɲjù-nɔ́	wòɲjù-nɔ́	- w o ¹ ɲ dʒ u ¹ ( + - n ɔ ⁵ )	visitor, guest (from out of town)	17	w o ¹ ɲ dʒ u ¹ + n ɔ ⁵	wòɲjù-nɔ́	0	6 7 8 4 1 7 8 9 4 7 8	8733	AXTMBYT_AXT	17.W.C 17.U.V 17.6.T 17.N.c 17.T.C 17.Y.V 17.6.T 17._._ 17.N.C 17.U.V 17.6.T	visiteur, étranger (en visite)		Donno_So	WU6NTY6_NU6	!GUEST OR STRANGER		7
22	1.6 3.0 1.0 1.3 3.0 1.0	bí:má	bí:má	b iː ⁵ m - a ⁵	visitor, guest (from out of town)	31	b iː ⁵ m a ⁵	bí:má	0	1 7 8 4 7 8	8362	AXTBYT	31.P.C 31.I.V 31.6.T 31.M.C 31.A.V 31.6.T	visiteur, étranger (en visite)		Tiranige_Diga	PI6MA6	!GUEST OR STRANGER		13
23	1.6 3.0 1.0 1.1 1.3 3.0 1.0	bì:mbà	bì:mbà	b iː ¹ m b a ¹	visitor, guest (from out of town)	25	b iː ¹ m b a ¹	bì:mbà	0	1 7 8 4 1 7 8	8362	AXTMBYT	25.P.C 25.I.V 25.6.T 25.M.c 25.P.C 25.A.V 25.6.T	visiteur, étranger (en visite)		Penange	PI6MPA6	!GUEST OR STRANGER		13
24	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	gìlà-gílí	gìlà gílí	ɡ i ¹ l a ¹ + ɡ i ⁵ l i ⁵	visitor, guest (from out of town)	22	ɡ i ¹ l a ¹ + ɡ i ⁵ l i ⁵	gìlà-gílí	0	1 7 8 5 7 8 9 1 7 8 5 7 8	6	AXTBYT_AXTBYT	22.K.C 22.I.V 22.6.T 22.L.C 22.A.V 22.6.T 22._._ 22.K.C 22.I.V 22.6.T 22.L.C 22.I.V 22.6.T	visiteur, étranger (en visite)		Mombo	KI6LA6_KI6LI6	!GUEST OR STRANGER		12
25	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	yérí-n	yérí-n	j e ⁵ r i ⁵ ( + n - - - - - - - )	visitor, guest (from out of town)	20	j e ⁵ r i ⁵ + n	yérí-n	0	6 7 8 5 7 8 9 4	8363	AXTBYT_A	20.J.C 20.E.V 20.6.T 20.R.C 20.I.V 20.6.T 20._._ 20.N.C	visiteur, étranger (en visite)		Jamsay	JE6RI6_N	!GUEST OR STRANGER		9
26	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 0.7	lòsù-rⁿu	lòsù-rⁿu	- l o ¹ - s u ¹ ( + r̃ ∼ u ⁵ )	visitor, guest (from out of town)	35	l o ¹ s u ¹ + r̃ ∼ u	lòsù-rⁿu	0	5 7 8 3 7 8 9 5 4 7	8733	AXTBYT_ACZ	35.L.C 35.U.V 35.6.T 35.S.C 35.Y.V 35.6.T 35._._ 35.R.C 35.9.C 35.Y.V	visiteur, étranger (en visite)		Toro_Tegu	LU6SY6_R9Y	!GUEST OR STRANGER		3
#
51	1.6 3.0 1.1 1.0 1.3 3.0 1.0	bɛ́ⁿbá	bɛ́ⁿbá	b ɛ ⁵ ∼ b a ⁵	get old, age (verb)	2	b ɛ ∼ ⁵ b a ⁵	bɛ́ⁿbá	0	1 7 4 8 1 7 8	49	AXLTBYT	2.P.C 2.E.V 2.9.c 2.6.T 2.P.C 2.A.V 2.6.T	aïeul, ancêtre	1669	Bambara	PE96PA6	ANCESTORS		27
52	1.6 3.0 1.0	kàà	kàà	k aː ¹ - - -	ancestor	27	k aː ¹	kàà	0	1 7 8	50	AXT	27.K.C 27.A.V 27.6.T	ancêtre	1669	Songhai_Kiini	KA6	ANCESTORS		34
53	1.6 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	ńdá_kúnjù	ńdá kúnjù	n ⁵ d a ⁵ _ k u ⁵ n dʒ u ¹	ancestor	22	n ⁵ d a ⁵ _ k u ⁵ n dʒ u ¹	ńdá_kúnjù	0	4 8 1 7 8 9 1 7 8 4 1 7 8	53	ATBYT_AXTMBYT	22.N.C 22.6.T 22.T.C 22.A.V 22.6.T 22._._ 22.K.C 22.Y.V 22.6.T 22.N.c 22.T.C 22.Y.V 22.6.T	ancêtre	1669	Mombo	N6TA6_KY6NTY6	ANCESTORS		31
54	1.6 3.0 1.0 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	mɔ̀ɛ̀-mì-nɛ́	ǹdɛ̀ émmé mɔ̀ɛ̀-mì-nɛ́	m ɔ ¹ ɛ ¹ + m i ¹ + n ɛ ⁵	ancestor	33	m ɔ ¹ ɛ ¹ + m i ¹ + n ɛ ⁵	mɔ̀ɛ̀-mì-nɛ́	0	4 7 8 7 8 9 4 7 8 9 4 7 8	59	AXTYT_AXT_AXT	33.M.C 33.U.V 33.6.T 33.E.V 33.6.T 33._._ 33.M.C 33.I.V 33.6.T 33._._ 33.N.C 33.E.V 33.6.T	ancêtre	1669	Tommo_So	MU6E6_MI6_NE6	ANCESTORS		37
55	1.6 3.0 1.0 1.3 3.0 1.0	dùgú	nù: dùgí\\dùgú	d u ¹ ɡ u ⁵	ancestor	24	d u ¹ ɡ u ⁵	dùgú	0	1 7 8 1 7 8	54	AXTBYT	24.T.C 24.Y.V 24.6.T 24.K.C 24.Y.V 24.6.T	ancêtre	1669	Nanga	TY6KY6	ANCESTORS		32
56	1.6 3.0 1.0 1.3 3.0 1.0	tɛ̀ná	tɛ̀ná\\mǎ:	t ɛ ¹ n a ⁵	ancestor	35	t ɛ ¹ n a ⁵	tɛ̀ná	0	1 7 8 4 7 8	55	AXTBYT	35.T.C 35.E.V 35.6.T 35.N.C 35.A.V 35.6.T	ancêtre	1669	Toro_Tegu	TE6NA6	ANCESTORS		38
57	1.6 3.0 1.0 1.3 3.0 1.0	tírɛ́	tírɛ́	t i ⁵ r ɛ ⁵	ancestor	37	t i ⁵ r ɛ ⁵	tírɛ́	0	1 7 8 5 7 8	55	AXTBYT	37.T.C 37.I.V 37.6.T 37.R.C 37.E.V 37.6.T	ancêtre	1669	Yorno_So	TI6RE6	ANCESTORS		33
58	1.6 3.0 1.0 1.3 3.0 1.0	tìrɛ́	tìrɛ́	t i ¹ r ɛ ⁵	ancestor	26	t i ¹ r ɛ ⁵	tìrɛ́	0	1 7 8 5 7 8	55	AXTBYT	26.T.C 26.I.V 26.6.T 26.R.C 26.E.V 26.6.T	ancêtre	1669	Perge_Tegu	TI6RE6	ANCESTORS		33
59	1.6 3.0 1.0 1.3 3.0 1.0	tìrɛ́	tìrɛ́	t i ¹ r ɛ ⁵	ancestor	32	t i ¹ r ɛ ⁵	tìrɛ́	0	1 7 8 5 7 8	55	AXTBYT	32.T.C 32.I.V 32.6.T 32.R.C 32.E.V 32.6.T	ancêtre	1669	Togo_Kan	TI6RE6	ANCESTORS		33
60	2.0 1.5 1.3 1.3 1.75 1.3 1.75 1.3 0.8 0.0 2.0 1.5 0.8	njaatiraa-ɗoo	njaatiraaɗoo	n dʒ a: t i r a: + ɗ o:	ancestor	18	n dʒ a a t i r a a + ɗ o o	njaatiraa-ɗoo	0	4 1 7 7 1 7 5 7 7 9 1 7 7	52	ACYYBYBYZ_AXZ	18.N.C 18.T.C 18.A.V 18.A.V 18.T.C 18.I.V 18.R.C 18.A.V 18.A.V 18._._ 18.T.C 18.U.V 18.U.V	ancêtre	1669	Fulfulde	NTAATIRAA_TUU	ANCESTORS		30
61	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kùmbó	kùmbó	k u ¹ m b o ⁵	ancestor	5	k u ¹ m b o ⁵	kùmbó	0	1 7 8 4 1 7 8	51	AXTMBYT	5.K.C 5.Y.V 5.6.T 5.M.c 5.P.C 5.U.V 5.6.T	ancêtre	1669	Ben_Tey	KY6MPU6	ANCESTORS		29
62	1.6 3.0 1.0 1.3 3.0 1.0	kà:gè	kà:jè ~ kà:gè	k aː ¹ ɡ e ¹	[n inal] grandmother, grandfather	28	k aː ¹ ɡ e ¹	kà:gè	0	1 7 8 1 7 8	50	AXTBYT	28.K.C 28.A.V 28.6.T 28.K.C 28.E.V 28.6.T	grand-mère, grand-père	1669	Songhai_Senni	KA6KE6	ANCESTORS		34
63	1.6 3.0 1.0 0.5	kāàⁿ	kāàⁿ	k ãː ³¹ ∼ - -	old person; parent(s); ancestor(s)	3	k ãː ³¹ ∼	kāàⁿ	0	1 7 8 4	50	AXTN	3.K.C 3.A.V 3.3.T 3.9.c	vieille personne; parent(s) (père, mère); ancêtre(s)	1669	Bangime	KA39	ANCESTORS	SONG	28
9640	1.6 3.0 1.0	kà:	kà: 3 / kà-ǎ:, kày-ěy	k aː ¹ - - -	[n] ancestor	27	k aː ¹	kà:	0	1 7 8	50	AXT	27.K.C 27.A.V 27.6.T	ancêtre [grandparental generation or earlier; *kà:gà]	1669	Songhai_Kiini	KA6	ANCESTORS		34
#
64	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	jíríbɛ̀	jíríbɛ̀	j i ⁵ r i ⁵ b ɛ ¹	animal	3	dʒ i ⁵ r i ⁵ b ɛ ¹	jíríbɛ̀	0	1 7 8 5 7 8 1 7 8	8475	AXTBYTBYT	3.T.C 3.I.V 3.6.T 3.R.C 3.I.V 3.6.T 3.P.C 3.E.V 3.6.T	animal	619	Bangime	TI6RI6PE6	ANIMAL		40
65	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	biraⁿteu	biraⁿteu	b i r ã ∼ + t e u	animal	8	b i r ã ∼ t e u	biraⁿteu	0	1 7 5 7 4 1 7 7	64	AXBYMBYZ	8.P.C 8.I.V 8.R.C 8.A.V 8.9.c 8.T.C 8.E.V 8.Y.V	animal	619	Bozo_Korondougou_nord	PIRA9TEY	ANIMAL		43
66	2.0 1.5 1.1 1.75 0.8	koⁿoⁿbo	koⁿoⁿbo	k oː - ∼ b o -	animal	13	k oː ∼ b o	koⁿoⁿbo	0	1 7 4 1 7	66	AXMBZ	13.K.C 13.U.V 13.9.c 13.P.C 13.U.V	animal	619	Bozo_Tiema_Cewe	KU9PU	ANIMAL		44
67	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	àrùzàká	àrùzàká	- a ¹ r u ¹ z a ¹ k a ⁵	domestic animal (esp. livestock)	35	a ¹ r u ¹ z a ¹ k a ⁵	àrùzàká	0	7 8 5 7 8 3 7 8 1 7 8	304	XTBYTBYTBYT	35.A.V 35.6.T 35.R.C 35.Y.V 35.6.T 35.S.C 35.A.V 35.6.T 35.K.C 35.A.V 35.6.T	animal domestique (surtout bétail)	619	Toro_Tegu	A6RY6SA6KA6	ANIMAL		49
68	3.0 1.0 1.1 1.3 3.0 1.0	àrsɛ̌:	àrsɛ̌:-m	- a ¹ r - - s ɛː !¹⁵ - - -	domestic animal (esp. livestock)	5	a ¹ r s ɛː ¹⁵	àrsɛ̌:	0	7 8 5 3 7 8	304	XTMBYT	5.A.V 5.6.T 5.R.c 5.S.C 5.E.V 5.2.T	animal domestique (surtout bétail)	619	Ben_Tey	A6RSE2	ANIMAL		42
69	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	dá:bà-m	jáwdì-m	d aː ⁵ b - ( - ) a ¹ + m	domestic animal (esp. livestock)	4	d aː ⁵ b a ¹ + m	dá:bà-m	0	1 7 8 1 7 8 9 4	61	AXTBYT_A	4.T.C 4.A.V 4.6.T 4.P.C 4.A.V 4.6.T 4._._ 4.M.C	animal domestique (surtout bétail)	619	Bankan_Tey	TA6PA6_M	ANIMAL	FUL/AR	41
70	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	gàsɛ̀gɛ́	gàsɛ̀gɛ́	ɡ a ¹ - - - s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	24	ɡ a ¹ s ɛ ¹ ɡ ɛ ⁵	gàsɛ̀gɛ́	0	1 7 8 3 7 8 1 7 8	304	AXTBYTBYT	24.K.C 24.A.V 24.6.T 24.S.C 24.E.V 24.6.T 24.K.C 24.E.V 24.6.T	animal domestique (surtout bétail)	619	Nanga	KA6SE6KE6	ANIMAL		49
71	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	àsɛ̀gɛ́	àsɛ̀gɛ́	- a ¹ - - - s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	26	a ¹ s ɛ ¹ ɡ ɛ ⁵	àsɛ̀gɛ́	0	7 8 3 7 8 1 7 8	304	XTBYTBYT	26.A.V 26.6.T 26.S.C 26.E.V 26.6.T 26.K.C 26.E.V 26.6.T	animal domestique (surtout bétail)	619	Perge_Tegu	A6SE6KE6	ANIMAL		49
72	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.3 3.0 1.0	gàrsɛ̀gɛ́	gàrsɛ̀gɛ́	ɡ a ¹ r - - s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	19	ɡ a ¹ r s ɛ ¹ ɡ ɛ ⁵	gàrsɛ̀gɛ́	0	1 7 8 5 3 7 8 1 7 8	304	AXTMBYTBYT	19.K.C 19.A.V 19.6.T 19.R.c 19.S.C 19.E.V 19.6.T 19.K.C 19.E.V 19.6.T	animal domestique (surtout bétail)	619	Gourou	KA6RSE6KE6	ANIMAL		49
73	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	gìrⁿí_árúsɛ̀gɛ̀	gìrⁿí árúsɛ̀gɛ̀	- a !⁵ r u ⁵ s ɛ ¹ ɡ ɛ ¹	domestic animal (esp. livestock)	32	ɡ i ¹ r̃ ∼ i ⁵ _ a ⁵ r u ⁵ s ɛ ¹ ɡ ɛ ¹	gìrⁿí_árúsɛ̀gɛ̀	0	1 7 8 5 4 7 8 9 7 8 5 7 8 3 7 8 1 7 8	304	AXTMBYT_XTBYTBYTBYT	32.K.C 32.I.V 32.6.T 32.R.c 32.9.C 32.I.V 32.6.T 32._._ 32.A.V 32.6.T 32.R.C 32.Y.V 32.6.T 32.S.C 32.E.V 32.6.T 32.K.C 32.E.V 32.6.T	animal domestique (surtout bétail)	619	Togo_Kan	KI6R9I6_A6RY6SE6KE6	ANIMAL		61
74	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	àrùsɛ̀gɛ́	àrùsɛ̀gɛ́	- a ¹ r u ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	37	a ¹ r u ¹ s ɛ ¹ ɡ ɛ ⁵	àrùsɛ̀gɛ́	0	7 8 5 7 8 3 7 8 1 7 8	304	XTBYTBYTBYT	37.A.V 37.6.T 37.R.C 37.Y.V 37.6.T 37.S.C 37.E.V 37.6.T 37.K.C 37.E.V 37.6.T	animal domestique (surtout bétail)	619	Yorno_So	A6RY6SE6KE6	ANIMAL		49
75	1.6 3.0 1.0 1.3 3.0 1.0	bɛ̀lú	gìnɛ̀-ý bɛ̀lù	( - - - - - - - ) b ɛ ¹ l u ⁵ ( - - - )	domestic animal (esp. livestock)	33	b ɛ ¹ l u ⁵	bɛ̀lú	0	1 7 8 5 7 8	71	AXTBYT	33.P.C 33.E.V 33.6.T 33.L.C 33.Y.V 33.6.T	animal domestique (surtout bétail)	619	Tommo_So	PE6LY6	ANIMAL		46
76	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	bɛ́lɛ̀gù	bɛ́lɛ̀g, bɛ́lɛ̀gù	( - - - - - - - ) b ɛ ⁵ l ɛ ¹ ( ɡ u ¹ )	domestic animal (esp. livestock)	16	b ɛ ⁵ l ɛ ¹ ɡ u ¹	bɛ́lɛ̀gù	0	1 7 8 5 7 8 1 7 8	71	AXTBYTBYT	16.P.C 16.E.V 16.6.T 16.L.C 16.E.V 16.6.T 16.K.C 16.Y.V 16.6.T	animal domestique (surtout bétail)	619	Dogul_Dom	PE6LE6KY6	ANIMAL		46
77	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	àzɛ̀gɛ̀	àzɛ̀gɛ̀	- a ¹ z ɛ ¹ - - - ɡ ɛ ¹	domestic animal (esp. livestock)	36	a ¹ z ɛ ¹ ɡ ɛ ¹	àzɛ̀gɛ̀	0	7 8 3 7 8 1 7 8	304	XTBYTBYT	36.A.V 36.6.T 36.S.C 36.E.V 36.6.T 36.K.C 36.E.V 36.6.T	animal domestique (surtout bétail)	619	Yanda_Dom	A6SE6KE6	ANIMAL		49
78	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	dúmɛ́-ŋgó	dúmɛ́-ŋgó	d u ⁵ m ɛ ⁵ + ŋ ɡ o ⁵	domestic animal (esp. livestock)	23	d u ⁵ m ɛ ⁵ + ŋ ɡ o ⁵	dúmɛ́-ŋgó	0	1 7 8 4 7 8 9 4 1 7 8	72	AXTBYT_ACYT	23.T.C 23.Y.V 23.6.T 23.M.C 23.E.V 23.6.T 23._._ 23.N.C 23.K.C 23.U.V 23.6.T	animal domestique (surtout bétail)	619	Najamba	TY6ME6_NKU6	ANIMAL		53
