# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
26	Yorno_So	!GUEST OR STRANGER	yér-nɛ́	j e ⁵ r + n ɛ ⁵	9	j e ⁵ - - - - r + n ɛ ⁵	6 7 8 5 9 4 7 8	AXTN_AXT	JE6R_NE6	38	38.J.C 38.E.V 38.6.T 38.R.c 38._._ 38.N.C 38.E.V 38.6.T	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	0
#
27	Bangime	AGE	ɡwìì	ɡ w iː ¹	26	ɡ w iː ¹	1 6 7 8	ACXT	KWI6	3	3.K.C 3.W.C 3.I.V 3.6.T	1.6 1.2 3.0 1.0	0
28	Bankan_Tey	AGE	pɛ́	p ɛ ⁵	33	p - ɛ - ⁵	1 7 8	AXT	PE6	4	4.P.C 4.E.V 4.6.T	1.6 3.0 1.0	0
29	Ben_Tey	AGE	pɛ́	p ɛ ⁵	33	p - ɛ - ⁵	1 7 8	AXT	PE6	5	5.P.C 5.E.V 5.6.T	1.6 3.0 1.0	0
30	Bunoge	AGE	kɛ̀mnɔ̀_kánì	k ɛ ¹ m n ɔ ¹ _ k a ⁵ n i ¹	29	k ɛ ¹ m n ɔ ¹ _ k a ⁵ n i ¹	1 7 8 4 4 7 8 9 1 7 8 4 7 8	AXTMBYT_AXTBYT	KE6MNU6_KA6NI6	15	15.K.C 15.E.V 15.6.T 15.M.c 15.N.C 15.U.V 15.6.T 15._._ 15.K.C 15.A.V 15.6.T 15.N.C 15.I.V 15.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
31	Dogul_Dom	AGE	páy_ndìyè	p a ⁵ j _ n d i ¹ j e ¹	30	p a ⁵ j _ n d i ¹ j e ¹	1 7 8 6 9 4 1 7 8 6 7 8	AXTN_ACYTBYT	PA6J_NTI6JE6	16	16.P.C 16.A.V 16.6.T 16.J.c 16._._ 16.N.C 16.T.C 16.I.V 16.6.T 16.J.C 16.E.V 16.6.T	1.6 3.0 1.0 0.5 0.0 1.6 1.2 3.0 1.0 1.3 3.0 1.0	0
32	Donno_So	AGE	páy_nd-ɛ̀:	p a ⁵ j _ n d + ɛː ¹	30	p a ⁵ j _ n d - + - ɛː ¹	1 7 8 6 9 4 1 9 7 8	AXTN_AN_XT	PA6J_NT_E6	17	17.P.C 17.A.V 17.6.T 17.J.c 17._._ 17.N.C 17.T.c 17._._ 17.E.V 17.6.T	1.6 3.0 1.0 0.5 0.0 1.6 0.5 0.0 3.0 1.0	0
33	Fulfulde	AGE	naywu-de	n a j w u + d e	32	n a j w u + d e	4 7 6 6 7 9 1 7	AXMBZ_AX	NAJWY_TE	18	18.N.C 18.A.V 18.J.c 18.W.C 18.Y.V 18._._ 18.T.C 18.E.V	2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5	0
34	Gourou	AGE	pɛ́:ⁿ	p ɛ̃ː ∼ ⁵	33	p - ɛ̃ː ∼ ⁵	1 7 4 8	AXLT	PE96	19	19.P.C 19.E.V 19.9.c 19.6.T	1.6 3.0 1.1 1.0	0
35	Jamsay	AGE	pɛ́:ⁿ	p ɛ̃ː ∼ ⁵	33	p - ɛ̃ː ∼ ⁵	1 7 4 8	AXLT	PE96	20	20.P.C 20.E.V 20.9.c 20.6.T	1.6 3.0 1.1 1.0	0
36	Mombo	AGE	ká:nú_kánì	k aː ⁵ n u ⁵ _ k a ⁵ n i ¹	29	k aː ⁵ - n u ⁵ _ k a ⁵ n i ¹	1 7 8 4 7 8 9 1 7 8 4 7 8	AXTBYT_AXTBYT	KA6NY6_KA6NI6	22	22.K.C 22.A.V 22.6.T 22.N.C 22.Y.V 22.6.T 22._._ 22.K.C 22.A.V 22.6.T 22.N.C 22.I.V 22.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
37	Najamba	AGE	kúnjɛ́	k u ⁵ n dʒ ɛ ⁵	36	k u ⁵ n dʒ ɛ ⁵	1 7 8 4 1 7 8	AXTMBYT	KY6NTE6	23	23.K.C 23.Y.V 23.6.T 23.N.c 23.T.C 23.E.V 23.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
38	Nanga	AGE	pɛ́:	p ɛː ⁵	33	p - ɛː - ⁵	1 7 8	AXT	PE6	24	24.P.C 24.E.V 24.6.T	1.6 3.0 1.0	0
39	Penange	AGE	ká:mnɔ́_kán	k aː ⁵ m n ɔ ⁵ _ k a ⁵ n	29	k aː ⁵ m n ɔ ⁵ _ k a ⁵ n - -	1 7 8 4 4 7 8 9 1 7 8 4	AXTMBYT_AXTN	KA6MNU6_KA6N	25	25.K.C 25.A.V 25.6.T 25.M.c 25.N.C 25.U.V 25.6.T 25._._ 25.K.C 25.A.V 25.6.T 25.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.5	0
40	Perge_Tegu	AGE	pɛ́:	p ɛː ⁵	33	p - ɛː - ⁵	1 7 8	AXT	PE6	26	26.P.C 26.E.V 26.6.T	1.6 3.0 1.0	0
41	Songhai_Kiini	AGE	zé:n	z eː ⁵ n	40	z eː ⁵ n	3 7 8 4	AXTN	SE6N	27	27.S.C 27.E.V 27.6.T 27.N.c	1.6 3.0 1.0 0.5	0
42	Songhai_Senni	AGE	zé:n	z eː ⁵ n	40	z eː ⁵ n	3 7 8 4	AXTN	SE6N	28	28.S.C 28.E.V 28.6.T 28.N.c	1.6 3.0 1.0 0.5	0
43	Tebul_Ure	AGE	pɛ́	p ɛ ⁵	33	p - ɛ - ⁵	1 7 8	AXT	PE6	30	30.P.C 30.E.V 30.6.T	1.6 3.0 1.0	0
44	Tiranige_Diga	AGE	kúnjó	k u ⁵ n dʒ o ⁵	36	k u ⁵ n dʒ o ⁵	1 7 8 4 1 7 8	AXTMBYT	KY6NTU6	31	31.K.C 31.Y.V 31.6.T 31.N.c 31.T.C 31.U.V 31.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
45	Togo_Kan	AGE	pɛ́:ⁿ	p ɛ̃ː ∼ ⁵	33	p - ɛ̃ː ∼ ⁵	1 7 4 8	AXLT	PE96	32	32.P.C 32.E.V 32.9.c 32.6.T	1.6 3.0 1.1 1.0	0
46	Tommo_So	AGE	pɛ́ɛ́ⁿ	p ɛ̃ː ∼ ⁵	33	p - ɛ̃ː ∼ ⁵	1 7 4 8	AXLT	PE96	33	33.P.C 33.E.V 33.9.c 33.6.T	1.6 3.0 1.1 1.0	0
47	Tomo_Kan	AGE	pyɛ́:ⁿ	p j ɛ̃ː ∼ ⁵	33	p j ɛ̃ː ∼ ⁵	1 6 7 4 8	ACXLT	PJE96	34	34.P.C 34.J.C 34.E.V 34.9.c 34.6.T	1.6 1.2 3.0 1.1 1.0	0
48	Toro_Tegu	AGE	yɔ̌w	j ɔ ¹⁵ w	47	j ɔ ¹⁵ w	6 7 8 6	AXTN	JU2W	36	36.J.C 36.U.V 36.2.T 36.W.c	1.6 3.0 1.0 0.5	0
49	Yanda_Dom	AGE	pɛ́:	p ɛː ⁵	33	p - ɛː - ⁵	1 7 8	AXT	PE6	37	37.P.C 37.E.V 37.6.T	1.6 3.0 1.0	0
50	Yorno_So	AGE	pɛ́:	p ɛː ⁵	33	p - ɛː - ⁵	1 7 8	AXT	PE6	38	38.P.C 38.E.V 38.6.T	1.6 3.0 1.0	0
#
51	Bambara	ANCESTORS	bɛ́ⁿbá	b ɛ ∼ ⁵ b a ⁵	48	b ɛ ∼ ⁵ b a ⁵	1 7 4 8 1 7 8	AXLTBYT	PE96PA6	2	2.P.C 2.E.V 2.9.c 2.6.T 2.P.C 2.A.V 2.6.T	1.6 3.0 1.1 1.0 1.3 3.0 1.0	0
52	Bangime	ANCESTORS	kāàⁿ	k ã: ∼ ³¹	49	k ã: ∼ ³¹	1 7 4 8	AXLT	KA93	3	3.K.C 3.A.V 3.9.c 3.3.T	1.6 3.0 1.1 1.0	0
53	Ben_Tey	ANCESTORS	kùmbó	k u ¹ m b o ⁵	50	k u ¹ m b o ⁵	1 7 8 4 1 7 8	AXTMBYT	KY6MPU6	5	5.K.C 5.Y.V 5.6.T 5.M.c 5.P.C 5.U.V 5.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
54	Fulfulde	ANCESTORS	njaatiraa-ɗoo	n dʒ a a t i r a a + ɗ o o	51	n dʒ a a t i r a a + ɗ o o	4 1 7 7 1 7 5 7 7 9 1 7 7	ACYYBYBYZ_AXZ	NTAATIRAA_TUU	18	18.N.C 18.T.C 18.A.V 18.A.V 18.T.C 18.I.V 18.R.C 18.A.V 18.A.V 18._._ 18.T.C 18.U.V 18.U.V	2.0 1.5 1.3 1.3 1.75 1.3 1.75 1.3 0.8 0.0 2.0 1.5 0.8	0
55	Mombo	ANCESTORS	ńdá_kúnjù	n ⁵ d a ⁵ _ k u ⁵ n dʒ u ¹	52	n ⁵ d a ⁵ _ k u ⁵ n dʒ u ¹	4 8 1 7 8 9 1 7 8 4 1 7 8	ATBYT_AXTMBYT	N6TA6_KY6NTY6	22	22.N.C 22.6.T 22.T.C 22.A.V 22.6.T 22._._ 22.K.C 22.Y.V 22.6.T 22.N.c 22.T.C 22.Y.V 22.6.T	1.6 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
56	Nanga	ANCESTORS	dùgú	d u ¹ ɡ u ⁵	53	d u ¹ ɡ u ⁵	1 7 8 1 7 8	AXTBYT	TY6KY6	24	24.T.C 24.Y.V 24.6.T 24.K.C 24.Y.V 24.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
57	Perge_Tegu	ANCESTORS	tìrɛ́	t i ¹ r ɛ ⁵	54	t i ¹ r ɛ ⁵	1 7 8 5 7 8	AXTBYT	TI6RE6	26	26.T.C 26.I.V 26.6.T 26.R.C 26.E.V 26.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
58	Songhai_Kiini	ANCESTORS	kàà	k aː ¹	55	k aː ¹ - - -	1 7 8	AXT	KA6	27	27.K.C 27.A.V 27.6.T	1.6 3.0 1.0	0
59	Songhai_Senni	ANCESTORS	kà:gè	k aː ¹ ɡ e ¹	55	k aː ¹ ɡ e ¹	1 7 8 1 7 8	AXTBYT	KA6KE6	28	28.K.C 28.A.V 28.6.T 28.K.C 28.E.V 28.6.T	1.6 3.0 1.0 1.3 3.0 1.0	1
60	Togo_Kan	ANCESTORS	tìrɛ́	t i ¹ r ɛ ⁵	54	t i ¹ r ɛ ⁵	1 7 8 5 7 8	AXTBYT	TI6RE6	32	32.T.C 32.I.V 32.6.T 32.R.C 32.E.V 32.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
61	Tommo_So	ANCESTORS	mɔ̀ɛ̀-mì-nɛ́	m ɔ ¹ ɛ ¹ + m i ¹ + n ɛ ⁵	58	m ɔ ¹ ɛ ¹ + m i ¹ + n ɛ ⁵	4 7 8 7 8 9 4 7 8 9 4 7 8	AXTYT_AXT_AXT	MU6E6_MI6_NE6	33	33.M.C 33.U.V 33.6.T 33.E.V 33.6.T 33._._ 33.M.C 33.I.V 33.6.T 33._._ 33.N.C 33.E.V 33.6.T	1.6 3.0 1.0 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0
62	Toro_Tegu	ANCESTORS	tɛ̀ná	t ɛ ¹ n a ⁵	59	t ɛ ¹ n a ⁵	1 7 8 4 7 8	AXTBYT	TE6NA6	36	36.T.C 36.E.V 36.6.T 36.N.C 36.A.V 36.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
63	Yorno_So	ANCESTORS	tírɛ́	t i ⁵ r ɛ ⁵	54	t i ⁵ r ɛ ⁵	1 7 8 5 7 8	AXTBYT	TI6RE6	38	38.T.C 38.I.V 38.6.T 38.R.C 38.E.V 38.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
#
64	Bambara	ANIMAL	dántán	d a ⁵ n t a ⁵ n	60	d a ⁵ n t a ⁵ n	1 7 8 4 1 7 8 4	AXTMBYTN	TA6NTA6N	2	2.T.C 2.A.V 2.6.T 2.N.c 2.T.C 2.A.V 2.6.T 2.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	0
65	Bangime	ANIMAL	yíríbɛ̀	j i ⁵ r i ⁵ b ɛ ¹	61	j i ⁵ r i ⁵ b ɛ ¹	6 7 8 5 7 8 1 7 8	AXTBYTBYT	JI6RI6PE6	3	3.J.C 3.I.V 3.6.T 3.R.C 3.I.V 3.6.T 3.P.C 3.E.V 3.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
66	Bankan_Tey	ANIMAL	dá:bàm	d aː ⁵ b a ¹ m	62	d aː ⁵ b a ¹ m	1 7 8 1 7 8 4	AXTBYTN	TA6PA6M	4	4.T.C 4.A.V 4.6.T 4.P.C 4.A.V 4.6.T 4.M.c	1.6 3.0 1.0 1.3 3.0 1.0 0.5	0
67	Ben_Tey	ANIMAL	àrsɛ̌:	a ¹ r s ɛː ¹⁵	63	a ¹ r s ɛː ¹⁵	7 8 5 3 7 8	XTMBYT	A6RSE2	5	5.A.V 5.6.T 5.R.c 5.S.C 5.E.V 5.2.T	3.0 1.0 1.1 1.3 3.0 1.0	0
68	Bozo_Korondougou_nord	ANIMAL	biraⁿteu	b i r ã ∼ t e u	64	b i r ã ∼ t e u	1 7 5 7 4 1 7 7	AXBYMBYZ	PIRA9TEY	8	8.P.C 8.I.V 8.R.C 8.A.V 8.9.c 8.T.C 8.E.V 8.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	0
69	Bozo_Tiema_Cewe	ANIMAL	kooⁿbo	k o o ∼ b o	65	- - - k o o ∼ b o -	1 7 7 4 1 7	AXYMBZ	KUU9PU	13	13.K.C 13.U.V 13.U.V 13.9.c 13.P.C 13.U.V	2.0 1.5 1.3 1.1 1.75 0.8	0
70	Bunoge	ANIMAL	kɔ́mbɔ̀	k ɔ ⁵ m b ɔ ¹	65	k ɔ ⁵ - - - m b ɔ ¹	1 7 8 4 1 7 8	AXTMBYT	KU6MPU6	15	15.K.C 15.U.V 15.6.T 15.M.c 15.P.C 15.U.V 15.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
71	Dogul_Dom	ANIMAL	bɛ́lɛ̀gù	b ɛ ⁵ l ɛ ¹ ɡ u ¹	67	b ɛ ⁵ l ɛ ¹ ɡ u ¹	1 7 8 5 7 8 1 7 8	AXTBYTBYT	PE6LE6KY6	16	16.P.C 16.E.V 16.6.T 16.L.C 16.E.V 16.6.T 16.K.C 16.Y.V 16.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
72	Donno_So	ANIMAL	bɛ̀lú	b ɛ ¹ l u ⁵	67	b ɛ ¹ l u ⁵ - - -	1 7 8 5 7 8	AXTBYT	PE6LY6	17	17.P.C 17.E.V 17.6.T 17.L.C 17.Y.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
73	Fulfulde	ANIMAL	daaba	d a a b a	69	d a a b a	1 7 7 1 7	AXYBZ	TAAPA	18	18.T.C 18.A.V 18.A.V 18.P.C 18.A.V	2.0 1.5 1.3 1.75 0.8	0
74	Gourou	ANIMAL	gàrsɛ̀gɛ́	ɡ a ¹ r s ɛ ¹ ɡ ɛ ⁵	70	ɡ a ¹ - - - - - - - - - - r s ɛ ¹ ɡ ɛ ⁵	1 7 8 5 3 7 8 1 7 8	AXTMBYTBYT	KA6RSE6KE6	19	19.K.C 19.A.V 19.6.T 19.R.c 19.S.C 19.E.V 19.6.T 19.K.C 19.E.V 19.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.3 3.0 1.0	0
75	Jamsay	ANIMAL	àsɛ̀gɛ́	a ¹ s ɛ ¹ ɡ ɛ ⁵	70	- - - - - - - - a ¹ - - - - s ɛ ¹ ɡ ɛ ⁵	7 8 3 7 8 1 7 8	XTBYTBYT	A6SE6KE6	20	20.A.V 20.6.T 20.S.C 20.E.V 20.6.T 20.K.C 20.E.V 20.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
76	Jenaama	ANIMAL	dáábā	d aː ⁵ b a ³	62	d aː ⁵ b a ³ -	1 7 8 1 7 8	AXTBYT	TA6PA6	21	21.T.C 21.A.V 21.6.T 21.P.C 21.A.V 21.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
77	Mombo	ANIMAL	dèbù_bɛ́lí	d e ¹ b u ¹ _ b ɛ ⁵ l i ⁵	73	d e ¹ b u ¹ _ b ɛ ⁵ l i ⁵	1 7 8 1 7 8 9 1 7 8 5 7 8	AXTBYT_AXTBYT	TE6PY6_PE6LI6	22	22.T.C 22.E.V 22.6.T 22.P.C 22.Y.V 22.6.T 22._._ 22.P.C 22.E.V 22.6.T 22.L.C 22.I.V 22.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
78	Najamba	ANIMAL	dúmɛ́ŋgó	d u ⁵ m ɛ ⁵ ŋ ɡ o ⁵	74	d u ⁵ m ɛ ⁵ ŋ ɡ o ⁵	1 7 8 4 7 8 4 1 7 8	AXTBYTMBYT	TY6ME6NKU6	23	23.T.C 23.Y.V 23.6.T 23.M.C 23.E.V 23.6.T 23.N.c 23.K.C 23.U.V 23.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.1 1.3 3.0 1.0	0
