ID	NUMBER	ENGLISH	FRENCH	ENGLISH_SHORT	SEMFIELD_CODE	REFERENCE	OCCURRENCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
12	12	(single) grain, seed, nut	graine (individuelle), noix	grain, seed, nut	15.0.10.0.1.0	941.0	25	2086	GRAIN (CLASSIFIER)	4
#>>>										
#<<<										
13	13	meat	viande	meat	26.0.12.0.1.0	1682.0	25	634	MEAT	2
13	13	meat	viande	meat	26.0.12.0.1.0	1682.0	25	2615	FLESH OR MEAT	2
#>>>										
14	14	liver	foie	liver	10.0.7.0.1.0	359.0	25	1224	LIVER	2
15	15	eye	œil	eye	10.0.17.0.1.0	464.0	25	1248	EYE	2
#<<<										
16	16	sit, sit down	s'asseoir	sit	12.0.1.0.1.0	690.0	25	1416	SIT	4
16	16	sit, sit down	s'asseoir	sit	12.0.1.0.1.0	690.0	25	1649	SIT DOWN	4
#>>>										
#<<<										
17	17	smoke	fumée	smoke	35.0.11.0.1.0	2050.0	25	778	SMOKE (EXHAUST)	2
17	17	smoke	fumée	smoke	35.0.11.0.1.0	2050.0	25	1689	SMOKE (INHALE)	2
17	17	smoke	fumée	smoke	35.0.11.0.1.0	2050.0	25	2859	SMOKE (EMIT SMOKE)	2
#>>>										
18	18	head	tête	head	10.0.15.0.1.0	455.0	25	1256	HEAD	2
#<<<										
19	19	drink (sth)	boire (qch)	drink	21.0.1.0.1.0	1436.0	25	1401	DRINK	4
19	19	drink (sth)	boire (qch)	drink	21.0.1.0.1.0	1436.0	25	731	BEVERAGE	4
19	19	drink (sth)	boire (qch)	drink	21.0.1.0.1.0	1436.0	25	2787	CONSUME (DRINK OR EAT)	4
#>>>										
20	20	cotton	coton	cotton	17.0.1.0.1.0	1247.0	25	1850	COTTON	2
21	21	fire	feu	fire	35.0.1.0.1.0	2012.0	25	221	FIRE	2
#<<<										
22	22	child	enfant	child	6.0.4.0.1.0	154.0	25	2099	CHILD	2
22	22	child	enfant	child	6.0.4.0.1.0	154.0	25	1304	CHILD (YOUNG HUMAN)	2
22	22	child	enfant	child	6.0.4.0.1.0	154.0	25	1801	CHILD (DESCENDANT)	2
#>>>										
#<<<										
23	23	man, male person	homme, personne mâle	man	6.0.7.0.1.0	167.0	25	683	PERSON	4
23	23	man, male person	homme, personne mâle	man	6.0.7.0.1.0	167.0	25	1554	MAN	4
23	23	man, male person	homme, personne mâle	man	6.0.7.0.1.0	167.0	25	2106	MALE PERSON	4
23	23	man, male person	homme, personne mâle	man	6.0.7.0.1.0	167.0	25	2645	MAN OR PERSON	4
23	23	man, male person	homme, personne mâle	man	6.0.7.0.1.0	167.0	25	2646	HUSBAND OR MALE PERSON	4
#>>>										
24	24	kill	tuer	kill	9.0.2.0.1.0	251.0	25	1417	KILL	2
25	25	bone	os	bone	10.0.6.0.1.0	343.0	25	1394	BONE	2
26	26	nose	nez	nose	10.0.19.0.1.0	483.0	25	1221	NOSE	2
27	27	stand (verb only)	se mettre debout (verbe seulement)	stand	12.0.4.0.1.0	704.0	25	1442	STAND	3
#<<<										
28	28	oil (vegetable, liquid or buttery)	huile (végétale, liquide ou en forme de beurre)	oil	34.0.2.0.1.0	1991.0	24	1484	OIL (ORGANIC SUBSTANCE)	4
28	28	oil (vegetable, liquid or buttery)	huile (végétale, liquide ou en forme de beurre)	oil	34.0.2.0.1.0	1991.0	24	2551	ORGANIC FAT OR OIL	4
28	28	oil (vegetable, liquid or buttery)	huile (végétale, liquide ou en forme de beurre)	oil	34.0.2.0.1.0	1991.0	24	58	LIQUID	4
28	28	oil (vegetable, liquid or buttery)	huile (végétale, liquide ou en forme de beurre)	oil	34.0.2.0.1.0	1991.0	24	2555	OIL (FROM PLANTS)	4
28	28	oil (vegetable, liquid or buttery)	huile (végétale, liquide ou en forme de beurre)	oil	34.0.2.0.1.0	1991.0	24	2556	OIL (HYDROPHOBIC LIQUID)	4
#>>>										
29	29	sheep	mouton	sheep	1.0.7.0.1.0	29.0	24	1331	SHEEP	2
#<<<										
30	30	milk	lait	milk	23.0.1.0.1.0	1496.0	24	635	MILK	2
30	30	milk	lait	milk	23.0.1.0.1.0	1496.0	24	93	DRAW MILK	2
#>>>										
31	31	go hunting, do some hunting (verb plus noun)	faire la chasse, aller à la chasse (verbe plus substantif)	hunt	27.0.1.0.2.0	1718.0	24		???	
32	32	forehead	front	forehead	10.0.20.0.2.0	489.0	24	123	FOREHEAD	2
#<<<										
33	33	chicken	poulet	chicken	5.0.1.0.1.0	129.0	24	1318	CHICKEN	2
33	33	chicken	poulet	chicken	5.0.1.0.1.0	129.0	24	2512	CHICK	2
#>>>										
34	34	lung	poumon	lung	10.0.7.0.3.0	361.0	24	688	LUNG	2
35	35	pestle (for pounding in a mortar)	pilon (à piler dans un mortier)	pestle	29.0.3.0.1.0	1804.0	24	225	PESTLE	4
36	36	new	nouveau	new	7.0.5.0.1.0	196.0	24	1231	NEW	2
37	37	body	corps	body	10.0.1.0.1.0	307.0	24	1480	BODY	2
38	38	horn (of animal)	corne (d'animal)	horn	13.0.5.0.1.0	772.0	24	1393	HORN (ANATOMY)	2
39	39	calabash (general term)	calebasse (terme général)	calabash	38.0.1.0.1.0	2356.0	24	411	GOURD	4
#<<<										
40	40	tail (of dog, sheep, etc.)	queue (de chien, de mouton, etc.)	tail	13.0.3.0.1.0	760.0	24	1220	TAIL	4
40	40	tail (of dog, sheep, etc.)	queue (de chien, de mouton, etc.)	tail	13.0.3.0.1.0	760.0	24	1331	SHEEP	4
40	40	tail (of dog, sheep, etc.)	queue (de chien, de mouton, etc.)	tail	13.0.3.0.1.0	760.0	24	2684	CAPRINE (GOAT OR SHEEP)	4
#>>>										
41	41	root	racine	root	15.0.2.0.1.0	867.0	24	670	ROOT	2
42	42	slightly concave circular calabash cover and winnowing van, woven from doum-palm fronds	couverture de calabasse et van à vanner, légèrement concave, tissé en feuille de doum	winnowing van, calabash cover	28.0.2.0.1.0	1771.0	24		???	
43	43	egg	œuf	egg	5.0.3.0.1.0	138.0	24	744	EGG	2
44	44	thorn	épine	thorn	15.0.8.0.1.0	922.0	24	124	THORN	2
#<<<										
45	45	sorghum	sorgho	sorghum	36.0.2.0.3.0	2070.0	24	931	MILLET	4
45	45	sorghum	sorgho	sorghum	36.0.2.0.3.0	2070.0	24	347	SORGHUM	4
#>>>										
#<<<										
46	46	leaf (of plant)	feuille (de plante)	leaf	15.0.7.0.1.0	900.0	24	628	LEAF	4
46	46	leaf (of plant)	feuille (de plante)	leaf	15.0.7.0.1.0	900.0	24	2250	LEAF (LEAFLIKE OBJECT)	4
#>>>										
47	47	knee	genou	knee	10.0.10.0.1.0	387.0	24	1371	KNEE	2
48	48	pounding mortar (any kind)	mortier à piler (toute sorte)	mortar	29.0.1.0.1.0	1796.0	24		???	
49	49	neck	cou	neck	10.0.22.0.1.0	521.0	24	1333	NECK	2
#<<<										
50	50	suck (e.g. candy)	sucer (bonbon, etc.)	suck	25.0.11.0.1.0	1595.0	24	1421	SUCK	4
50	50	suck (e.g. candy)	sucer (bonbon, etc.)	suck	25.0.11.0.1.0	1595.0	24	2472	SUCKLE (BREASTFEED, NURSE)	4
#>>>										
#<<<										
51	51	eat (meat)	manger (viande)	eat meat	25.0.1.0.3.0	1541.0	24	1336	EAT	4
51	51	eat (meat)	manger (viande)	eat meat	25.0.1.0.3.0	1541.0	24	2787	CONSUME (DRINK OR EAT)	4
#>>>										
52	52	wing (of bird)	aile (d'oiseau)	wing	13.0.4.0.1.0	762.0	24	1257	WING	2
53	53	ashes	cendre	ashes	35.0.10.0.1.0	2049.0	24	646	ASH	2
#<<<										
54	54	hair	cheveux	hair	10.0.14.0.1.0	434.0	24	1040	HAIR	2
54	54	hair	cheveux	hair	10.0.14.0.1.0	434.0	24	2648	HAIR (HEAD)	2
#>>>										
55	55	mouth	bouche	mouth	10.0.18.0.1.0	477.0	24	674	MOUTH	2
56	56	hearth for cooking formed by three large stones (or two stones against a wall)	foyer de cuisine constitué par trois grosses pierres (ou par deux pierres contre un mur)	oven, hearth	32.0.1.0.1.0	1908.0	24		???	
57	57	carapace, shell (of tortoise)	carapace (coque de tortue)	shell, carapace	13.0.10.0.2.0	787.0	24	598	SHELL	4
58	58	beard	barbe	beard	10.0.14.0.3.0	436.0	24	678	BEARD	2
59	59	goat	chèvre	goat	1.0.6.0.1.0	17.0	24	1502	GOAT	2
60	60	squat	s'accroupir	squat	12.0.3.0.1.0	703.0	24		???	
#<<<										
61	61	back (body)	dos	back	10.0.4.0.8.0	325.0	24	1291	BACK	4
61	61	back (body)	dos	back	10.0.4.0.8.0	325.0	24	1482	SHOULDER	4
61	61	back (body)	dos	back	10.0.4.0.8.0	325.0	24	2323	BACK (PART)	4
61	61	back (body)	dos	back	10.0.4.0.8.0	325.0	24	2910	BACK (DIRECTION)	4
#>>>										
#<<<										
62	62	stem, stalk	tige	stem	15.0.3.0.1.0	873.0	24	2628	PLANT STEM	4
62	62	stem, stalk	tige	stem	15.0.3.0.1.0	873.0	24	2726	STALK (CLASSIFIER)	4
#>>>										
63	63	cultivated field (for millet etc.) (general word)	champ cultivé (de mil etc.) (mot général)	field	37.0.3.0.1.0	2165.0	24		???	
#<<<										
64	64	lie down, go to bed	se coucher	lie down	12.0.8.0.1.0	734.0	24	1585	SLEEP	4
64	64	lie down, go to bed	se coucher	lie down	12.0.8.0.1.0	734.0	24	1411	LIE (REST)	4
64	64	lie down, go to bed	se coucher	lie down	12.0.8.0.1.0	734.0	24	215	LIE DOWN	4
64	64	lie down, go to bed	se coucher	lie down	12.0.8.0.1.0	734.0	24	2116	REST OR SLEEP	4
#>>>										
65	65	millet	mil	millet	36.0.2.0.2.0	2069.0	24	931	MILLET	2
#<<<										
66	66	flour, powder	farine, poudre	flour, powder	26.0.10.0.1.0	1662.0	24	1594	FLOUR	4
66	66	flour, powder	farine, poudre	flour, powder	26.0.10.0.1.0	1662.0	24	1798	GUNPOWDER	4
#>>>										
67	67	uproot (peanuts, weeds) by hand	déraciner (arachides, mauvaises herbes) à la main	uproot	37.0.20.0.1.0	2298.0	24		???	
68	68	hunger (noun)	faim	hunger	25.0.8.0.1.0	1580.0	24	1864	HUNGER	3
69	69	shut eye(s)	fermer œil/yeux	shut eye	11.0.19.0.3.0	664.0	23		???	
70	70	fabric, cloth	tissu, étoffe	fabric, cloth	16.0.4.0.1.0	1054.0	23	1616	CLOTH	4
#<<<										
71	71	old (thing, animal)	vieux (objet, animal)	old	7.0.1.0.7.0	181.0	23	1229	OLD	4
71	71	old (thing, animal)	vieux (objet, animal)	old	7.0.1.0.7.0	181.0	23	619	ANIMAL	4
71	71	old (thing, animal)	vieux (objet, animal)	old	7.0.1.0.7.0	181.0	23	2112	OLD (AGED)	4
71	71	old (thing, animal)	vieux (objet, animal)	old	7.0.1.0.7.0	181.0	23	2113	OLD (USED)	4
71	71	old (thing, animal)	vieux (objet, animal)	old	7.0.1.0.7.0	181.0	23	2096	ANIMAL OR MEAT	4
71	71	old (thing, animal)	vieux (objet, animal)	old	7.0.1.0.7.0	181.0	23	566	OLD (OF WOMAN)	4
71	71	old (thing, animal)	vieux (objet, animal)	old	7.0.1.0.7.0	181.0	23	565	OLD (OF MAN)	4
#>>>										
72	72	navel	nombril	navel	10.0.4.0.3.0	320.0	23	1838	NAVEL	2
73	73	okra	gombo	okra	36.0.8.0.5.0	2154.0	23	1737	OKRA	2
#<<<										
74	74	boubou (robe) or shirt (all types)	boubou ou chemise (toutes sortes)	boubou	16.0.1.0.1.0	1023.0	23	1622	SHIRT	4
74	74	boubou (robe) or shirt (all types)	boubou ou chemise (toutes sortes)	boubou	16.0.1.0.1.0	1023.0	23	461	BOUBOU	4
#>>>										
75	75	stomach	estomac	stomach	10.0.7.0.6.0	364.0	23	819	STOMACH	2
76	76	salt	sel	salt	33.0.9.0.1.0	1976.0	23	1274	SALT	2
77	77	charcoal	charbon	charcoal	35.0.9.0.1.0	2046.0	23	1188	CHARCOAL	2
78	78	elbow	coude	elbow	10.0.10.0.5.0	391.0	23	981	ELBOW	2
79	79	laughter	rire (substantif)	laughter	11.0.16.0.3.0	650.0	23	2958	LAUGHTER	2
80	80	urine	urine	urine	11.0.15.0.2.0	646.0	23	1142	URINE	2
#<<<										
81	81	hat (any type)	chapeau (toute sorte)	hat	16.0.16.0.1.0	1156.0	23	771	HAT	4
81	81	hat (any type)	chapeau (toute sorte)	hat	16.0.16.0.1.0	1156.0	23	2130	HEADGEAR	4
81	81	hat (any type)	chapeau (toute sorte)	hat	16.0.16.0.1.0	1156.0	23	2730	HAT (CLASSIFIER)	4
#>>>										
82	82	honey	miel	honey	24.0.1.0.1.0	1528.0	23	942	HONEY	2
83	83	boundary (of field)	limite (d'un champ)	boundary	37.0.5.0.1.0	2179.0	23	1010	BOUNDARY	4
84	84	shoulderbag from an entire goatskin (carried to fields)	gibecière d'une peau entière de chèvre (portée aux champs)	shoulderbag	43.0.1.0.1.0	2468.0	23		???	
85	85	farmer, peasant	cultivateur, paysan	farmer	37.0.1.0.1.0	2157.0	23	979	FARMER	4
#<<<										
86	86	reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle	faucher, couper (tiges, par ex. en récoltant le riz ou le dah) à coups de faucille	reap, harvest	37.0.23.0.1.0	2331.0	23	1432	CUT	4
86	86	reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle	faucher, couper (tiges, par ex. en récoltant le riz ou le dah) à coups de faucille	reap, harvest	37.0.23.0.1.0	2331.0	23	190	MOW	4
86	86	reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle	faucher, couper (tiges, par ex. en récoltant le riz ou le dah) à coups de faucille	reap, harvest	37.0.23.0.1.0	2331.0	23	2156	CUT (WITH KNIFE)	4
86	86	reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle	faucher, couper (tiges, par ex. en récoltant le riz ou le dah) à coups de faucille	reap, harvest	37.0.23.0.1.0	2331.0	23	2155	CUT (WITH SCISSORS)	4
86	86	reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle	faucher, couper (tiges, par ex. en récoltant le riz ou le dah) à coups de faucille	reap, harvest	37.0.23.0.1.0	2331.0	23	1827	HARVEST CROPS	4
#>>>										
87	87	donkey	âne	donkey	3.0.1.0.1.0	95.0	23	1862	DONKEY	2
#<<<										
88	88	wide, flat, slightly concave grindstone with coarse texture on which one grinds (e.g. millet) with a small round stone	pierre large, plate et légèrement creuse à surface rugueuse sur laquelle on écrase (mil etc.) avec une petite pierre ronde	grindstone	30.0.2.0.1.0	1822.0	23	1243	WIDE	4
88	88	wide, flat, slightly concave grindstone with coarse texture on which one grinds (e.g. millet) with a small round stone	pierre large, plate et légèrement creuse à surface rugueuse sur laquelle on écrase (mil etc.) avec une petite pierre ronde	grindstone	30.0.2.0.1.0	1822.0	23	1633	FLAT	4
88	88	wide, flat, slightly concave grindstone with coarse texture on which one grinds (e.g. millet) with a small round stone	pierre large, plate et légèrement creuse à surface rugueuse sur laquelle on écrase (mil etc.) avec une petite pierre ronde	grindstone	30.0.2.0.1.0	1822.0	23	2652	BROAD OR WIDE	4
#>>>										
89	89	breathe	respirer	breathe	11.0.1.0.10.0	555.0	23	1407	BREATHE	2
90	90	horse	cheval	horse	1.0.8.0.1.0	43.0	23	615	HORSE	2
91	91	heart	cœur	heart	10.0.7.0.2.0	360.0	23	1223	HEART	2
92	92	garment, clothes	vêtement, habits	garment, clothes, clothing	16.0.13.0.1.0	1122.0	23	1895	CLOTHES	4
93	93	shoe, footwear (any kind)	chaussure (toute sorte)	shoe	16.0.15.0.1.0	1128.0	23	1381	SHOE	4
94	94	winnow (pounded grain) by dropping it slowly into a calabash in the wind (which blows chaff away)	vanner (graines pilées) en les laissant tomber dans une calebasse, au vent (qui emporte le son)	winnow	28.0.1.0.1.0	1767.0	23		???	
95	95	onion	oignon	onion	36.0.6.0.6.0	2140.0	23	2366	ONION	2
96	96	give out a sneeze, sneeze (verb plus noun)	émettre un éternument, s'éternuer (verbe plus substantif)	sneeze	11.0.2.0.1.0	564.0	23	1621	SNEEZE	4
97	97	traditional flint lighter (fire-making device)	briquet à silex traditionnel	lighter	35.0.3.0.1.0	2028.0	23		???	
#<<<										
98	98	eat (meal)	manger (repas)	eat meal	25.0.1.0.2.0	1540.0	23	1336	EAT	4
98	98	eat (meal)	manger (repas)	eat meal	25.0.1.0.2.0	1540.0	23	2787	CONSUME (DRINK OR EAT)	4
#>>>										
99	99	cultivated groundnut (Vigna subterranea), similar to peanut	pois de terre (Vigna subterranea), ressemble à l'arachide	groundnut	36.0.5.0.6.0	2131.0	23		???	
100	100	cat	chat	cat	1.0.3.0.1.0	5.0	23	1208	CAT	2
101	101	marrow	moelle	marrow	13.0.11.0.1.0	794.0	23	1835	MARROW	2
102	102	hiccup (noun)	hoquet (substantif)	hiccup	11.0.1.0.9.0	554.0	23		???	
103	103	cut throat of (animal), slaughter	égorger	cut throat, slaughter	2.0.11.0.1.0	91.0	23	1796	SLAUGHTER	4
104	104	camel	chameau	camel	1.0.2.0.1.0	4.0	23	1871	CAMEL	2
105	105	pants	pantalon	pants	16.0.9.0.2.0	1089.0	23		???	
106	106	turban	turban	turban	16.0.17.0.1.0	1191.0	23	331	HEADDRESS	4
107	107	breakfast	petit déjeuner	breakfast	26.0.2.0.1.0	1610.0	23	1322	BREAKFAST	2
108	108	animal fat (in meat)	graisse d'animal (dans la viande)	fat	26.0.13.0.1.0	1687.0	23	1282	FAT (FROM ANIMALS)	4
109	109	munch on and suck (kola, sugar cane)	croquer légèrement en suçant (cola, canne à sucre)	chew, munch	25.0.2.0.5.0	1555.0	23	146	SUGAR CANE	4
110	110	winnow (e.g. pounded grain spikes) by shaking them from side to side in a calabash or winnowing van held at a slight downward angle so that larger or lighter items rise to the top and fall off (to remove grain-spike debris while grain remains in container, or to transfer grains into another container while sand etc. remains and can be discarded)	vanner (par ex. des épis pilés) en secouant à droite et à gauche sur un van plat ou dans une calebasse qu'on tient à un angle, de sorte que les éléments gros ou légers tombent (afin d'enlever les brisures d'épi tout en gardant les grains, ou afin de transférer les grains dans un autre récipient tout en gardant le sable etc. qu'on peut jeter)	winnow	28.0.1.0.2.0	1768.0	23		???	
111	111	large wooden eating bowl	grosse écuelle à manger en bois	bowl	42.0.1.0.1.0	2455.0	23		???	
#<<<										
112	112	sickle (for cutting grass, or cutting stems of rice, roselle, sesame with slashing action)	faucille (pour couper l'herbe, ou pour couper les tiges de riz, de dah, de sésame en frappant)	sickle	37.0.9.0.1.0	2216.0	23	2132	SICKLE OR SCYTHE	4
112	112	sickle (for cutting grass, or cutting stems of rice, roselle, sesame with slashing action)	faucille (pour couper l'herbe, ou pour couper les tiges de riz, de dah, de sésame en frappant)	sickle	37.0.9.0.1.0	2216.0	23	341	SICKLE	4
#>>>										
113	113	urinate, have a piss	uriner, pisser	urinate, piss	11.0.15.0.1.0	645.0	23	592	PISS	4
#<<<										
114	114	scale (of fish or snake)	écaille (de poisson ou de serpent)	scale	13.0.9.0.2.0	785.0	23	730	SNAKE	4
114	114	scale (of fish or snake)	écaille (de poisson ou de serpent)	scale	13.0.9.0.2.0	785.0	23	266	SCALE	4
#>>>										
#<<<										
115	115	hump (of cow, camel, st donkey)	bosse (de vache, de chameau, qqf d'âne)	hump (animal)	13.0.8.0.1.0	781.0	23	1871	CAMEL	4
115	115	hump (of cow, camel, st donkey)	bosse (de vache, de chameau, qqf d'âne)	hump (animal)	13.0.8.0.1.0	781.0	23	534	HUMP	4
#>>>										
116	116	jaw (lower)	mâchoire (inférieure)	jaw	10.0.6.0.10.0	352.0	23	798	JAW	4
117	117	cow-pea	haricot	cow-pea	36.0.3.0.1.0	2110.0	23		???	
118	118	sweet potato	patate (douce)	sweet potato	36.0.6.0.2.0	2136.0	23	159	SWEET POTATO	2
119	119	testicles	testicules	testicles	10.0.9.0.1.0	378.0	23	797	TESTICLES	2
120	120	female breast	sein de la femme	breast	10.0.4.0.6.0	323.0	23	1402	BREAST	2
121	121	peanut	arachide	peanut	36.0.5.0.5.0	2130.0	23	2364	PEANUT	2
122	122	eat a meal	manger un repas	eat meal	25.0.1.0.1.0	1539.0	23		???	
123	123	hip	hanche (au flanc)	hip	10.0.5.0.6.0	340.0	23	1745	HIP	2
124	124	feather	plume (d'oiseau)	feather	13.0.7.0.1.0	779.0	23	1201	FEATHER	2
125	125	hunter	chasseur	hunter	27.0.1.0.1.0	1717.0	23	1053	HUNTER	2
126	126	roselle, bissap (cultivated hibiscus, used in cooking and for beverages; Hibiscus sabdariffa)	dah, oseille (hibiscus cultivé, utilisé dans la cuisine et dans les boissons; Hibiscus sabdariffa)	roselle, bissap	33.0.6.0.1.0	1960.0	23		???	
#<<<										
127	127	road, path	chemin, route	road	57.0.5.0.1.0	2969.0	23	667	ROAD	2
127	127	road, path	chemin, route	road	57.0.5.0.1.0	2969.0	23	2457	PATH OR ROAD	2
#>>>										
128	128	belly	ventre	belly	10.0.4.0.1.0	318.0	23	1251	BELLY	2
129	129	African eggplant (similar to tomato) in two varieties	aubergine africaine (ressemble aux tomates) en deux variétés	eggplant (African)	36.0.8.0.1.0	2150.0	23		???	
130	130	small gourd (with thin neck that opens widely at top), especially for curdled milk and cream of millet	gourde (petite, à col étroit qui s'ouvre en haut) surtout pour le lait caillé et la crème de mil	gourd	38.0.8.0.1.0	2381.0	23		???	
#<<<										
131	131	(plant) sprout, come up (verb)	(plante) pousser, germer	sprout	37.0.18.0.1.0	2276.0	23	1172	SHOOT	4
131	131	(plant) sprout, come up (verb)	(plante) pousser, germer	sprout	37.0.18.0.1.0	2276.0	23	2076	SPROUT (VERB)	4
#>>>										
132	132	sheath (of knife or saber)	fourreau, gaine (de couteau ou de sabre)	sheath	14.0.5.0.1.0	855.0	23		???	
133	133	large basket with squared base, woven tightly from grass stems (for bringing harvested millet grain spikes from the fields to the village)	gros panier carré en bas, tissé solidement à base de tiges de graminées (sert à apporter les épis de mil récoltés du champs au village)	basket (grass stems)	44.0.1.0.1.0	2486.0	23		???	
#<<<										
134	134	spin (cotton thread)	filer (fil de coton)	spin	17.0.6.0.1.0	1266.0	23	1445	TURN (SOMETHING)	4
134	134	spin (cotton thread)	filer (fil de coton)	spin	17.0.6.0.1.0	1266.0	23	121	SPIN	4
#>>>										
135	135	skin and butcher (carcass of slaughtered animal)	dépouiller (carcasse d'animal égorgé)	butcher, skin	2.0.11.0.2.0	92.0	23		???	
136	136	vomit (verb only)	vomir	vomit	11.0.14.0.2.0	642.0	23	1278	VOMIT	3
137	137	milk (verb), draw milk from (cow, goat)	traire (vache, chèvre)	draw milk	23.0.2.0.1.0	1503.0	23	93	DRAW MILK	3
#<<<										
138	138	flower (of tree or herb)	fleur (d'arbre ou de plante herbacée)	flower	15.0.14.0.1.0	969.0	23	239	FLOWER	4
138	138	flower (of tree or herb)	fleur (d'arbre ou de plante herbacée)	flower	15.0.14.0.1.0	969.0	23	653	PLANT (VEGETATION)	4
138	138	flower (of tree or herb)	fleur (d'arbre ou de plante herbacée)	flower	15.0.14.0.1.0	969.0	23	2542	HERB	4
#>>>										
#<<<										
139	139	pound (grain, in mortar, with a little water) to remove chaff and bran	piler (céréales, dans un mortier, avec un peu d'eau) pour enlever le son et les balles	pound	30.0.7.0.1.0	1844.0	23	224	MORTAR CRUSHER	4
139	139	pound (grain, in mortar, with a little water) to remove chaff and bran	piler (céréales, dans un mortier, avec un peu d'eau) pour enlever le son et les balles	pound	30.0.7.0.1.0	1844.0	23	1665	BEAT	4
139	139	pound (grain, in mortar, with a little water) to remove chaff and bran	piler (céréales, dans un mortier, avec un peu d'eau) pour enlever le son et les balles	pound	30.0.7.0.1.0	1844.0	23	354	POUND	4
139	139	pound (grain, in mortar, with a little water) to remove chaff and bran	piler (céréales, dans un mortier, avec un peu d'eau) pour enlever le son et les balles	pound	30.0.7.0.1.0	1844.0	23	1731	MORTAR BINDER	4
#>>>										
140	140	small round grindstone held in hand with which one grinds (e.g. millet grain) on a large flat stone	petite pierre ronde tenue dans la main avec laquelle on écrase (le mil etc.) sur une pierre large et plate	grindstone	30.0.2.0.2.0	1823.0	23		???	
141	141	kola nut	cola	kola	36.0.5.0.1.0	2126.0	23		???	
#<<<										
142	142	crumple (paper or clothing)	froisser (papier ou vêtement)	crumple	30.0.3.0.1.0	1830.0	23	1895	CLOTHES	4
142	142	crumple (paper or clothing)	froisser (papier ou vêtement)	crumple	30.0.3.0.1.0	1830.0	23	2088	CLOTHING (CLASSIFIER)	4
#>>>										
143	143	manure (sometimes mixed with garbage) as fertilizer	fumier (parfois mélangé d'ordures) en tant qu'engrais	manure, fertilizer	37.0.6.0.1.0	2191.0	23		???	
144	144	personal name	nom personnel	name	102.0.4.0.1.0	5121.0	23		???	
145	145	bird (any)	(tout) oiseau	bird	1.0.11.0.1.0	47.0	23	937	BIRD	4
146	146	thirst	soif	thirst	21.0.4.0.1.0	1442.0	23	848	THIRST	2
147	147	urinate, piss (verb only)	uriner, pisser (verbe seulement)	urinate, piss	11.0.15.0.3.0	647.0	23	592	PISS	3
148	148	laugh (verb only)	rire (verbe seulement)	laugh	11.0.16.0.2.0	649.0	23	1355	LAUGH	3
149	149	rice	riz	rice	36.0.2.0.6.0	2073.0	23	926	RICE	2
150	150	rinse out one's mouth	se rincer la bouche	rinse mouth	11.0.12.0.1.0	632.0	23		???	
