ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS
14	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	yér-nɛ́	yér-nɛ́\\yérú-m	j e ⁵ r !- !- ( - n ɛ ⁵ - )	visitor, guest (from out of town)	37	j e ⁵ r + n ɛ ⁵	yér-nɛ́	0	6 7 8 5 9 4 7 8	6	AXTN_AXT	37.J.C 37.E.V 37.6.T 37.R.c 37._._ 37.N.C 37.E.V 37.6.T	visiteur, étranger (en visite)		Yorno_So	JE6R_NE6	!GUEST OR STRANGER	
15	1.6 3.0 1.0 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	yòùnjì-nɛ́	yòùnjì-nɛ́ \\ yòùnjǔ-m	j o ¹ ( u ¹ ) n dʒ i ¹ ( + n ɛ ⁵ )	visitor, guest (from out of town)	33	j o ¹ u ¹ n dʒ i ¹ + n ɛ ⁵	yòùnjì-nɛ́	0	6 7 8 7 8 4 1 7 8 9 4 7 8	7	AXTYTMBYT_AXT	33.J.C 33.U.V 33.6.T 33.Y.V 33.6.T 33.N.c 33.T.C 33.I.V 33.6.T 33._._ 33.N.C 33.E.V 33.6.T	visiteur, étranger (en visite)		Tommo_So	JU6Y6NTI6_NE6	!GUEST OR STRANGER	
16	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.5	yàrùwúl	yàrùwúl, bɛ̀mmɛ́	j a ¹ r u ¹ ( - w u ⁵ l )	visitor, guest (from out of town)	16	j a ¹ r u ¹ w u ⁵ l	yàrùwúl	0	6 7 8 5 7 8 6 7 8 5	6	AXTBYTBYTN	16.J.C 16.A.V 16.6.T 16.R.C 16.Y.V 16.6.T 16.W.C 16.Y.V 16.6.T 16.L.c	visiteur, étranger (en visite)		Dogul_Dom	JA6RY6WY6L	!GUEST OR STRANGER	
17	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	lògòdé:	lògòdé:\\lògòdù-mbó	l o ¹ ɡ o ¹ ( + d eː ⁵ - )	visitor, guest (from out of town)	30	l o ¹ ɡ o ¹ d eː ⁵	lògòdé:	0	5 7 8 1 7 8 1 7 8	20	AXTBYTBYT	30.L.C 30.U.V 30.6.T 30.K.C 30.U.V 30.6.T 30.T.C 30.E.V 30.6.T	visiteur, étranger (en visite)		Tebul_Ure	LU6KU6TE6	!GUEST OR STRANGER	
18	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	nò_nò:zù	nò nò:zù\\nò:zù-mù	n o ¹ ( - - ) n !- oː ¹ ( - z u ¹ )	visitor, guest (from out of town)	36	n o ¹ _ n oː ¹ z u ¹	nò_nò:zù	0	4 7 8 9 4 7 8 3 7 8	7	AXT_AXTBYT	36.N.C 36.U.V 36.6.T 36._._ 36.N.C 36.U.V 36.6.T 36.S.C 36.Y.V 36.6.T	visiteur, étranger (en visite)		Yanda_Dom	NU6_NU6SY6	!GUEST OR STRANGER	
19	1.6 3.0 1.0 1.1 1.3 3.0 1.0	bèmbǎ:	bèmbǎ:\\bèmbà-mbó	b e ¹ m b aː ¹⁵	visitor, guest (from out of town)	23	b e ¹ m b aː ¹⁵	bèmbǎ:	0	1 7 8 4 1 7 8	13	AXTMBYT	23.P.C 23.E.V 23.6.T 23.M.c 23.P.C 23.A.V 23.2.T	visiteur, étranger (en visite)		Najamba	PE6MPA2	!GUEST OR STRANGER	
20	1.6 3.0 1.0 1.1 1.3 3.0 1.0	dó:njì	dó:njì	d oː ⁵ ( - - ) n dʒ i ¹ ( - - - - )	visitor, guest (from out of town)	15	d oː ⁵ n dʒ i ¹	dó:njì	0	1 7 8 4 1 7 8	7	AXTMBYT	15.T.C 15.U.V 15.6.T 15.N.c 15.T.C 15.I.V 15.6.T	visiteur, étranger (en visite)		Bunoge	TU6NTI6	!GUEST OR STRANGER	
21	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	wòɲjù-nɔ́	wòɲjù-nɔ́	w o ¹ ( - - ) ɲ dʒ u ¹ ( + n ɔ ⁵ )	visitor, guest (from out of town)	17	w o ¹ ɲ dʒ u ¹ + n ɔ ⁵	wòɲjù-nɔ́	0	6 7 8 4 1 7 8 9 4 7 8	7	AXTMBYT_AXT	17.W.C 17.U.V 17.6.T 17.N.c 17.T.C 17.Y.V 17.6.T 17._._ 17.N.C 17.U.V 17.6.T	visiteur, étranger (en visite)		Donno_So	WU6NTY6_NU6	!GUEST OR STRANGER	
22	1.6 3.0 1.0 1.3 3.0 1.0	bí:má	bí:má	b iː ⁵ m - a ⁵	visitor, guest (from out of town)	31	b iː ⁵ m a ⁵	bí:má	0	1 7 8 4 7 8	13	AXTBYT	31.P.C 31.I.V 31.6.T 31.M.C 31.A.V 31.6.T	visiteur, étranger (en visite)		Tiranige_Diga	PI6MA6	!GUEST OR STRANGER	
23	1.6 3.0 1.0 1.1 1.3 3.0 1.0	bì:mbà	bì:mbà	b iː ¹ m b a ¹	visitor, guest (from out of town)	25	b iː ¹ m b a ¹	bì:mbà	0	1 7 8 4 1 7 8	13	AXTMBYT	25.P.C 25.I.V 25.6.T 25.M.c 25.P.C 25.A.V 25.6.T	visiteur, étranger (en visite)		Penange	PI6MPA6	!GUEST OR STRANGER	
24	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	gìlà-gílí	gìlà gílí	ɡ i ¹ l a ¹ ( + ɡ i ⁵ l i ⁵ )	visitor, guest (from out of town)	22	ɡ i ¹ l a ¹ + ɡ i ⁵ l i ⁵	gìlà-gílí	0	1 7 8 5 7 8 9 1 7 8 5 7 8	12	AXTBYT_AXTBYT	22.K.C 22.I.V 22.6.T 22.L.C 22.A.V 22.6.T 22._._ 22.K.C 22.I.V 22.6.T 22.L.C 22.I.V 22.6.T	visiteur, étranger (en visite)		Mombo	KI6LA6_KI6LI6	!GUEST OR STRANGER	
25	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	yérí-n	yérí-n	j e ⁵ r i ⁵ ( + n - - - )	visitor, guest (from out of town)	20	j e ⁵ r i ⁵ + n	yérí-n	0	6 7 8 5 7 8 9 4	6	AXTBYT_A	20.J.C 20.E.V 20.6.T 20.R.C 20.I.V 20.6.T 20._._ 20.N.C	visiteur, étranger (en visite)		Jamsay	JE6RI6_N	!GUEST OR STRANGER	
26	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 0.7	lòsù-rⁿu	lòsù-rⁿu	l o ¹ s u ¹ ( + r̃ ∼ u ⁵ )	visitor, guest (from out of town)	35	l o ¹ s u ¹ + r̃ ∼ u	lòsù-rⁿu	0	5 7 8 3 7 8 9 5 4 7	20	AXTBYT_ACZ	35.L.C 35.U.V 35.6.T 35.S.C 35.Y.V 35.6.T 35._._ 35.R.C 35.9.C 35.Y.V	visiteur, étranger (en visite)		Toro_Tegu	LU6SY6_R9Y	!GUEST OR STRANGER	
27	1.6 3.0 1.0 0.5	zé:n	zé:n	z eː ⁵ n	[intr] (living thing) become old, elderly	27	z eː ⁵ n	zé:n	0	3 7 8 4	40	AXTN	27.S.C 27.E.V 27.6.T 27.N.c	(être vivant) devenir vieux, âgé	1789	Songhai_Kiini	SE6N	AGE	
28	1.6 3.0 1.0 0.5	zé:n	zé:n	z eː ⁵ n	[intr] (living thing) become old, elderly	28	z eː ⁵ n	zé:n	0	3 7 8 4	40	AXTN	28.S.C 28.E.V 28.6.T 28.N.c	(être vivant) devenir vieux, âgé	1789	Songhai_Senni	SE6N	AGE	
29	1.6 1.2 3.0 1.0	ɡwìì	ɡwìì	ɡ w iː ¹	age, long life	3	ɡ w iː ¹	ɡwìì	0	1 6 7 8	26	ACXT	3.K.C 3.W.C 3.I.V 3.6.T	âge, longévité	1789	Bangime	KWI6	AGE	
30	2.0 1.5 1.1 0.8 0.0 1.5 1.75 0.8	nayw-ude	naywude	n a j w ( + u d e )	age, long life	18	n a j w + u d e	nayw-ude	0	4 7 6 6 9 7 1 7	32	AXLN_XBZ	18.N.C 18.A.V 18.J.c 18.W.c 18._._ 18.Y.V 18.T.C 18.E.V	âge, longévité	1789	Fulfulde	NAJW_YTE	AGE	
31	1.6 3.0 1.0 0.5	yɔ̌w	yɔ̌w	j ɔ ¹⁵ w	get old, age (verb)	35	j ɔ ¹⁵ w	yɔ̌w	0	6 7 8 6	47	AXTN	35.J.C 35.U.V 35.2.T 35.W.c	vieiillir, ê. ou devenir vieux	1789	Toro_Tegu	JU2W	AGE	
32	1.6 3.0 1.0	pɛ́	pɛ́	p ɛ ⁵	get old, age (verb)	5	p ɛ ⁵	pɛ́	0	1 7 8	27	AXT	5.P.C 5.E.V 5.6.T	vieiillir, ê. ou devenir vieux	1789	Ben_Tey	PE6	AGE	
33	1.6 3.0 1.0	pɛ́:	pɛ́:	p ɛː ⁵	get old, age (verb)	24	p ɛː ⁵	pɛ́:	0	1 7 8	27	AXT	24.P.C 24.E.V 24.6.T	vieiillir, ê. ou devenir vieux	1789	Nanga	PE6	AGE	
34	1.6 3.0 1.1 1.0	pɛ́:ⁿ	pɛ́:ⁿ	p ( - ) ɛ̃ː ∼ ⁵	get old, age (verb)	19	p ɛ̃ː ∼ ⁵	pɛ́:ⁿ	0	1 7 4 8	2	AXLT	19.P.C 19.E.V 19.9.c 19.6.T	vieiillir, ê. ou devenir vieux	1789	Gourou	PE96	AGE	
35	1.6 3.0 1.0	pɛ́:	pɛ́:-	p ɛː ⁵	get old, age (verb)	37	p ɛː ⁵	pɛ́:	0	1 7 8	27	AXT	37.P.C 37.E.V 37.6.T	vieiillir, ê. ou devenir vieux	1789	Yorno_So	PE6	AGE	
36	1.6 3.0 1.1 1.0	pɛ́ɛ́ⁿ	pɛ́ɛ́ⁿ, pííⁿ-yɛ́	p ( - ) ɛ̃ː ∼ ⁵	get old, age (verb)	33	p ɛ̃ː ∼ ⁵	pɛ́ɛ́ⁿ	0	1 7 4 8	2	AXLT	33.P.C 33.E.V 33.9.c 33.6.T	vieiillir, ê. ou devenir vieux	1789	Tommo_So	PE96	AGE	
37	1.6 3.0 1.0 0.5 0.0 1.6 1.2 3.0 1.0 1.3 3.0 1.0	páy-ndìyè	páy-ndìyè	p a ⁵ j ( + nd i ¹ j e ¹ )	get old, age (verb)	16	p a ⁵ j + n d i ¹ j e ¹	páy-ndìyè	0	1 7 8 6 9 4 1 7 8 6 7 8	30	AXTN_ACYTBYT	16.P.C 16.A.V 16.6.T 16.J.c 16._._ 16.N.C 16.T.C 16.I.V 16.6.T 16.J.C 16.E.V 16.6.T	vieiillir, ê. ou devenir vieux	1789	Dogul_Dom	PA6J_NTI6JE6	AGE	
38	1.6 3.0 1.0	pɛ́	pɛ́ (pɛ́-yà-, pɛ́-sɔ̀-, pèyà-lí-)	p ɛ ⁵	get old, age (verb)	30	p ɛ ⁵	pɛ́	0	1 7 8	27	AXT	30.P.C 30.E.V 30.6.T	vieiillir, ê. ou devenir vieux	1789	Tebul_Ure	PE6	AGE	
39	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kúnjɛ́	kúnjɛ́	k u ⁵ n dʒ ɛ ⁵	get old, age (verb)	23	k u ⁵ n dʒ ɛ ⁵	kúnjɛ́	0	1 7 8 4 1 7 8	36	AXTMBYT	23.K.C 23.Y.V 23.6.T 23.N.c 23.T.C 23.E.V 23.6.T	vieiillir, ê. ou devenir vieux	1789	Najamba	KY6NTE6	AGE	
40	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kɛ̀mnɔ̀_kánì	kɛ̀mnɔ̀ kánì, kɛ̀mnɔ̀ bílè	k ɛ ¹ m n ɔ ¹ ( _ k a ⁵ n i ¹ )	get old, age (verb)	15	k ɛ ¹ m n ɔ ¹ _ k a ⁵ n i ¹	kɛ̀mnɔ̀_kánì	0	1 7 8 4 4 7 8 9 1 7 8 4 7 8	29	AXTMBYT_AXTBYT	15.K.C 15.E.V 15.6.T 15.M.c 15.N.C 15.U.V 15.6.T 15._._ 15.K.C 15.A.V 15.6.T 15.N.C 15.I.V 15.6.T	vieiillir, ê. ou devenir vieux	1789	Bunoge	KE6MNU6_KA6NI6	AGE	
41	1.6 3.0 1.0 0.5 0.0 1.6 0.5 0.0 1.0	páy-ndɛ̀:	páy-nd-ɛ̀:-	p a ⁵ j ( + nd +ɛː ¹ - - - )	get old, age (verb)	17	p a ⁵ j + n d +ɛː ¹	páy-nd-ɛ̀:	0	1 7 8 6 9 4 1 9 8	30	AXTN_AN_T	17.P.C 17.A.V 17.6.T 17.J.c 17._._ 17.N.C 17.T.c 17._._ 17.6.T	vieiillir, ê. ou devenir vieux	1789	Donno_So	PA6J_NT_6	AGE	
42	1.6 1.2 3.0 1.1 1.0	pyɛ́:ⁿ	pyɛ́:ⁿ	p ( j ) ɛ̃ː ∼ ⁵	get old, age (verb)	34	p j ɛ̃ː ∼ ⁵	pyɛ́:ⁿ	0	1 6 7 4 8	2	ACXLT	34.P.C 34.J.C 34.E.V 34.9.c 34.6.T	vieiillir, ê. ou devenir vieux	1789	Tomo_Kan	PJE96	AGE	
43	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kúnjó	kúnjó	k u ⁵ n dʒ o ⁵	get old, age (verb)	31	k u ⁵ n dʒ o ⁵	kúnjó	0	1 7 8 4 1 7 8	36	AXTMBYT	31.K.C 31.Y.V 31.6.T 31.N.c 31.T.C 31.U.V 31.6.T	vieiillir, ê. ou devenir vieux	1789	Tiranige_Diga	KY6NTU6	AGE	
44	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	ká:nú_kánì	ká:nú kánì	k aː ⁵ !- n u ⁵ ( _ k a ⁵ n i ¹ )	get old, age (verb)	22	k aː ⁵ n u ⁵ _ k a ⁵ n i ¹	ká:nú_kánì	0	1 7 8 4 7 8 9 1 7 8 4 7 8	29	AXTBYT_AXTBYT	22.K.C 22.A.V 22.6.T 22.N.C 22.Y.V 22.6.T 22._._ 22.K.C 22.A.V 22.6.T 22.N.C 22.I.V 22.6.T	vieiillir, ê. ou devenir vieux	1789	Mombo	KA6NY6_KA6NI6	AGE	
45	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.5	ká:mnɔ́_kán	ká:mnɔ́ kán	k aː ⁵ m n ɔ ⁵ ( _ k a ⁵ n - - )	get old, age (verb)	25	k aː ⁵ m n ɔ ⁵ _ k a ⁵ n	ká:mnɔ́_kán	0	1 7 8 4 4 7 8 9 1 7 8 4	29	AXTMBYT_AXTN	25.K.C 25.A.V 25.6.T 25.M.c 25.N.C 25.U.V 25.6.T 25._._ 25.K.C 25.A.V 25.6.T 25.N.c	vieiillir, ê. ou devenir vieux	1789	Penange	KA6MNU6_KA6N	AGE	
46	1.6 3.0 1.0	pɛ́	pɛ́	p ɛ ⁵	get old, age (verb)	4	p ɛ ⁵	pɛ́	0	1 7 8	27	AXT	4.P.C 4.E.V 4.6.T	vieiillir, ê. ou devenir vieux	1789	Bankan_Tey	PE6	AGE	
47	1.6 3.0 1.1 1.0	pɛ́:ⁿ	pɛ́:ⁿ	p ( - ) ɛ̃ː ∼ ⁵	get old, age (verb)	20	p ɛ̃ː ∼ ⁵	pɛ́:ⁿ	0	1 7 4 8	2	AXLT	20.P.C 20.E.V 20.9.c 20.6.T	vieiillir, ê. ou devenir vieux	1789	Jamsay	PE96	AGE	
48	1.6 3.0 1.0	pɛ́:	pɛ́:	p ɛː ⁵	get old, age (verb)	26	p ɛː ⁵	pɛ́:	0	1 7 8	27	AXT	26.P.C 26.E.V 26.6.T	vieiillir, ê. ou devenir vieux	1789	Perge_Tegu	PE6	AGE	
49	1.6 3.0 1.1 1.0	pɛ́:ⁿ	pɛ́:ⁿ	p ( - ) ɛ̃ː ∼ ⁵	get old, age (verb)	32	p ɛ̃ː ∼ ⁵	pɛ́:ⁿ	0	1 7 4 8	2	AXLT	32.P.C 32.E.V 32.9.c 32.6.T	vieiillir, ê. ou devenir vieux	1789	Togo_Kan	PE96	AGE	
50	1.6 3.0 1.0	pɛ́:	pɛ́:	p ɛː ⁵	get old, age (verb)	36	p ɛː ⁵	pɛ́:	0	1 7 8	27	AXT	36.P.C 36.E.V 36.6.T	vieiillir, ê. ou devenir vieux	1789	Yanda_Dom	PE6	AGE	
51	1.6 3.0 1.1 1.0 1.3 3.0 1.0	bɛ́ⁿbá	bɛ́ⁿbá	b ɛ ⁵ ∼ b a ⁵	get old, age (verb)	2	b ɛ ∼ ⁵ b a ⁵	bɛ́ⁿbá	0	1 7 4 8 1 7 8	48	AXLTBYT	2.P.C 2.E.V 2.9.c 2.6.T 2.P.C 2.A.V 2.6.T	aïeul, ancêtre	1669	Bambara	PE96PA6	ANCESTORS	
52	1.6 3.0 1.0	kàà	kàà	k aː ¹ ( - - - )	ancestor	27	k aː ¹	kàà	0	1 7 8	49	AXT	27.K.C 27.A.V 27.6.T	ancêtre	1669	Songhai_Kiini	KA6	ANCESTORS	
53	1.6 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	ńdá_kúnjù	ńdá kúnjù	n ⁵ d a ⁵ _ k u ⁵ n dʒ u ¹	ancestor	22	n ⁵ d a ⁵ _ k u ⁵ n dʒ u ¹	ńdá_kúnjù	0	4 8 1 7 8 9 1 7 8 4 1 7 8	52	ATBYT_AXTMBYT	22.N.C 22.6.T 22.T.C 22.A.V 22.6.T 22._._ 22.K.C 22.Y.V 22.6.T 22.N.c 22.T.C 22.Y.V 22.6.T	ancêtre	1669	Mombo	N6TA6_KY6NTY6	ANCESTORS	
54	1.6 3.0 1.0 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	mɔ̀ɛ̀-mì-nɛ́	ǹdɛ̀ émmé mɔ̀ɛ̀-mì-nɛ́	m ɔ ¹ ɛ ¹ + m i ¹ + n ɛ ⁵	ancestor	33	m ɔ ¹ ɛ ¹ + m i ¹ + n ɛ ⁵	mɔ̀ɛ̀-mì-nɛ́	0	4 7 8 7 8 9 4 7 8 9 4 7 8	58	AXTYT_AXT_AXT	33.M.C 33.U.V 33.6.T 33.E.V 33.6.T 33._._ 33.M.C 33.I.V 33.6.T 33._._ 33.N.C 33.E.V 33.6.T	ancêtre	1669	Tommo_So	MU6E6_MI6_NE6	ANCESTORS	
55	1.6 3.0 1.0 1.3 3.0 1.0	dùgú	nù: dùgí\\dùgú	d u ¹ ɡ u ⁵	ancestor	24	d u ¹ ɡ u ⁵	dùgú	0	1 7 8 1 7 8	53	AXTBYT	24.T.C 24.Y.V 24.6.T 24.K.C 24.Y.V 24.6.T	ancêtre	1669	Nanga	TY6KY6	ANCESTORS	
56	1.6 3.0 1.0 1.3 3.0 1.0	tɛ̀ná	tɛ̀ná\\mǎ:	t ɛ ¹ n a ⁵	ancestor	35	t ɛ ¹ n a ⁵	tɛ̀ná	0	1 7 8 4 7 8	59	AXTBYT	35.T.C 35.E.V 35.6.T 35.N.C 35.A.V 35.6.T	ancêtre	1669	Toro_Tegu	TE6NA6	ANCESTORS	
57	1.6 3.0 1.0 1.3 3.0 1.0	tírɛ́	tírɛ́	t i ⁵ r ɛ ⁵	ancestor	37	t i ⁵ r ɛ ⁵	tírɛ́	0	1 7 8 5 7 8	54	AXTBYT	37.T.C 37.I.V 37.6.T 37.R.C 37.E.V 37.6.T	ancêtre	1669	Yorno_So	TI6RE6	ANCESTORS	
58	1.6 3.0 1.0 1.3 3.0 1.0	tìrɛ́	tìrɛ́	t i ¹ r ɛ ⁵	ancestor	26	t i ¹ r ɛ ⁵	tìrɛ́	0	1 7 8 5 7 8	54	AXTBYT	26.T.C 26.I.V 26.6.T 26.R.C 26.E.V 26.6.T	ancêtre	1669	Perge_Tegu	TI6RE6	ANCESTORS	
59	1.6 3.0 1.0 1.3 3.0 1.0	tìrɛ́	tìrɛ́	t i ¹ r ɛ ⁵	ancestor	32	t i ¹ r ɛ ⁵	tìrɛ́	0	1 7 8 5 7 8	54	AXTBYT	32.T.C 32.I.V 32.6.T 32.R.C 32.E.V 32.6.T	ancêtre	1669	Togo_Kan	TI6RE6	ANCESTORS	
60	2.0 1.5 1.3 1.3 1.75 1.3 1.75 1.3 0.8 0.0 2.0 1.5 0.8	njaatiraa-ɗoo	njaatiraaɗoo	n dʒ a: t i r a: + ɗ o:	ancestor	18	n dʒ a a t i r a a + ɗ o o	njaatiraa-ɗoo	0	4 1 7 7 1 7 5 7 7 9 1 7 7	51	ACYYBYBYZ_AXZ	18.N.C 18.T.C 18.A.V 18.A.V 18.T.C 18.I.V 18.R.C 18.A.V 18.A.V 18._._ 18.T.C 18.U.V 18.U.V	ancêtre	1669	Fulfulde	NTAATIRAA_TUU	ANCESTORS	
61	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kùmbó	kùmbó	k u ¹ m b o ⁵	ancestor	5	k u ¹ m b o ⁵	kùmbó	0	1 7 8 4 1 7 8	50	AXTMBYT	5.K.C 5.Y.V 5.6.T 5.M.c 5.P.C 5.U.V 5.6.T	ancêtre	1669	Ben_Tey	KY6MPU6	ANCESTORS	
