# Wordlist

# DATA
ID	CONCEPT	CONCEPT_FRENCH	DOCULECT	DOCULECT_NAME_IN_SOURCE	VALUE	FORM	SEGMENTS	CONCEPT_ABBREVIATED	CONCEPT_FRENCH_ABBREVIATED	SEMANTIC_FIELD	SEMANTIC_FIELD_FRENCH	SEMANTIC_REFERENCE	SEMANTIC_FIELD_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
18464	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	árá-wá	árá-wá	a ⁵ r a ⁵ + w a ⁵	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 6 7 8	XTBYT_AXT	A6RA6_WA6	9	9.A.V 9.6.T 9.R.C 9.A.V 9.6.T 9._._ 9.W.C 9.A.V 9.6.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	a⁵ra⁵+wa⁵	0	16	- a ⁵ r a ⁵ + w a ⁵
18465	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Perge_Tegu	Perge Tegu (Pergué, JH)	árú-wá	árú-wá	a ⁵ r u ⁵ + w a ⁵	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 6 7 8	XTBYT_AXT	A6RY6_WA6	15	15.A.V 15.6.T 15.R.C 15.Y.V 15.6.T 15._._ 15.W.C 15.A.V 15.6.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	a⁵ru⁵+wa⁵	0	16	- a ⁵ r u ⁵ + w a ⁵
18466	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Togo_Kan_Koporo_pen	Togo-Kan (Koporo-pen, JH with BT)	árá-m̀	árá-m̀	a ⁵ r a ⁵ + m ¹	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 4 8	XTBYT_AT	A6RA6_M6	18	18.A.V 18.6.T 18.R.C 18.A.V 18.6.T 18._._ 18.M.C 18.6.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.0	a⁵ra⁵+m¹	0	16	- a ⁵ r a ⁵ + m - ¹
18467	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Yorno_So	Yorno So (Yendouma, JH)	árá-mɔ́-	árá-mɔ́-	a ⁵ r a ⁵ + m ɔ ⁵	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 4 7 8	XTBYT_AXT	A6RA6_MU6	24	24.A.V 24.6.T 24.R.C 24.A.V 24.6.T 24._._ 24.M.C 24.U.V 24.6.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	a⁵ra⁵+mɔ⁵	0	16	- a ⁵ r a ⁵ + m ɔ ⁵
18468	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Tomo Kan_Segue	Tomo Kan (Segue)	ʔàrà-mí	ʔàrà-mí	ʔ a ¹ r a ¹ + m i ⁵	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	1 7 8 5 7 8 9 4 7 8	AXTBYT_AXT	HA6RA6_MI6	20	20.H.C 20.A.V 20.6.T 20.R.C 20.A.V 20.6.T 20._._ 20.M.C 20.I.V 20.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	ʔa¹ra¹+mi⁵	0	16	ʔ a ¹ r a ¹ + m i ⁵
18470	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Tommo_So_Tongo_Tongo	Tommo-So (Tongo Tongo, LM)	árá-mɔ́	árá-mɔ́	a ⁵ r a ⁵ + m ɔ ⁵	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 4 7 8	XTBYT_AXT	A6RA6_MU6	19	19.A.V 19.6.T 19.R.C 19.A.V 19.6.T 19._._ 19.M.C 19.U.V 19.6.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	a⁵ra⁵+mɔ⁵	0	16	- a ⁵ r a ⁵ + m ɔ ⁵
18471	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Dogul_Dom_Kundialang	Dogul Dom (Kundialang, JH)	ár-mɛ̀	ár-mɛ̀	a ⁵ r + m ɛ ¹	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 9 4 7 8	XTN_AXT	A6R_ME6	6	6.A.V 6.6.T 6.R.c 6._._ 6.M.C 6.E.V 6.6.T	3.0 1.0 0.5 0.0 1.6 3.0 1.0	a⁵r+mɛ¹	0	19	- - - a ⁵ r + m ɛ ¹
18472	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Tebul_Ure	Tebul Ure (JH)	dǒ-m (dǒ-m-tì-)	dǒ-m	d o ¹⁵ + m	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	1 7 8 9 4	AXT_A	TU2_M	16	16.T.C 16.U.V 16.2.T 16._._ 16.M.C	1.6 3.0 1.0 0.0 1.6	do¹⁵+m	0	19	- - d o ¹⁵ - + m - -
18473	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Yanda_Dom	Yanda Dom (Yanda, JH)	ádú-mɔ́	ádú-mɔ́	a ⁵ d u ⁵ + m ɔ ⁵	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 1 7 8 9 4 7 8	XTBYT_AXT	A6TY6_MU6	23	23.A.V 23.6.T 23.T.C 23.Y.V 23.6.T 23._._ 23.M.C 23.U.V 23.6.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	a⁵du⁵+mɔ⁵	0	19	a ⁵ d u ⁵ - + m ɔ ⁵
18474	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Najamba_Kubewel_Adia	Najamba (Kubewel-Adia, JH)	árá-m	árá-m	a ⁵ r a ⁵ + m	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 4	XTBYT_A	A6RA6_M	12	12.A.V 12.6.T 12.R.C 12.A.V 12.6.T 12._._ 12.M.C	3.0 1.0 1.3 3.0 1.0 0.0 1.6	a⁵ra⁵+m	0	16	- a ⁵ r a ⁵ + m - -
18475	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Tiranige_Boui	Tiranige (Boui, JH)	árá-m(ú)	árá-m	a ⁵ r a ⁵ + m	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 4	XTBYT_A	A6RA6_M	17	17.A.V 17.6.T 17.R.C 17.A.V 17.6.T 17._._ 17.M.C	3.0 1.0 1.3 3.0 1.0 0.0 1.6	a⁵ra⁵+m	0	16	- a ⁵ r a ⁵ + m - -
18476	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Mombo_Songho	Mombo (Songho, KP)	árámì	árámì	a ⁵ r a ⁵ m i ¹	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 4 7 8	XTBYTBYT	A6RA6MI6	11	11.A.V 11.6.T 11.R.C 11.A.V 11.6.T 11.M.C 11.I.V 11.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	a⁵ra⁵mi¹	0	16	- a ⁵ r a ⁵ - m i ¹
18477	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Bunoge_Boudou	Bunoge (Boudou)	ʔárá-mì	ʔárá-mì	ʔ a ⁵ r a ⁵ + m i ¹	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	1 7 8 5 7 8 9 4 7 8	AXTBYT_AXT	HA6RA6_MI6	4	4.H.C 4.A.V 4.6.T 4.R.C 4.A.V 4.6.T 4._._ 4.M.C 4.I.V 4.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	ʔa⁵ra⁵+mi¹	0	16	ʔ a ⁵ r a ⁵ + m i ¹
18478	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Penange_Pinia	Penange (Pinia)	árá-mì (y-)	árá-mì	a ⁵ r a ⁵ + m i ¹	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 4 7 8	XTBYT_AXT	A6RA6_MI6	14	14.A.V 14.6.T 14.R.C 14.A.V 14.6.T 14._._ 14.M.C 14.I.V 14.6.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	a⁵ra⁵+mi¹	0	16	- a ⁵ r a ⁵ + m i ¹
#
48716	(individuals) come together, assemble, gather	(individus) se rassembler, se réunir	Toro_Tegu	Toro Tegu (Toupere, JH)	mɔ̀tú	mɔ̀tú	m ɔ ¹ t u ⁵	assemble, gather	rassembler	together/separate.assemble	ensemble/à part.rassembler	4010.0	80.0.3.0.1.0	1831	MEET	4 7 8 1 7 8	AXTBYT	MU6TY6	22	22.M.C 22.U.V 22.6.T 22.T.C 22.Y.V 22.6.T	1.6 3.0 1.0 1.3 3.0 1.0	mɔ¹tu⁵	0	20	m ɔ ¹ - t u ⁵ -
48717	(individuals) come together, assemble, gather	(individus) se rassembler, se réunir	Ben_Tey	Ben Tey (Beni, JH)	mɔ̀:lú, mɔ̀:lí	mɔ̀:lú	m ɔː ¹ l u ⁵	assemble, gather	rassembler	together/separate.assemble	ensemble/à part.rassembler	4010.0	80.0.3.0.1.0	1831	MEET	4 7 8 5 7 8	AXTBYT	MU6LY6	3	3.M.C 3.U.V 3.6.T 3.L.C 3.Y.V 3.6.T	1.6 3.0 1.0 1.3 3.0 1.0	mɔː¹lu⁵	0	20	m ɔː ¹ l - u ⁵ -
48718	(individuals) come together, assemble, gather	(individus) se rassembler, se réunir	Bankan_Tey	Bankan-Tey (Walo, JH)	mɔ̀:ní xxx[tone]	mɔ̀:ní_xxx	m ɔː ¹ n i ⁵ _	assemble, gather	rassembler	together/separate.assemble	ensemble/à part.rassembler	4010.0	80.0.3.0.1.0	1831	MEET	4 7 8 4 7 8 9	AXTBYT_	MU6NI6_	2	2.M.C 2.U.V 2.6.T 2.N.C 2.I.V 2.6.T 2._._	1.6 3.0 1.0 1.3 3.0 1.0 0.0	mɔː¹ni⁵_	0	20	m ɔː ¹ - n i ⁵ _
48719	(individuals) come together, assemble, gather	(individus) se rassembler, se réunir	Nanga	Nanga (Anda, JH)	mɔ̌:ndí-yí	mɔ̌:ndí-yí	m ɔ̌ː ¹⁵ n d i ⁵ + j i ⁵	assemble, gather	rassembler	together/separate.assemble	ensemble/à part.rassembler	4010.0	80.0.3.0.1.0	1831	MEET	4 7 8 4 1 7 8 9 6 7 8	AXTMBYT_AXT	MU2NTI6_JI6	13	13.M.C 13.U.V 13.2.T 13.N.c 13.T.C 13.I.V 13.6.T 13._._ 13.J.C 13.I.V 13.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	mɔ̌ː¹⁵ndi⁵+ji⁵	0	30	m ɔ̌ː ¹⁵ - n d i ⁵ + j i ⁵
