ID	CONCEPT	CONCEPT_FRENCH	DOCULECT	DOCULECT_NAME_IN_SOURCE	VALUE	FORM	SEGMENTS	CONCEPT_ABBREVIATED	CONCEPT_FRENCH_ABBREVIATED	SEMANTIC_FIELD	SEMANTIC_FIELD_FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	IPA	ALIGNMENT
48721	(individuals) come together, assemble, gather	(individus) se rassembler, se réunir	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	mɔ̀rⁿɔ́	mɔ̀rⁿɔ́	m ɔ ¹ r̃ ∼ ɔ ⁵	assemble, gather	rassembler	together/separate.assemble	ensemble/à part.rassembler	1831	MEET	mɔ¹r̃∼ɔ⁵	m ɔ ¹ r̃∼ ɔ ⁵
48733	(individuals) come together, assemble, gather	(individus) se rassembler, se réunir	Tiranige_Boui	Tiranige (Boui, JH)	máŋgó	máŋgó	m a ⁵ ŋ ɡ o ⁵	assemble, gather	rassembler	together/separate.assemble	ensemble/à part.rassembler	1831	MEET	ma⁵ŋɡo⁵	m a ⁵ ŋɡ o ⁵
48734	(individuals) come together, assemble, gather	(individus) se rassembler, se réunir	Mombo_Songho	Mombo (Songho, KP)	máŋgyê:	máŋgyê:	m a ⁵ ŋ ɡ j eː ⁵¹	assemble, gather	rassembler	together/separate.assemble	ensemble/à part.rassembler	1831	MEET	ma⁵ŋɡjeː⁵¹	m a ⁵ ŋɡ eː ⁵¹
48736	(individuals) come together, assemble, gather	(individus) se rassembler, se réunir	Penange_Pinia	Penange (Pinia)	ségál-gè	ségál-gè	s e ⁵ ɡ a ⁵ l + ɡ e ¹	assemble, gather	rassembler	together/separate.assemble	ensemble/à part.rassembler	1831	MEET	se⁵ɡa⁵l+ɡe¹	s e ⁵ ɡ a ⁵ + l - - + ɡ e ¹
#															
31123	(liquid) drip (one drop at a time)	(liquide) goutter (goutte par goutte)	Donno_So	Donno So	télè	télè	t e ⁵ l e ¹	drip	goutter	liquid.drop	liquide.goutte	808	DRIP (FALL IN GLOBULES)	te⁵le¹	t e ⁵ l e ¹ 
31124	(liquid) drip (one drop at a time)	(liquide) goutter (goutte par goutte)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	lém-lém bàɣá	lém-lém_bàɣá	l e ⁵ m + l e ⁵ m _ b a ¹ ɣ a ⁵	drip	goutter	liquid.drop	liquide.goutte	808	DRIP (FALL IN GLOBULES)	le⁵m+le⁵m_ba¹ɣa⁵	l e ⁵ m - - + l e ⁵ + mb a ¹ + ɣ a ⁵
31137	(liquid) drip (one drop at a time)	(liquide) goutter (goutte par goutte)	Tiranige_Boui	Tiranige (Boui, JH)	dégó, dègú-dègù kán(ú)	dégó	d e ⁵ ɡ o ⁵	drip	goutter	liquid.drop	liquide.goutte	808	DRIP (FALL IN GLOBULES)	de⁵ɡo⁵	d e ⁵ ɡ o ⁵ 
31138	(liquid) drip (one drop at a time)	(liquide) goutter (goutte par goutte)	Mombo_Songho	Mombo (Songho, KP)	sólé	sólé	s o ⁵ l e ⁵	drip	goutter	liquid.drop	liquide.goutte	808	DRIP (FALL IN GLOBULES)	so⁵le⁵	s o ⁵ l e ⁵ 
31140	(liquid) drip (one drop at a time)	(liquide) goutter (goutte par goutte)	Penange_Pinia	Penange (Pinia)	dégé	dégé	d e ⁵ ɡ e ⁵	drip	goutter	liquid.drop	liquide.goutte	808	DRIP (FALL IN GLOBULES)	de⁵ɡe⁵	d e ⁵ ɡ e ⁵ 
#															
53799	(man) marry (woman)	(homme) épouser (femme)	Donno_So	Donno So	jǎ:	jǎ:	j aː ¹⁵	marry	épouser	marriage.wed	mariage.épouser	203	MARRY	jaː¹⁵	j aː ¹⁵ - - - 
53800	(man) marry (woman)	(homme) épouser (femme)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	jɛ̌:, táná-ŋá	jɛ̌:	j ɛː ¹⁵	marry	épouser	marriage.wed	mariage.épouser	203	MARRY	jɛː¹⁵	j ɛː ¹⁵ - - - 
53811	(man) marry (woman)	(homme) épouser (femme)	Tiranige_Boui	Tiranige (Boui, JH)	tálá-m(ú)	tálá-m	t a ⁵ l a ⁵ + m	marry	épouser	marriage.wed	mariage.épouser	203	MARRY	ta⁵la⁵+m	t a ⁵ l a ⁵ + m 
53812	(man) marry (woman)	(homme) épouser (femme)	Mombo_Songho	Mombo (Songho, KP)	yɔ̂: kéddè	yɔ̂:_kéddè	j ɔː ⁵¹ _ k e ⁵ d d e ¹	marry	épouser	marriage.wed	mariage.épouser	203	MARRY	jɔː⁵¹_ke⁵dde¹	j ɔː ⁵¹ k e ⁵ + dː e ¹
53814	(man) marry (woman)	(homme) épouser (femme)	Penange_Pinia	Penange (Pinia)	kéldè	kéldè	k e ⁵ l d e ¹	marry	épouser	marriage.wed	mariage.épouser	203	MARRY	ke⁵lde¹	k e ⁵ l - - + d e ¹
#															
23163	(meal) be cooked, be done	(repas) devenir cuit	Donno_So	Donno So	ílɛ̀	ílɛ̀	i ⁵ l ɛ ¹	cooked, done	cuit	ripe/raw/cooked.ripe/cooked	mûr/cru.mûr/cuit	269	COOKED	i⁵lɛ¹	- i ⁵ l ɛ ¹ 
23164	(meal) be cooked, be done	(repas) devenir cuit	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	írɛ́	írɛ́	i ⁵ r ɛ ⁵	cooked, done	cuit	ripe/raw/cooked.ripe/cooked	mûr/cru.mûr/cuit	269	COOKED	i⁵rɛ⁵	- i ⁵ r ɛ ⁵ + - a ⁵
23174	(meal) be cooked, be done	(repas) devenir cuit	Tiranige_Boui	Tiranige (Boui, JH)	ílɔ́ (versus ílí-yɔ́ for grain and fruit)	ílɔ́	i ⁵ l ɔ ⁵	cooked, done	cuit	ripe/raw/cooked.ripe/cooked	mûr/cru.mûr/cuit	269	COOKED	i⁵lɔ⁵	- i ⁵ l ɔ ⁵ 
23175	(meal) be cooked, be done	(repas) devenir cuit	Mombo_Songho	Mombo (Songho, KP)	wúlɛ́	wúlɛ́	w u ⁵ l ɛ ⁵	cooked, done	cuit	ripe/raw/cooked.ripe/cooked	mûr/cru.mûr/cuit	269	COOKED	wu⁵lɛ⁵	w u ⁵ l ɛ ⁵ 
23177	(meal) be cooked, be done	(repas) devenir cuit	Penange_Pinia	Penange (Pinia)	bɔ́rɛ́	bɔ́rɛ́	b ɔ ⁵ r ɛ ⁵	cooked, done	cuit	ripe/raw/cooked.ripe/cooked	mûr/cru.mûr/cuit	269	COOKED	bɔ⁵rɛ⁵	b ɔ ⁵ r ɛ ⁵ 
#															
50456	(political) chief, boss	chef (politique), patron	Donno_So	Donno So	kû:-nɔ̀, kû: bàŋá, ámì:rù	kû:-nɔ̀	k uː ⁵¹ + n ɔ ¹	chief	chef	status.chief	rang.chef	301	CHIEFTAIN	kuː⁵¹+nɔ¹	k uː ⁵¹ n ɔ ¹ + - - -
50457	(political) chief, boss	chef (politique), patron	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	ámí:rⁿu	ámí:rⁿu	a ⁵ m iː ⁵ r̃ ∼ u	chief	chef	status.chief	rang.chef	301	CHIEFTAIN	a⁵miː⁵r̃∼u	- a ⁵ m iː ⁵ + r̃∼ u -
50468	(political) chief, boss	chef (politique), patron	Tiranige_Boui	Tiranige (Boui, JH)	àmìrí	àmìrí	a ¹ m i ¹ r i ⁵	chief	chef	status.chief	rang.chef	301	CHIEFTAIN	a¹mi¹ri⁵	- a ¹ m i ¹ + r i ⁵
50469	(political) chief, boss	chef (politique), patron	Mombo_Songho	Mombo (Songho, KP)	ámílì	ámílì	a ⁵ m i ⁵ l i ¹	chief	chef	status.chief	rang.chef	301	CHIEFTAIN	a⁵mi⁵li¹	- a ⁵ m i ⁵ + l i ¹
50471	(political) chief, boss	chef (politique), patron	Penange_Pinia	Penange (Pinia)	kó:	kó:	k oː ⁵	chief	chef	status.chief	rang.chef	301	CHIEFTAIN	koː⁵	k oː ⁵
#															
37330	(rain) stop	(pluie) s'arrêter	Donno_So	Donno So	dìdé	dìdé	d i ¹ d e ⁵	stop raining	cesser de pleuvoir	weather.rain	météorologie.pluie	1928	CEASE	di¹de⁵	d i ¹ d e ⁵ 
37331	(rain) stop	(pluie) s'arrêter	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	kólló	kólló	k o ⁵ l l o ⁵	stop raining	cesser de pleuvoir	weather.rain	météorologie.pluie	1928	CEASE	ko⁵llo⁵	k o ⁵ l - - + l o ⁵
37342	(rain) stop	(pluie) s'arrêter	Tiranige_Boui	Tiranige (Boui, JH)	ígí-yó	ígí-yó	i ⁵ ɡ i ⁵ + j o ⁵	stop raining	cesser de pleuvoir	weather.rain	météorologie.pluie	1928	CEASE	i⁵ɡi⁵+jo⁵	- i ⁵ ɡ i ⁵ j o ⁵
37343	(rain) stop	(pluie) s'arrêter	Mombo_Songho	Mombo (Songho, KP)	íŋgyɛ̂:	íŋgyɛ̂:	i ⁵ ŋ ɡ j ɛː ⁵¹	stop raining	cesser de pleuvoir	weather.rain	météorologie.pluie	1928	CEASE	i⁵ŋɡjɛː⁵¹	- i ⁵ ŋɡ - - + j ɛː ⁵¹
37345	(rain) stop	(pluie) s'arrêter	Penange_Pinia	Penange (Pinia)	sáwlè	sáwlè	s a ⁵ w l e ¹	stop raining	cesser de pleuvoir	weather.rain	météorologie.pluie	1928	CEASE	sa⁵wle¹	s a ⁵ wl e ¹ 
#															
8909	(sb) bend over, lean forward, bow	(qn) se pencher en avant, s'incliner	Donno_So	Donno So	jìmm-é:	jìmm-é:	j i ¹ m m + eː ⁵	bow, bend over	incliner, pencher	body function.bend/cross	fonctionnement corporel.pencher/croiser	994	BOW	ji¹mm+eː⁵	j i ¹ m - - + m eː ⁵
8910	(sb) bend over, lean forward, bow	(qn) se pencher en avant, s'incliner	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	ùró	ùró	u ¹ r o ⁵	bow, bend over	incliner, pencher	body function.bend/cross	fonctionnement corporel.pencher/croiser	994	BOW	u¹ro⁵	- u ¹ r o ⁵ 
8920	(sb) bend over, lean forward, bow	(qn) se pencher en avant, s'incliner	Tiranige_Boui	Tiranige (Boui, JH)	kúní-yó, ó:ndí-yó	kúní-yó	k u ⁵ n i ⁵ + j o ⁵	bow, bend over	incliner, pencher	body function.bend/cross	fonctionnement corporel.pencher/croiser	994	BOW	ku⁵ni⁵+jo⁵	k u ⁵ n i ⁵ + j o ⁵
8921	(sb) bend over, lean forward, bow	(qn) se pencher en avant, s'incliner	Mombo_Songho	Mombo (Songho, KP)	kúndyê:	kúndyê:	k u ⁵ n d j eː ⁵¹	bow, bend over	incliner, pencher	body function.bend/cross	fonctionnement corporel.pencher/croiser	994	BOW	ku⁵ndjeː⁵¹	k u ⁵ nd - - + j eː ⁵¹
8923	(sb) bend over, lean forward, bow	(qn) se pencher en avant, s'incliner	Penange_Pinia	Penange (Pinia)	kúnd-yè (stative kúndà)	kúnd-yè	k u ⁵ n d + j e ¹	bow, bend over	incliner, pencher	body function.bend/cross	fonctionnement corporel.pencher/croiser	994	BOW	ku⁵nd+je¹	k u ⁵ nd - - + j e ¹
#															
15231	(sb) dress, put clothes on (sb)	(qn) habiller (qn)	Donno_So	Donno So	dàrà-ndá	dàrà-ndá	d a ¹ r a ¹ + n d a ⁵	dress	habiller. vêtir	clothing.wear	vêtements.porter	474	DRESS	da¹ra¹+nda⁵	d a ¹ r a ¹ + nd a ⁵ 
15232	(sb) dress, put clothes on (sb)	(qn) habiller (qn)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	yìrú kúnú-wⁿó	yìrú_kúnú-wⁿó	j i ¹ r u ⁵ _ k u ⁵ n u ⁵ + w̃ ∼ o ⁵	dress	habiller. vêtir	clothing.wear	vêtements.porter	474	DRESS	ji¹ru⁵_ku⁵nu⁵+w̃∼o⁵	j i ¹ r u ⁵ + k u ⁵ + n u ⁵ + w̃∼ o ⁵ 
15243	(sb) dress, put clothes on (sb)	(qn) habiller (qn)	Tiranige_Boui	Tiranige (Boui, JH)	págú-ró, tú:-ndó	págú-ró	p a ⁵ ɡ u ⁵ + r o ⁵	dress	habiller. vêtir	clothing.wear	vêtements.porter	474	DRESS	pa⁵ɡu⁵+ro⁵	p a ⁵ ɡ u ⁵ + r o ⁵ 
15244	(sb) dress, put clothes on (sb)	(qn) habiller (qn)	Mombo_Songho	Mombo (Songho, KP)	kɛ́mbámì	kɛ́mbámì	k ɛ ⁵ m b a ⁵ m i ¹	dress	habiller. vêtir	clothing.wear	vêtements.porter	474	DRESS	kɛ⁵mba⁵mi¹	k ɛ ⁵ mb a ⁵ + m i ¹ 
15246	(sb) dress, put clothes on (sb)	(qn) habiller (qn)	Penange_Pinia	Penange (Pinia)	ámbú-rè (ɲ-)	ámbú-rè	a ⁵ m b u ⁵ + r e ¹	dress	habiller. vêtir	clothing.wear	vêtements.porter	474	DRESS	a⁵mbu⁵+re¹	- a ⁵ mb u ⁵ + r e ¹ 
#															
36812	(sb) drown	(qn) se noyer	Donno_So	Donno So	mùyy-é:-	mùyy-é:-	m u ¹ j j + eː ⁵	drown	se noyer	watercourse/swim.drown	cours d'eau/nager.noyer	1904	DROWN	mu¹jj+eː⁵	m ɔː ¹ j - - + j eː ⁵ 
36813	(sb) drown	(qn) se noyer	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	yɔ́:lɛ́	yɔ́:lɛ́	j ɔ́ː l ɛ ⁵	drown	se noyer	watercourse/swim.drown	cours d'eau/nager.noyer	1904	DROWN	jɔ́ːlɛ⁵	j ɔː ¹ l ɛ ⁵ + - o ⁵ 
36823	(sb) drown	(qn) se noyer	Tiranige_Boui	Tiranige (Boui, JH)	[mí: ŋà] tíwɔ́ (die in water)	tíwɔ́	t i ⁵ w ɔ ⁵	drown	se noyer	watercourse/swim.drown	cours d'eau/nager.noyer	1904	DROWN	ti⁵wɔ⁵	t i ⁵ w ɔ ⁵
36824	(sb) drown	(qn) se noyer	Mombo_Songho	Mombo (Songho, KP)	jímbé	jímbé	j i ⁵ m b e ⁵	drown	se noyer	watercourse/swim.drown	cours d'eau/nager.noyer	1904	DROWN	ji⁵mbe⁵	j i ⁵ mb e ⁵
36826	(sb) drown	(qn) se noyer	Penange_Pinia	Penange (Pinia)	tíbílè	tíbílè	t i ⁵ b i ⁵ l e ¹	drown	se noyer	watercourse/swim.drown	cours d'eau/nager.noyer	1904	DROWN	ti⁵bi⁵le¹	t i ⁵ b i ⁵ + l e ¹ 
#															
8885	(sb) sweat, perspire	(qn) suer	Donno_So	Donno So	X sònòndî: gǒ:	X_sònòndî:_gǒ:	_ s o ¹ n o ¹ n d iː ⁵¹ _ ɡ oː ¹⁵	sweat	suer	body function.sweat	fonctionnement corporel.sueur	2458	PERSPIRE OR SWEAT	_so¹no¹ndiː⁵¹_ɡoː¹⁵	s o ¹ n o ¹ + nd iː ⁵¹ + ɡ oː ¹⁵
8886	(sb) sweat, perspire	(qn) suer	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	ò:gú gǒ:	ò:gú_gǒ:	oː ¹ ɡ u ⁵ _ ɡ oː ¹⁵	sweat	suer	body function.sweat	fonctionnement corporel.sueur	2458	PERSPIRE OR SWEAT	oː¹ɡu⁵_ɡoː¹⁵	- oː ¹ ɡ u ⁵ + ɡ oː ¹⁵ 
8891	(sb) sweat, perspire	(qn) suer	Tomo_Kan_Diangassagou	Tomo Kan (Diangassagou)	ʔògù twɛ́lɛ́	ʔògù_twɛ́lɛ́	ʔ o ¹ ɡ u ¹ _ t w ɛ ⁵ l ɛ ⁵	sweat	suer	body function.sweat	fonctionnement corporel.sueur	2458	PERSPIRE OR SWEAT	ʔo¹ɡu¹_twɛ⁵lɛ⁵	ʔ o ¹ ɡ u ¹ + tw ɛ ⁵ + l ɛ ⁵
8897	(sb) sweat, perspire	(qn) suer	Tiranige_Boui	Tiranige (Boui, JH)	[X gì] újé kán	újé_kán	u ⁵ j e ⁵ _ k a ⁵ n	sweat	suer	body function.sweat	fonctionnement corporel.sueur	2458	PERSPIRE OR SWEAT	u⁵je⁵_ka⁵n	- u ⁵ j e ⁵ + k a ⁵ + n - -
8898	(sb) sweat, perspire	(qn) suer	Mombo_Songho	Mombo (Songho, KP)	újù gwé:	újù_gwé:	u ⁵ j u ¹ _ ɡ w eː ⁵	sweat	suer	body function.sweat	fonctionnement corporel.sueur	2458	PERSPIRE OR SWEAT	u⁵ju¹_ɡweː⁵	- u ⁵ j u ¹ + ɡw eː ⁵ + w - -
8900	(sb) sweat, perspire	(qn) suer	Penange_Pinia	Penange (Pinia)	bùgàrì pújé	bùgàrì_pújé	b u ¹ ɡ a ¹ r i ¹ _ p u ⁵ j e ⁵	sweat	suer	body function.sweat	fonctionnement corporel.sueur	2458	PERSPIRE OR SWEAT	bu¹ɡa¹ri¹_pu⁵je⁵	b u ¹ ɡ a ¹ + r i ¹ + p u ⁵ + j e ⁵ 
#															
9212	(sb, camel) kneel	(qn, chameau) s'agenouiller	Donno_So	Donno So	tú:ŋ-è:-	tú:ŋ-è:-	t uː ⁵ ŋ + eː ¹	kneel	s'agenouiller	body position.kneel	position du corps.agenouiller	66	KNEEL	tuː⁵ŋ+eː¹	t uː ⁵ ŋ eː ¹
9213	(sb, camel) kneel	(qn, chameau) s'agenouiller	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	túŋó	túŋó	t u ⁵ ŋ o ⁵	kneel	s'agenouiller	body position.kneel	position du corps.agenouiller	66	KNEEL	tu⁵ŋo⁵	t u ⁵ ŋ o ⁵
9220	(sb, camel) kneel	(qn, chameau) s'agenouiller	Tomo_Kan_Diangassagou	Tomo Kan (Diangassagou)	[ɲùŋgòlò-kùⁿ húⁿ] twɛ́lí	twɛ́lí	t w ɛ ⁵ l i ⁵	kneel	s'agenouiller	body position.kneel	position du corps.agenouiller	66	KNEEL	twɛ⁵li⁵	tw ɛ ⁵ l i ⁵
9227	(sb, camel) kneel	(qn, chameau) s'agenouiller	Tiranige_Boui	Tiranige (Boui, JH)	yáŋ(í)-yó	yáŋ-yó	j a ⁵ ŋ + j o ⁵	kneel	s'agenouiller	body position.kneel	position du corps.agenouiller	66	KNEEL	ja⁵ŋ+jo⁵	j a ⁵ ŋ - - + j o ⁵ 
9228	(sb, camel) kneel	(qn, chameau) s'agenouiller	Mombo_Songho	Mombo (Songho, KP)	sómbá	sómbá	s o ⁵ m b a ⁵	kneel	s'agenouiller	body position.kneel	position du corps.agenouiller	66	KNEEL	so⁵mba⁵	s o ⁵ mb a ⁵
#															
84891	(sb, mammal) bite (sb)	(qn, mammifère) mordre (qch, qn)	Donno_So	Donno So	kɛ́rɛ̀	kɛ́rɛ̀	k ɛ ⁵ r ɛ ¹	bite	mordre	penetrate.bite/sting	pénétrer.mordre/piquer	1403	BITE	kɛ⁵rɛ¹	k ɛ ⁵ r ɛ ¹
84892	(sb, mammal) bite (sb)	(qn, mammifère) mordre (qch, qn)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	cɛ́rɛ́	cɛ́rɛ́	tʃ ɛ ⁵ r ɛ ⁵	bite	mordre	penetrate.bite/sting	pénétrer.mordre/piquer	1403	BITE	tʃɛ⁵rɛ⁵	tʃ ɛ ⁵ r ɛ ⁵
84902	(sb, mammal) bite (sb)	(qn, mammifère) mordre (qch, qn)	Tiranige_Boui	Tiranige (Boui, JH)	cɛ́rɔ́	cɛ́rɔ́	tʃ ɛ ⁵ r ɔ ⁵	bite	mordre	penetrate.bite/sting	pénétrer.mordre/piquer	1403	BITE	tʃɛ⁵rɔ⁵	tʃ ɛ ⁵ r ɔ ⁵
84903	(sb, mammal) bite (sb)	(qn, mammifère) mordre (qch, qn)	Mombo_Songho	Mombo (Songho, KP)	núŋgɛ́	núŋgɛ́	n u ⁵ ŋ ɡ ɛ ⁵	bite	mordre	penetrate.bite/sting	pénétrer.mordre/piquer	1403	BITE	nu⁵ŋɡɛ⁵	n u ⁵ ŋɡ ɛ ⁵
84906	(sb, mammal) bite (sb)	(qn, mammifère) mordre (qch, qn)	Penange_Pinia	Penange (Pinia)	núŋgɛ́	núŋgɛ́	n u ⁵ ŋ ɡ ɛ ⁵	bite	mordre	penetrate.bite/sting	pénétrer.mordre/piquer	1403	BITE	nu⁵ŋɡɛ⁵	n u ⁵ ŋɡ ɛ ⁵ 
#															
12354	(single) grain, seed, nut	graine (individuelle), noix	Donno_So	Donno So	î:	î:	iː ⁵¹	grain, seed, nut	graine, noix	part (plant).seed	partie (plante).graine	714	SEED	iː⁵¹	- iː ⁵¹ 
12355	(single) grain, seed, nut	graine (individuelle), noix	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	sɛ̌yⁿ	sɛ̌yⁿ	s ɛ ¹⁵ j ∼	grain, seed, nut	graine, noix	part (plant).seed	partie (plante).graine	714	SEED	sɛ¹⁵j∼	s ɛ ¹⁵ j̃∼ - -
12370	(single) grain, seed, nut	graine (individuelle), noix	Tiranige_Boui	Tiranige (Boui, JH)	sé: (Ningo), sé-ŋgé (Boui)	sé:	s eː ⁵	grain, seed, nut	graine, noix	part (plant).seed	partie (plante).graine	714	SEED	seː⁵	s eː ⁵ 
12371	(single) grain, seed, nut	graine (individuelle), noix	Mombo_Songho	Mombo (Songho, KP)	sí:	sí:	s iː ⁵	grain, seed, nut	graine, noix	part (plant).seed	partie (plante).graine	714	SEED	siː⁵	s iː ⁵ 
12374	(single) grain, seed, nut	graine (individuelle), noix	Penange_Pinia	Penange (Pinia)	sè:	sè:	s eː ¹	grain, seed, nut	graine, noix	part (plant).seed	partie (plante).graine	714	SEED	seː¹	s eː ¹ 
#															
34976	(water jar, roof, sack, pocket) leak	(canari, toit, sac, poche) suinter, ê. troué de sorte que le contenu sort	Donno_So	Donno So	ànà-tègúlù súgò	ànà-tègúlù_súgò	a ¹ n a ¹ + t e ¹ ɡ u ⁵ l u ¹ _ s u ⁵ ɡ o ¹	leak	suinter	house.leak	maison.suinter	769	ROOF	a¹na¹+te¹ɡu⁵lu¹_su⁵ɡo¹	- a ¹ n a ¹ + t e ¹ ɡ u ⁵ l u ¹ s u ⁵ ɡ o ¹
34977	(water jar, roof, sack, pocket) leak	(canari, toit, sac, poche) suinter, ê. troué de sorte que le contenu sort	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	sójó	sójó	s o ⁵ j o ⁵	leak	suinter	house.leak	maison.suinter	769	ROOF	so⁵jo⁵	s o ⁵ j o ⁵
34987	(water jar, roof, sack, pocket) leak	(canari, toit, sac, poche) suinter, ê. troué de sorte que le contenu sort	Tiranige_Boui	Tiranige (Boui, JH)	tɛ́gɔ́	tɛ́gɔ́	t ɛ ⁵ ɡ ɔ ⁵	leak	suinter	house.leak	maison.suinter	769	ROOF	tɛ⁵ɡɔ⁵	t ɛ ⁵ ɡ ɔ ⁵
34988	(water jar, roof, sack, pocket) leak	(canari, toit, sac, poche) suinter, ê. troué de sorte que le contenu sort	Mombo_Songho	Mombo (Songho, KP)	múré	múré	m u ⁵ r e ⁵	leak	suinter	house.leak	maison.suinter	769	ROOF	mu⁵re⁵	m u ⁵ r e ⁵
34990	(water jar, roof, sack, pocket) leak	(canari, toit, sac, poche) suinter, ê. troué de sorte que le contenu sort	Penange_Pinia	Penange (Pinia)	síyɛ́, tégú tɛ́gɛ́	síyɛ́	s i ⁵ j ɛ ⁵	leak	suinter	house.leak	maison.suinter	769	ROOF	si⁵jɛ⁵	s i ⁵ j ɛ ⁵
#															
