ID	NUMBER	ENGLISH	FRENCH	ENGLISH_SHORT	SEMFIELD_CODE	REFERENCE	OCCURRENCE
28	28	goat	chèvre	goat	1.0.6.0.1.0	17.0	24
29	29	sheep	mouton	sheep	1.0.7.0.1.0	29.0	24
30	30	chicken	poulet	chicken	5.0.1.0.1.0	129.0	24
31	31	egg	œuf	egg	5.0.3.0.1.0	138.0	24
32	32	new	nouveau	new	7.0.5.0.1.0	196.0	24
33	33	body	corps	body	10.0.1.0.1.0	307.0	24
34	34	back (body)	dos	back	10.0.4.0.8.0	325.0	24
35	35	lung	poumon	lung	10.0.7.0.3.0	361.0	24
36	36	knee	genou	knee	10.0.10.0.1.0	387.0	24
37	37	hair	cheveux	hair	10.0.14.0.1.0	434.0	24
38	38	beard	barbe	beard	10.0.14.0.3.0	436.0	24
39	39	mouth	bouche	mouth	10.0.18.0.1.0	477.0	24
40	40	forehead	front	forehead	10.0.20.0.2.0	489.0	24
41	41	neck	cou	neck	10.0.22.0.1.0	521.0	24
42	42	squat	s'accroupir	squat	12.0.3.0.1.0	703.0	24
43	43	lie down, go to bed	se coucher	lie down	12.0.8.0.1.0	734.0	24
44	44	tail (of dog, sheep, etc.)	queue (de chien, de mouton, etc.)	tail	13.0.3.0.1.0	760.0	24
45	45	wing (of bird)	aile (d'oiseau)	wing	13.0.4.0.1.0	762.0	24
46	46	horn (of animal)	corne (d'animal)	horn	13.0.5.0.1.0	772.0	24
47	47	carapace, shell (of tortoise)	carapace (coque de tortue)	shell, carapace	13.0.10.0.2.0	787.0	24
48	48	root	racine	root	15.0.2.0.1.0	867.0	24
49	49	stem, stalk	tige	stem	15.0.3.0.1.0	873.0	24
50	50	leaf (of plant)	feuille (de plante)	leaf	15.0.7.0.1.0	900.0	24
51	51	thorn	épine	thorn	15.0.8.0.1.0	922.0	24
52	52	milk	lait	milk	23.0.1.0.1.0	1496.0	24
53	53	eat (meat)	manger (viande)	eat meat	25.0.1.0.3.0	1541.0	24
54	54	hunger (noun)	faim	hunger	25.0.8.0.1.0	1580.0	24
55	55	suck (e.g. candy)	sucer (bonbon, etc.)	suck	25.0.11.0.1.0	1595.0	24
56	56	flour, powder	farine, poudre	flour, powder	26.0.10.0.1.0	1662.0	24
57	57	go hunting, do some hunting (verb plus noun)	faire la chasse, aller à la chasse (verbe plus substantif)	hunt	27.0.1.0.2.0	1718.0	24
58	58	slightly concave circular calabash cover and winnowing van, woven from doum-palm fronds	couverture de calabasse et van à vanner, légèrement concave, tissé en feuille de doum	winnowing van, calabash cover	28.0.2.0.1.0	1771.0	24
59	59	pounding mortar (any kind)	mortier à piler (toute sorte)	mortar	29.0.1.0.1.0	1796.0	24
60	60	pestle (for pounding in a mortar)	pilon (à piler dans un mortier)	pestle	29.0.3.0.1.0	1804.0	24
61	61	hearth for cooking formed by three large stones (or two stones against a wall)	foyer de cuisine constitué par trois grosses pierres (ou par deux pierres contre un mur)	oven, hearth	32.0.1.0.1.0	1908.0	24
62	62	oil (vegetable, liquid or buttery)	huile (végétale, liquide ou en forme de beurre)	oil	34.0.2.0.1.0	1991.0	24
63	63	ashes	cendre	ashes	35.0.10.0.1.0	2049.0	24
64	64	millet	mil	millet	36.0.2.0.2.0	2069.0	24
65	65	sorghum	sorgho	sorghum	36.0.2.0.3.0	2070.0	24
66	66	cultivated field (for millet etc.) (general word)	champ cultivé (de mil etc.) (mot général)	field	37.0.3.0.1.0	2165.0	24
67	67	uproot (peanuts, weeds) by hand	déraciner (arachides, mauvaises herbes) à la main	uproot	37.0.20.0.1.0	2298.0	24
68	68	calabash (general term)	calebasse (terme général)	calabash	38.0.1.0.1.0	2356.0	24
69	69	camel	chameau	camel	1.0.2.0.1.0	4.0	23
70	70	cat	chat	cat	1.0.3.0.1.0	5.0	23
71	71	horse	cheval	horse	1.0.8.0.1.0	43.0	23
72	72	bird (any)	(tout) oiseau	bird	1.0.11.0.1.0	47.0	23
73	73	cut throat of (animal), slaughter	égorger	cut throat, slaughter	2.0.11.0.1.0	91.0	23
74	74	skin and butcher (carcass of slaughtered animal)	dépouiller (carcasse d'animal égorgé)	butcher, skin	2.0.11.0.2.0	92.0	23
75	75	donkey	âne	donkey	3.0.1.0.1.0	95.0	23
76	76	old (thing, animal)	vieux (objet, animal)	old	7.0.1.0.7.0	181.0	23
77	77	belly	ventre	belly	10.0.4.0.1.0	318.0	23
78	78	navel	nombril	navel	10.0.4.0.3.0	320.0	23
79	79	female breast	sein de la femme	breast	10.0.4.0.6.0	323.0	23
80	80	hip	hanche (au flanc)	hip	10.0.5.0.6.0	340.0	23
81	81	jaw (lower)	mâchoire (inférieure)	jaw	10.0.6.0.10.0	352.0	23
82	82	heart	cœur	heart	10.0.7.0.2.0	360.0	23
83	83	stomach	estomac	stomach	10.0.7.0.6.0	364.0	23
84	84	tendon, sinew, nerve	tendon, nerf	nerve, tendon, sinew	10.0.8.0.1.0	373.0	23
85	85	testicles	testicules	testicles	10.0.9.0.1.0	378.0	23
86	86	elbow	coude	elbow	10.0.10.0.5.0	391.0	23
87	87	hiccup (noun)	hoquet (substantif)	hiccup	11.0.1.0.9.0	554.0	23
88	88	breathe	respirer	breathe	11.0.1.0.10.0	555.0	23
89	89	give out a sneeze, sneeze (verb plus noun)	émettre un éternument, s'éternuer (verbe plus substantif)	sneeze	11.0.2.0.1.0	564.0	23
90	90	rinse out one's mouth	se rincer la bouche	rinse mouth	11.0.12.0.1.0	632.0	23
91	91	vomit (verb only)	vomir	vomit	11.0.14.0.2.0	642.0	23
92	92	urinate, have a piss	uriner, pisser	urinate, piss	11.0.15.0.1.0	645.0	23
93	93	urine	urine	urine	11.0.15.0.2.0	646.0	23
94	94	urinate, piss (verb only)	uriner, pisser (verbe seulement)	urinate, piss	11.0.15.0.3.0	647.0	23
95	95	laugh (verb only)	rire (verbe seulement)	laugh	11.0.16.0.2.0	649.0	23
96	96	laughter	rire (substantif)	laughter	11.0.16.0.3.0	650.0	23
97	97	shut eye(s)	fermer œil/yeux	shut eye	11.0.19.0.3.0	664.0	23
98	98	feather	plume (d'oiseau)	feather	13.0.7.0.1.0	779.0	23
99	99	hump (of cow, camel, st donkey)	bosse (de vache, de chameau, qqf d'âne)	hump (animal)	13.0.8.0.1.0	781.0	23
100	100	scale (of fish or snake)	écaille (de poisson ou de serpent)	scale	13.0.9.0.2.0	785.0	23
101	101	marrow	moelle	marrow	13.0.11.0.1.0	794.0	23
102	102	sheath (of knife or saber)	fourreau, gaine (de couteau ou de sabre)	sheath	14.0.5.0.1.0	855.0	23
103	103	flower (of tree or herb)	fleur (d'arbre ou de plante herbacée)	flower	15.0.14.0.1.0	969.0	23
104	104	boubou (robe) or shirt (all types)	boubou ou chemise (toutes sortes)	boubou	16.0.1.0.1.0	1023.0	23
105	105	fabric, cloth	tissu, étoffe	fabric, cloth	16.0.4.0.1.0	1054.0	23
106	106	pants	pantalon	pants	16.0.9.0.2.0	1089.0	23
107	107	garment, clothes	vêtement, habits	garment, clothes, clothing	16.0.13.0.1.0	1122.0	23
108	108	shoe, footwear (any kind)	chaussure (toute sorte)	shoe	16.0.15.0.1.0	1128.0	23
109	109	hat (any type)	chapeau (toute sorte)	hat	16.0.16.0.1.0	1156.0	23
110	110	turban	turban	turban	16.0.17.0.1.0	1191.0	23
111	111	spin (cotton thread)	filer (fil de coton)	spin	17.0.6.0.1.0	1266.0	23
112	112	thirst	soif	thirst	21.0.4.0.1.0	1442.0	23
113	113	millet beer	bière de mil	millet beer	22.0.6.0.1.0	1480.0	23
114	114	milk (verb), draw milk from (cow, goat)	traire (vache, chèvre)	draw milk	23.0.2.0.1.0	1503.0	23
115	115	honey	miel	honey	24.0.1.0.1.0	1528.0	23
116	116	eat a meal	manger un repas	eat meal	25.0.1.0.1.0	1539.0	23
117	117	eat (meal)	manger (repas)	eat meal	25.0.1.0.2.0	1540.0	23
118	118	munch on and suck (kola, sugar cane)	croquer légèrement en suçant (cola, canne à sucre)	chew, munch	25.0.2.0.5.0	1555.0	23
119	119	breakfast	petit déjeuner	breakfast	26.0.2.0.1.0	1610.0	23
120	120	lunch	déjeuner	lunch	26.0.2.0.3.0	1612.0	23
121	121	couscous (from millet flour)	couscous (à base de farine de mil)	couscous	26.0.8.0.1.0	1656.0	23
122	122	animal fat (in meat)	graisse d'animal (dans la viande)	fat	26.0.13.0.1.0	1687.0	23
123	123	hunter	chasseur	hunter	27.0.1.0.1.0	1717.0	23
124	124	winnow (pounded grain) by dropping it slowly into a calabash in the wind (which blows chaff away)	vanner (graines pilées) en les laissant tomber dans une calebasse, au vent (qui emporte le son)	winnow	28.0.1.0.1.0	1767.0	23
125	125	winnow (e.g. pounded grain spikes) by shaking them from side to side in a calabash or winnowing van held at a slight downward angle so that larger or lighter items rise to the top and fall off (to remove grain-spike debris while grain remains in container, or to transfer grains into another container while sand etc. remains and can be discarded)	vanner (par ex. des épis pilés) en secouant à droite et à gauche sur un van plat ou dans une calebasse qu'on tient à un angle, de sorte que les éléments gros ou légers tombent (afin d'enlever les brisures d'épi tout en gardant les grains, ou afin de transférer les grains dans un autre récipient tout en gardant le sable etc. qu'on peut jeter)	winnow	28.0.1.0.2.0	1768.0	23
126	126	wide, flat, slightly concave grindstone with coarse texture on which one grinds (e.g. millet) with a small round stone	pierre large, plate et légèrement creuse à surface rugueuse sur laquelle on écrase (mil etc.) avec une petite pierre ronde	grindstone	30.0.2.0.1.0	1822.0	23
127	127	small round grindstone held in hand with which one grinds (e.g. millet grain) on a large flat stone	petite pierre ronde tenue dans la main avec laquelle on écrase (le mil etc.) sur une pierre large et plate	grindstone	30.0.2.0.2.0	1823.0	23
128	128	crumple (paper or clothing)	froisser (papier ou vêtement)	crumple	30.0.3.0.1.0	1830.0	23
129	129	pound (grain etc.) in a mortar, with a pestle (general word)	piler (céréales etc.) dans un mortier, à l'aide d'un pilon (mot général)	pound	30.0.4.0.1.0	1835.0	23
130	130	pound (grain, in mortar, with a little water) to remove chaff and bran	piler (céréales, dans un mortier, avec un peu d'eau) pour enlever le son et les balles	pound	30.0.7.0.1.0	1844.0	23
131	131	hot chili pepper	piment	chili pepper	33.0.5.0.1.0	1958.0	23
132	132	roselle, bissap (cultivated hibiscus, used in cooking and for beverages; Hibiscus sabdariffa)	dah, oseille (hibiscus cultivé, utilisé dans la cuisine et dans les boissons; Hibiscus sabdariffa)	roselle, bissap	33.0.6.0.1.0	1960.0	23
133	133	salt	sel	salt	33.0.9.0.1.0	1976.0	23
134	134	traditional flint lighter (fire-making device)	briquet à silex traditionnel	lighter	35.0.3.0.1.0	2028.0	23
135	135	strike (match, flint lighter)	allumer (allumette, briquet à silex)	strike (match)	35.0.6.0.1.0	2036.0	23
136	136	charcoal	charbon	charcoal	35.0.9.0.1.0	2046.0	23
137	137	rice	riz	rice	36.0.2.0.6.0	2073.0	23
138	138	corn, maize	maïs	corn, maize	36.0.2.0.8.0	2075.0	23
139	139	cow-pea	haricot	cow-pea	36.0.3.0.1.0	2110.0	23
140	140	kola nut	cola	kola	36.0.5.0.1.0	2126.0	23
141	141	peanut	arachide	peanut	36.0.5.0.5.0	2130.0	23
142	142	cultivated groundnut (Vigna subterranea), similar to peanut	pois de terre (Vigna subterranea), ressemble à l'arachide	groundnut	36.0.5.0.6.0	2131.0	23
143	143	sweet potato	patate (douce)	sweet potato	36.0.6.0.2.0	2136.0	23
144	144	onion	oignon	onion	36.0.6.0.6.0	2140.0	23
145	145	African eggplant (similar to tomato) in two varieties	aubergine africaine (ressemble aux tomates) en deux variétés	eggplant (African)	36.0.8.0.1.0	2150.0	23
146	146	okra	gombo	okra	36.0.8.0.5.0	2154.0	23
147	147	farmer, peasant	cultivateur, paysan	farmer	37.0.1.0.1.0	2157.0	23
148	148	boundary (of field)	limite (d'un champ)	boundary	37.0.5.0.1.0	2179.0	23
149	149	manure (sometimes mixed with garbage) as fertilizer	fumier (parfois mélangé d'ordures) en tant qu'engrais	manure, fertilizer	37.0.6.0.1.0	2191.0	23
150	150	sickle (for cutting grass, or cutting stems of rice, roselle, sesame with slashing action)	faucille (pour couper l'herbe, ou pour couper les tiges de riz, de dah, de sésame en frappant)	sickle	37.0.9.0.1.0	2216.0	23
151	151	(plant) sprout, come up (verb)	(plante) pousser, germer	sprout	37.0.18.0.1.0	2276.0	23
152	152	reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle	faucher, couper (tiges, par ex. en récoltant le riz ou le dah) à coups de faucille	reap, harvest	37.0.23.0.1.0	2331.0	23
153	153	small gourd (with thin neck that opens widely at top), especially for curdled milk and cream of millet	gourde (petite, à col étroit qui s'ouvre en haut) surtout pour le lait caillé et la crème de mil	gourd	38.0.8.0.1.0	2381.0	23
154	154	large wooden eating bowl	grosse écuelle à manger en bois	bowl	42.0.1.0.1.0	2455.0	23
155	155	shoulderbag from an entire goatskin (carried to fields)	gibecière d'une peau entière de chèvre (portée aux champs)	shoulderbag	43.0.1.0.1.0	2468.0	23
156	156	large basket with squared base, woven tightly from grass stems (for bringing harvested millet grain spikes from the fields to the village)	gros panier carré en bas, tissé solidement à base de tiges de graminées (sert à apporter les épis de mil récoltés du champs au village)	basket (grass stems)	44.0.1.0.1.0	2486.0	23
157	157	road, path	chemin, route	road	57.0.5.0.1.0	2969.0	23
158	158	sun	soleil	sun	59.0.1.0.1.0	3058.0	23
159	159	moon	lune	moon	59.0.2.0.1.0	3059.0	23
160	160	night	nuit	night	73.0.1.0.1.0	3698.0	23
161	161	personal name	nom personnel	name	102.0.4.0.1.0	5121.0	23
162	162	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	1.0.1.0.1.0	1.0	22
163	163	cow, bull (any bovine)	bovin (vache ou taureau)	cow, bull	1.0.4.0.1.0	6.0	22
164	164	pigeon (domestic)	pigeon (domestic)	pigeon	1.0.9.0.1.0	44.0	22
165	165	boy	garçon	boy	6.0.4.0.2.0	155.0	22
166	166	girl	fille	girl	6.0.4.0.3.0	156.0	22
167	167	get old, age (verb)	vieiillir, ê. ou devenir vieux	get old	7.0.1.0.3.0	177.0	22
168	168	(female) give birth to (baby)	(femelle) accoucher (bébé)	bear, give birth to	8.0.1.0.1.0	204.0	22
169	169	christening, naming ceremony (for newborn, one week after birth)	baptême (rite où on donne un nom au nouveau-né, sept jours après la naissance)	baptism	8.0.2.0.1.0	213.0	22
170	170	buttock	fesse	buttock	10.0.5.0.1.0	335.0	22
171	171	penis	pénis, sexe de l'homme	penis	10.0.9.0.5.0	382.0	22
172	172	vagina	vagin	vagina	10.0.9.0.7.0	384.0	22
173	173	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	armpit	10.0.11.0.11.0	409.0	22
174	174	calf (of leg)	mollet	calf (leg)	10.0.12.0.3.0	413.0	22
175	175	finger	doigt	finger	10.0.13.0.1.0	422.0	22
176	176	fingernail	ongle (de la main)	nail	10.0.13.0.10.0	431.0	22
177	177	face	visage	face	10.0.20.0.1.0	488.0	22
178	178	cheek	joue	cheek	10.0.20.0.9.0	496.0	22
179	179	cough (verb only)	tousser	cough	11.0.1.0.2.0	547.0	22
180	180	coughing (noun)	toux	cough	11.0.1.0.3.0	548.0	22
181	181	belch, emit a belch	éructer, roter	belch, burp	11.0.1.0.4.0	549.0	22
182	182	have the hiccups	avoir le hoquet	hiccup	11.0.1.0.7.0	552.0	22
183	183	breathe (verb only)	respirer (verbe seulement)	breathe	11.0.1.0.11.0	556.0	22
184	184	yawn, make a yawn	bâiller, faire un bâillement	yawn	11.0.7.0.1.0	596.0	22
185	185	spit, emit a spit	cracher, faire un crachat	spit	11.0.11.0.1.0	612.0	22
186	186	spit (verb only)	cracher	spit	11.0.11.0.2.0	613.0	22
187	187	rinse out (one's mouth) (verb only)	se rincer (la bouche) (verbe seulement)	rinse mouth	11.0.12.0.2.0	633.0	22
188	188	vomir, emit vomit	vomir, avoir un vomissement	vomit	11.0.14.0.1.0	641.0	22
189	189	shut one's mouth	se fermer la bouche	shut mouth	11.0.19.0.1.0	662.0	22
190	190	shut (mouth) (verb only)	se fermer (la bouche) (verbe seulement)	shut mouth	11.0.19.0.2.0	663.0	22
191	191	defecate, have a shit	déféquer, faire caca	defecate, shit	11.0.20.0.1.0	665.0	22
192	192	excrement, shit (noun)	excréments, caca	excrement, shit	11.0.20.0.2.0	666.0	22
193	193	sweat (noun), perspiration	sueur	sweat	11.0.22.0.1.0	676.0	22
194	194	be sitting (stative)	ê. assis (statif)	sit	12.0.1.0.2.0	691.0	22
195	195	(sb, camel) kneel	(qn, chameau) s'agenouiller	kneel	12.0.2.0.1.0	701.0	22
196	196	comb, crest (on head of rooster)	crête (de coq)	comb, crest	13.0.6.0.1.0	775.0	22
197	197	rumen, paunch (first stomach, non-elastic, of cud-chewing animal, into which fodder is pre-digested)	panse (premier estomac, non élastique, d'animal ruminant dans lequel la nourriture est pré-digérée)	rumen, paunch	13.0.14.0.1.0	814.0	22
198	198	omasum, psalterium, manyplies (small third stomach of cud-chewing animal, divided into sections by folds)	feuillet, omasum (petit troisième estomac d'animal ruminant, divisé par des plis qui rendent difficile le nettoyage)	omasum, psalterium, manyplies	13.0.14.0.3.0	816.0	22
199	199	gizzard	gésier	gizzard	13.0.14.0.7.0	820.0	22
200	200	handle, shaft (of knife, hoe, etc.)	manche (de couteau, de daba, etc.)	handle	14.0.4.0.1.0	849.0	22
201	201	remove blade (of ax or hoe) from handle	enlever (lame de daba ou de hache) du manche	insert handle	14.0.4.0.3.0	851.0	22
202	202	attach blade (of ax or hoe) to the wooden handle by inserting the pin at the back of the blade into a hole in the end of the handle	emmancher (lame de daba ou de hache) en insérant la pointe de l'arrière de la lame dans un trou vers le bout du manche	insert handle	14.0.4.0.5.0	853.0	22
203	203	tree bark	écorce	tree bark	15.0.4.0.1.0	883.0	22
204	204	inner bran of grain	son intérieur des céréales	bran	15.0.11.0.1.0	960.0	22
205	205	chaff, outer covering of grains and their connection to grain spikes	balle, son extérieur des graines de céréales et ce qui les attache à l'épi	chaff	15.0.11.0.2.0	961.0	22
206	206	reddish fuzz (flowers) on millet grain spike (just before the first grains appear)	duvet rouge (fleurs) qui couvrent l'épi (juste avant la parution des grains)	fuzz	15.0.12.0.1.0	966.0	22
207	207	wrap (woman's garment)	pagne (vêtement de femme)	wrap (woman's)	16.0.8.0.1.0	1076.0	22
208	208	put on one's shoes	se chausser, mettre ses chaussures	put on	16.0.15.0.2.0	1129.0	22
209	209	woman's head shawl	foulard de tête de femme	shawl	16.0.18.0.1.0	1197.0	22
210	210	sew (with needle)	coudre (à l'aiguille)	sew	16.0.24.0.1.0	1232.0	22
211	211	thick cotton thread (warp, in weaving)	fil épais de coton (chaîne, en tissage)	cotton, thread, warp	17.0.2.0.3.0	1253.0	22
212	212	thin cotton thread (woof, in weaving, stronger than the warp)	fil mince de coton (trâme, en tissage)	cotton, thread, woof	17.0.2.0.4.0	1254.0	22
213	213	gin, remove seeds from (cotton, by crushing with a rolling pin or stone)	égrener, enlever les graines de (coton, en l'écrasant avec une barre de métal ou avec une pierre)	gin (cotton)	17.0.3.0.2.0	1258.0	22
214	214	weave (fabric, from cotton thread)	tisser (tissu, en fil de coton)	weave	17.0.8.0.4.0	1276.0	22
215	215	(sb) braid the hair of, do the hair of (a woman)	(qn) tresser les cheveux de, coiffer (une femme)	braid	19.0.1.0.5.0	1321.0	22
216	216	chewstick, toothpick	cure-dents	chewstick, toothpick	19.0.5.0.1.0	1327.0	22
217	217	pick one's teeth (with chewstick or twig)	se curer les dents (avec un cure-dents en bois ou avec une tige)	pick teeth	19.0.5.0.2.0	1328.0	22
218	218	bracelet	bracelet	bracelet	20.0.1.0.1.0	1341.0	22
219	219	necklace	collier	necklace	20.0.5.0.1.0	1361.0	22
220	220	cream of millet	crème de mil	cream of millet	22.0.1.0.1.0	1446.0	22
221	221	tea	thé	tea	22.0.8.0.1.0	1494.0	22
222	222	fresh milk	lait frais	milk (fresh)	23.0.1.0.2.0	1497.0	22
223	223	curdled milk (beverage)	lait caillé (boisson)	milk (curdled)	23.0.1.0.3.0	1498.0	22
224	224	eat (sth dry and powdery, e.g. flour or milk powder)	manger (aliment sec en poudre, par ex., farine, lait en poudre)	eat	25.0.1.0.9.0	1547.0	22
225	225	eat (snack, e.g. peanuts, dates, biscuits)	manger (friandises, par ex. arachides, dattes, biscuits)	eat	25.0.1.0.10.0	1548.0	22
226	226	handful (of food)	tartine (poignée de nourriture)	handful	25.0.5.0.1.0	1566.0	22
227	227	take (handful of food) in hand	prendre (tartine de nourriture) dans la main	handful	25.0.5.0.3.0	1568.0	22
228	228	dip briefly (e.g. piece of millet cake in sauce, clothing in water)	tremper rapidement (tartine de tô dans la sauce, vêtement dans l'eau, etc.)	dip	25.0.6.0.1.0	1572.0	22
229	229	I am full (satisfied after eating)	je suis rassasié (de nourriture)	sated, full	25.0.7.0.1.0	1574.0	22
230	230	lick	lécher	lick	25.0.10.0.1.0	1593.0	22
231	231	swallow	avaler	swallow	25.0.12.0.1.0	1597.0	22
232	232	meal (cooked)	repas (cuit)	meal	26.0.1.0.1.0	1606.0	22
233	233	supper	dîner	supper	26.0.2.0.6.0	1615.0	22
234	234	green baobab-leaf sauce (the common sauce for millet cakes)	sauce verte aux feuilles de baobab (la sauce ordinaire pour le tô)	sauce	26.0.15.0.1.0	1693.0	22
235	235	hunt (noun)	chasse (fait de faire la)	hunt	27.0.1.0.3.0	1719.0	22
236	236	shoot (sb/sth)	tirer sur (qn/qch, avec un fusil etc.)	shoot	27.0.9.0.1.0	1758.0	22
237	237	sift (sth)	tamiser (qch)	sift	28.0.4.0.1.0	1779.0	22
238	238	sieve	tamis	sieve	28.0.5.0.1.0	1787.0	22
239	239	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	bien écraser (mil, etc.) avec deux pierres à écraser	grind, crush	30.0.1.0.2.0	1810.0	22
240	240	pound (millet spikes, in a large mortar, to dislodge grains from spike)	décortiquer en pilant (épis de mil, dans un gros mortier, pour enlever les graines)	pound	30.0.5.0.1.0	1838.0	22
241	241	unripe (fruit)	(fruit) cru	unripe	31.0.5.0.2.0	1902.0	22
242	242	cook a meal	cuire un repas	cook	32.0.2.0.1.0	1911.0	22
243	243	grill, roast (meat) over a fire	griller (viande) au-dessus du feu	roast, grill	32.0.4.0.2.0	1925.0	22
244	244	char, cook (sth) until black	carboniser, cuire (qch) jusqu'à noircir	char	32.0.7.0.1.0	1943.0	22
245	245	macari (black spice made with seeds of roselle)	macari (épice noire à base de graines de dah)	macari	33.0.3.0.1.0	1954.0	22
246	246	shea-butter (for cooking)	beurre de karité	shea-butter	34.0.3.0.1.0	1996.0	22
247	247	firewood	bois de chauffage	firewood	35.0.2.0.1.0	2019.0	22
248	248	tinder (kapok or other soft vegetable material for flint lighter)	amadou (kapok ou autre matière végétale molle et sèche pour le briquet à silex)	tinder, kapok	35.0.4.0.1.0	2029.0	22
249	249	hot coal, ember	braise	ember, coal	35.0.9.0.2.0	2047.0	22
250	250	blow on (e.g. fire)	souffler sur (feu etc.)	blow	35.0.12.0.1.0	2052.0	22
251	251	fonio (cultivated grain, Digitaria exilis)	fonio (céréale cultivée, Digitaria exilis)	fonio	36.0.2.0.7.0	2074.0	22
252	252	peanut or groundnut	arachide ou pois (arachide) de terre	peanut, groundnut	36.0.5.0.7.0	2132.0	22
253	253	work in the fields, do farm work (with hoe or plow)	cultiver, travailler aux champs (avec daba ou avec charrue)	farming	37.0.2.0.1.0	2158.0	22
254	254	seedstock, seeds for sowing	semailles (qu'on sème)	seedstock	37.0.12.0.1.0	2229.0	22
255	255	slash earth in field with pick-hoe (to plant seeds)	faire des poquets avec la pioche dans un champ (afin de semer)	slash earth	37.0.13.0.1.0	2234.0	22
256	256	do the harvest, harvest the crops (with a knife)	effectuer la récolte avec un couteau	harvest	37.0.22.0.1.0	2310.0	22
257	257	earthenware water jar (all types)	canari, jarre à eau en terre cuite (toutes sortes)	jar, waterjar	39.0.1.0.1.0	2390.0	22
258	258	trough (of wood or metal, for drinking or to beat as a drum)	abreuvoir (en bois ou en métal, pour l'eau ou à battre comme tambour)	trough	39.0.5.0.1.0	2418.0	22
259	259	waterskin (entire goatskin, for carrying water), all types	outre (peau entière de chèvre, pour porter l'eau), toutes sortes	waterskin	40.0.1.0.1.0	2425.0	22
260	260	mid-sized basket loosely woven from flexible wood strips cut from branches (for measuring a quantity of millet grain spikes, for filtering out sand from cow-peas, etc.)	panier de taille moyenne, grossièrement tissé en tranches coupées de branches pliantes (pour mesurer une quantité d'épis de mil, pour filtrer le sable des haricots, etc.)	basket (branches)	44.0.1.0.6.0	2491.0	22
261	261	ladle (noun)	louche (cuiller)	ladle	46.0.2.0.1.0	2530.0	22
262	262	(liquid) drip (one drop at a time)	(liquide) goutter (goutte par goutte)	drip	47.0.1.0.1.0	2545.0	22
263	263	sprinkle (water) from a container	asperger (eau) d'un récipient	sprinkle	47.0.2.0.1.0	2558.0	22
264	264	sprinkle (water) by shaking one's hand	asperger (eau) en secouant la main	sprinkle	47.0.2.0.4.0	2561.0	22
265	265	stone, rock	pierre, rocher	stone, rock	48.0.1.0.1.0	2608.0	22
266	266	sand, sandy soil	sable, sol sableux	sand	48.0.6.0.1.0	2639.0	22
267	267	wind (airflow)	vent	wind (air)	60.0.6.0.1.0	3118.0	22
268	268	cloud	nuage	cloud	60.0.9.0.1.0	3134.0	22
269	269	here	ici	here	62.0.3.0.1.0	3192.0	22
270	270	he is there	il est là	be (somewhere)	64.0.6.0.3.0	3286.0	22
271	271	exist, there is/are	exister, il y a	exist, be (somewhere)	64.0.6.0.5.0	3288.0	22
272	272	thing (general term)	chose (mot général)	thing, object	64.0.12.0.1.0	3314.0	22
273	273	far, distant	lointain	far, distant	65.0.1.0.1.0	3316.0	22
