ID	CONCEPT_IN_SOURCE	IPA	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CONCEPT	BORROWINGS	TOKENS
45	get old, age (verb)	pɛ́:ⁿ	vieiillir, ê. ou devenir vieux	1789	Togo_Kan	AGE		p ɛ̃ː ∼ ⁵
46	get old, age (verb)	pɛ́ɛ́ⁿ	vieiillir, ê. ou devenir vieux	1789	Tommo_So	AGE		p ɛ̃ː ∼ ⁵
47	get old, age (verb)	pyɛ́:ⁿ	vieiillir, ê. ou devenir vieux	1789	Tomo_Kan	AGE		p j ɛ̃ː ∼ ⁵
48	get old, age (verb)	yɔ̌w	vieiillir, ê. ou devenir vieux	1789	Toro_Tegu	AGE		j ɔ ¹⁵ w
49	get old, age (verb)	pɛ́:	vieiillir, ê. ou devenir vieux	1789	Yanda_Dom	AGE		p ɛː ⁵
50	get old, age (verb)	pɛ́:	vieiillir, ê. ou devenir vieux	1789	Yorno_So	AGE		p ɛː ⁵
51	get old, age (verb)	bɛ́ⁿbá	aïeul, ancêtre	1669	Bambara	ANCESTORS		b ɛ ∼ ⁵ b a ⁵
52	old person; parent(s); ancestor(s)	kāàⁿ	vieille personne; parent(s) (père, mère); ancêtre(s)	1669	Bangime	ANCESTORS	SONG	k ã: ∼ ³¹
53	ancestor	kùmbó	ancêtre	1669	Ben_Tey	ANCESTORS		k u ¹ m b o ⁵
54	ancestor	njaatiraa-ɗoo	ancêtre	1669	Fulfulde	ANCESTORS		n dʒ a a t i r a a + ɗ o o
55	ancestor	ńdá_kúnjù	ancêtre	1669	Mombo	ANCESTORS		n ⁵ d a ⁵ _ k u ⁵ n dʒ u ¹
56	ancestor	dùgú	ancêtre	1669	Nanga	ANCESTORS		d u ¹ ɡ u ⁵
57	ancestor	tìrɛ́	ancêtre	1669	Perge_Tegu	ANCESTORS		t i ¹ r ɛ ⁵
58	ancestor	kàà	ancêtre	1669	Songhai_Kiini	ANCESTORS		k aː ¹
59	[n inal] grandmother, grandfather	kà:gè	grand-mère, grand-père	1669	Songhai_Senni	ANCESTORS		k aː ¹ ɡ e ¹
60	ancestor	tìrɛ́	ancêtre	1669	Togo_Kan	ANCESTORS		t i ¹ r ɛ ⁵
61	ancestor	mɔ̀ɛ̀-mì-nɛ́	ancêtre	1669	Tommo_So	ANCESTORS		m ɔ ¹ ɛ ¹ + m i ¹ + n ɛ ⁵
62	ancestor	tɛ̀ná	ancêtre	1669	Toro_Tegu	ANCESTORS		t ɛ ¹ n a ⁵
63	ancestor	tírɛ́	ancêtre	1669	Yorno_So	ANCESTORS		t i ⁵ r ɛ ⁵
64	animal	dántán	animal domestique (surtout bétail)	619	Bambara	ANIMAL		d a ⁵ n t a ⁵ n
65	animal	yíríbɛ̀	animal	619	Bangime	ANIMAL		j i ⁵ r i ⁵ b ɛ ¹
66	domestic animal (esp. livestock)	dá:bàm	animal domestique (surtout bétail)	619	Bankan_Tey	ANIMAL	FUL/AR	d aː ⁵ b a ¹ m
67	domestic animal (esp. livestock)	àrsɛ̌:	animal domestique (surtout bétail)	619	Ben_Tey	ANIMAL		a ¹ r s ɛː ¹⁵
68	animal	biraⁿteu	animal	619	Bozo_Korondougou_nord	ANIMAL		b i r ã ∼ t e u
69	animal	kooⁿbo	animal	619	Bozo_Tiema_Cewe	ANIMAL		k o o ∼ b o
70	domestic animal (esp. livestock)	kɔ́mbɔ̀	animal domestique (surtout bétail)	619	Bunoge	ANIMAL		k ɔ ⁵ m b ɔ ¹
71	domestic animal (esp. livestock)	bɛ́lɛ̀gù	animal domestique (surtout bétail)	619	Dogul_Dom	ANIMAL		b ɛ ⁵ l ɛ ¹ ɡ u ¹
72	domestic animal (esp. livestock)	bɛ̀lú	animal domestique (surtout bétail)	619	Donno_So	ANIMAL		b ɛ ¹ l u ⁵
73	animal	daaba	animal domestique (surtout bétail)	619	Fulfulde	ANIMAL		d a a b a
74	domestic animal (esp. livestock)	gàrsɛ̀gɛ́	animal domestique (surtout bétail)	619	Gourou	ANIMAL		ɡ a ¹ r s ɛ ¹ ɡ ɛ ⁵
75	domestic animal (esp. livestock)	àsɛ̀gɛ́	animal domestique (surtout bétail)	619	Jamsay	ANIMAL		a ¹ s ɛ ¹ ɡ ɛ ⁵
76	animal	dáábā	animal domestique (surtout bétail)	619	Jenaama	ANIMAL		d aː ⁵ b a ³
77	domestic animal (esp. livestock)	dèbù_bɛ́lí	animal domestique (surtout bétail)	619	Mombo	ANIMAL		d e ¹ b u ¹ _ b ɛ ⁵ l i ⁵
78	domestic animal (esp. livestock)	dúmɛ́ŋgó	animal domestique (surtout bétail)	619	Najamba	ANIMAL		d u ⁵ m ɛ ⁵ ŋ ɡ o ⁵
79	domestic animal (esp. livestock)	gàsɛ̀gɛ́	animal domestique (surtout bétail)	619	Nanga	ANIMAL		ɡ a ¹ s ɛ ¹ ɡ ɛ ⁵
80	animal	dá:bá	animal domestique (surtout bétail)	619	Penange	ANIMAL	FUL/AR	d aː ⁵ b a ⁵
81	domestic animal (esp. livestock)	àsɛ̀gɛ́	animal domestique (surtout bétail)	619	Perge_Tegu	ANIMAL		a ¹ s ɛ ¹ ɡ ɛ ⁵
82	animal	dá:bbà	animal domestique (surtout bétail)	619	Songhai_Kiini	ANIMAL	FUL/AR	d aː ⁵ b b a ¹
83	animal	dá:bbà:	animal domestique (surtout bétail)	619	Songhai_Senni	ANIMAL	FUL/AR	d aː ⁵ b b aː ¹
84	domestic animal (esp. livestock)	àsɛ̀gɛ́	animal domestique (surtout bétail)	619	Tebul_Ure	ANIMAL		a ¹ s ɛ ¹ ɡ ɛ ⁵
85	domestic animal (esp. livestock)	bèl	animal domestique (surtout bétail)	619	Tiranige_Diga	ANIMAL		b e ¹ l
86	domestic animal (esp. livestock)	gìrⁿí_árúsɛ̀gɛ̀	animal domestique (surtout bétail)	619	Togo_Kan	ANIMAL		ɡ i ¹ r̃ ∼ i ⁵ _ a ⁵ r u ⁵ s ɛ ¹ ɡ ɛ ¹
87	domestic animal (esp. livestock)	bɛ̀lú	animal domestique (surtout bétail)	619	Tommo_So	ANIMAL		b ɛ ¹ l u ⁵
88	domestic animal (esp. livestock)	àrùzàká	animal domestique (surtout bétail)	619	Toro_Tegu	ANIMAL		a ¹ r u ¹ z a ¹ k a ⁵
89	domestic animal (esp. livestock)	àzɛ̀gɛ̀	animal domestique (surtout bétail)	619	Yanda_Dom	ANIMAL		a ¹ z ɛ ¹ ɡ ɛ ¹
90	domestic animal (esp. livestock)	àrùsɛ̀gɛ́	animal domestique (surtout bétail)	619	Yorno_So	ANIMAL		a ¹ r u ¹ s ɛ ¹ ɡ ɛ ⁵
91	reply	lámìnɛ́	répondre (à un salut, un appel...)	1275	Bambara	ANSWER		l a ⁵ m i ¹ n ɛ ⁵
92	reply	yòò-rò	répondre	1275	Bangime	ANSWER		j oː ¹ + r o ¹
93	answer, reply to (sb)	kísɛ́	répondre à (qn)	1275	Bankan_Tey	ANSWER		k i ⁵ s ɛ ⁵
94	answer, reply to (sb)	sá	répondre à (qn)	1275	Ben_Tey	ANSWER		s a ⁵
95	answer, reply to (sb)	kíjɛ̀	répondre à (qn)	1275	Bunoge	ANSWER		k i ⁵ dʒ ɛ ¹
96	answer, reply to (sb)	kísɛ̀	répondre à (qn)	1275	Dogul_Dom	ANSWER		k i ⁵ s ɛ ¹
97	answer, reply to (sb)	ká:sá:	répondre à (qn)	1275	Gourou	ANSWER		k aː ⁵ s aː ⁵
98	answer, reply to (sb)	sá:	répondre à (qn)	1275	Jamsay	ANSWER		s aː ⁵
99	answer, reply to (sb)	ábú-lè	répondre à (qn)	1275	Mombo	ANSWER		a ⁵ b u ⁵ + l e ¹
100	answer, reply to (sb)	sá:	répondre à (qn)	1275	Nanga	ANSWER		s aː ⁵
101	answer, reply to (sb)	kíjɛ́	répondre à (qn)	1275	Penange	ANSWER		k i ⁵ dʒ ɛ ⁵
102	answer, reply to (sb)	sá:	répondre à (qn)	1275	Perge_Tegu	ANSWER		s aː ⁵
103	[intr] respond 	tù:	répondre	1275	Songhai_Kiini	ANSWER		t uː ¹
104	[intr, plus optional dative] reply (to) 	tùrù	répondre (à) -ex: .`sù ­túrù s-êy you’re not answering me 	1275	Songhai_Senni	ANSWER		t u ¹ r u ¹
105	reply	ɲímí	répondre à l’appel de	1275	Soninke	ANSWER		ɲ i ⁵ m i ⁵
106	answer, reply to (sb)	sá:m	répondre à (qn)	1275	Tebul_Ure	ANSWER		s aː ⁵ m
107	answer, reply to (sb)	cígírɔ́	répondre à (qn)	1275	Tiranige_Diga	ANSWER		tʃ i ⁵ ɡ i ⁵ r ɔ ⁵
108	answer, reply to (sb)	sá:	répondre à (qn)	1275	Togo_Kan	ANSWER		s aː ⁵
109	answer, reply to (sb)	sáwá	répondre à (qn)	1275	Tommo_So	ANSWER		s a ⁵ w a ⁵
110	answer, reply to (sb)	sáwá	répondre à (qn)	1275	Tomo_Kan	ANSWER		s a ⁵ w a ⁵
111	answer, reply to (sb)	císú	répondre à (qn)	1275	Toro_Tegu	ANSWER		tʃ i ⁵ s u ⁵
112	answer, reply to (sb)	sáá	répondre à (qn)	1275	Toro_So	ANSWER		s aː ⁵
113	answer, reply to (sb)	m̀bò_sá:	répondre à (qn)	1275	Yanda_Dom	ANSWER		m ¹ b o ¹ _ s aː ⁵
114	answer, reply to (sb)	sá:	répondre à (qn)	1275	Yorno_So	ANSWER		s aː ⁵
115	armpit (where baby is picked up)	kōmpàà	aisselle (où on prend un bébé)	1886	Bangime	ARMPIT		k o ³ m p aː ¹
116	armpit, underarm (where infant is grabbed)	ár_kɛ́ndɛ̀	aisselle (où on prend un enfant)	1886	Bankan_Tey	ARMPIT		a ⁵ r _ k ɛ ⁵ n d ɛ ¹
117	armpit, underarm (where infant is grabbed)	àr_kɛ́lɛ̀	aisselle (où on prend un enfant)	1886	Ben_Tey	ARMPIT		a ¹ r _ k ɛ ⁵ l ɛ ¹
118	armpit	kabaa_tiⁿmɔ	aisselle	1886	Bozo_Hainyaxo	ARMPIT		k a b a a _ t ĩ m ɔ
119	armpit, underarm (where infant is grabbed)	kárà_kàrà	aisselle (où on prend un enfant)	1886	Dogul_Dom	ARMPIT		k a ⁵ r a ¹ _ k a ¹ r a ¹
120	armpit, underarm (where infant is grabbed)	kárù_kàrù	aisselle (où on prend un enfant)	1886	Donno_So	ARMPIT		k a ⁵ r u ¹ _ k a ¹ r u ¹
121	armpit	nawki	aisselle	1886	Fulfulde	ARMPIT		n a w k i
122	armpit, underarm (where infant is grabbed)	kì_kàrá	aisselle (où on prend un enfant)	1886	Gourou	ARMPIT		k i ¹ _ k a ¹ r a ⁵
123	armpit, underarm (where infant is grabbed)	kì_kàrá	aisselle (où on prend un enfant)	1886	Jamsay	ARMPIT		k i ¹ _ k a ¹ r a ⁵
124	armpit (where baby is picked up)	kɛ̄lɛ̄mù	aisselle (où on prend un bébé)	1886	Jenaama	ARMPIT	Ben-Tey	k ɛ ³ l ɛ ³ m u ¹
125	armpit, underarm (where infant is grabbed)	kárá_kárá_súgù	aisselle (où on prend un enfant)	1886	Mombo	ARMPIT		k a ⁵ r a ⁵ _ k a ⁵ r a ⁵ _ s u ⁵ ɡ u ¹
126	armpit, underarm (where infant is grabbed)	kà_kàrâ:_kùl	aisselle (où on prend un enfant)	1886	Najamba	ARMPIT		k a ¹ _ k a ¹ r aː ⁵¹ _ k u ¹ l
127	armpit, underarm (where infant is grabbed)	ɛ̀rɛ̀_kɛ̀ndɛ̂	aisselle (où on prend un enfant)	1886	Nanga	ARMPIT		ɛ ¹ r ɛ ¹ _ k ɛ ¹ n d ɛ ¹⁵
128	armpit, underarm (where infant is grabbed)	kàrà_kàrà	aisselle (où on prend un enfant)	1886	Penange	ARMPIT		k a ¹ r a ¹ _ k a ¹ r a ¹
129	armpit, underarm (where infant is grabbed)	kà_kàrá	aisselle (où on prend un enfant)	1886	Perge_Tegu	ARMPIT		k a ¹ _ k a ¹ r a ⁵
130	[n] armpit; wing	fátò	aisselle; aile	1886	Songhai_Kiini	ARMPIT		f a ⁵ t o ¹
131	[n] armpit; wing	fàtò	aisselle; aile	1886	Songhai_Senni	ARMPIT		f a ¹ t o ¹
132	armpit (where baby is picked up)	kà_kàrá	aisselle (où on prend un bébé)	1886	Tebul_Ure	ARMPIT		k a ¹ _ k a ¹ r a ⁵
133	armpit, underarm (where infant is grabbed)	kàrà_kàrà	aisselle (où on prend un enfant)	1886	Tiranige_Diga	ARMPIT		k a ¹ r a ¹ _ k a ¹ r a ¹
134	armpit, underarm (where infant is grabbed)	kà_kàrá	aisselle (où on prend un enfant)	1886	Togo_Kan	ARMPIT		k a ¹ _ k a ¹ r a ⁵
135	armpit, underarm (where infant is grabbed)	ká_kárú	aisselle (où on prend un enfant)	1886	Tommo_So	ARMPIT		k a ⁵ _ k a ⁵ r u ⁵
136	armpit, underarm (where infant is grabbed)	kì_kàrà	aisselle (où on prend un enfant)	1886	Tomo_Kan	ARMPIT		k i ¹ _ k a ¹ r a ¹
137	armpit, underarm (where infant is grabbed)	ìr_kílá	aisselle (où on prend un enfant)	1886	Toro_Tegu	ARMPIT		i ¹ r _ k i ⁵ l a ⁵
138	armpit, underarm (where infant is grabbed)	kà_gádà	aisselle (où on prend un enfant)	1886	Yanda_Dom	ARMPIT		k a ¹ _ ɡ a ⁵ d a ¹
139	armpit, underarm (where infant is grabbed)	kí_kárú	aisselle (où on prend un enfant)	1886	Yorno_So	ARMPIT		k i ⁵ _ k a ⁵ r u ⁵
140	armpit (where baby is picked up)	gáná	aisselle (où on prend un enfant)	1886	Toro_So	ARMPIT		ɡ a ⁵ n a ⁵
141	arrive	twàà-rà	arriver	1387	Bangime	ARRIVE	Ben_Tey, Songhai	t w aː ¹ + r a ¹
142	arrive at, reach	dɔ́	arriver à, atteindre	1387	Bankan_Tey	ARRIVE		d ɔ ⁵
143	arrive at, reach	dɔ̌	arriver à, atteindre	1387	Ben_Tey	ARRIVE		d ɔ ¹⁵
144	arrive	be	arriver	1387	Bozo_Debo	ARRIVE		b e
145	arrive	be	arriver	1387	Bozo_Korondougou_nord	ARRIVE		b e
146	arrive	be	arriver	1387	Bozo_Korondougou_sud	ARRIVE		b e
147	arrive at, reach	dín-nɛ̀	arriver à, atteindre	1387	Bunoge	ARRIVE		d i ⁵ n + n ɛ ¹
148	arrive at, reach	dèé	arriver à, atteindre	1387	Dogul_Dom	ARRIVE		d eː ¹⁵
149	arrive	yottaa-de	arriver	1387	Fulfulde	ARRIVE		j o t t a a + d e
150	arrive at, reach	dɔ́:	arriver à, atteindre	1387	Gourou	ARRIVE		d ɔː
151	arrive at, reach	dɔ̌:	arriver à, atteindre	1387	Jamsay	ARRIVE		d ɔː ¹⁵
152	arrive	kìyɛ̀wⁿ	arriver	1387	Jenaama	ARRIVE		k i ¹ j ɛ ¹ w̃ ∼
153	arrive at, reach	dín-yɛ̂:	arriver à, atteindre	1387	Mombo	ARRIVE		d i ⁵ n + j ɛː ⁵¹
154	arrive at, reach	dw-ɛ̂:	arriver à, atteindre	1387	Najamba	ARRIVE		d w + ɛː ⁵¹
155	arrive at, reach	dɔ̌:	arriver à, atteindre	1387	Nanga	ARRIVE		d ɔː ¹⁵
156	arrive at, reach	túb-yɛ̀	arriver à, atteindre	1387	Penange	ARRIVE		t u ⁵ b + j ɛ ¹
157	arrive at, reach	dɔ̌:	arriver à, atteindre	1387	Perge_Tegu	ARRIVE		d ɔː ¹⁵
158	a) [intr] arrive	tɔ́:	arriver Caus tó:-y-éyndí 2, VO also tó:-ndù ­ex: kòyrà gá bò .tó: the next village coming up (on a trip)	1387	Songhai_Kiini	ARRIVE		t ɔː
159	a) [intr] arrive	tó:	arriver [Caus tó:-y-éyndí 2, VO also tó:-ndù ] ­ex: kòyrà gá bò [.tó:] the next village coming up (on a trip)	1387	Songhai_Senni	ARRIVE	Ben_Tey	t oː ⁵
160	arrive at, reach	dɔ̌	arriver à, atteindre	1387	Tebul_Ure	ARRIVE		d ɔ ¹⁵
161	arrive at, reach	áyó	arriver à, atteindre	1387	Tiranige_Diga	ARRIVE		a ⁵ j o ⁵
162	arrive at, reach	dɔ̌:	arriver à, atteindre	1387	Togo_Kan	ARRIVE		d ɔː ¹⁵
163	arrive at, reach	dɔ̀ɔ́	arriver à, atteindre	1387	Tommo_So	ARRIVE		d ɔː ¹⁵
164	arrive at, reach	dɔ̌:	arriver à, atteindre	1387	Tomo_Kan	ARRIVE		d ɔː ¹⁵
165	arrive at, reach	dɔ́	arriver à, atteindre	1387	Toro_Tegu	ARRIVE		d ɔ ⁵
166	arrive at, reach	dɔ́	arriver à, atteindre	1387	Toro_So	ARRIVE		d ɔ ⁵
167	arrive at, reach	dɔ́	arriver à, atteindre	1387	Yanda_Dom	ARRIVE		d ɔ ⁵
168	arrive at, reach	dɔ̌:	arriver à, atteindre	1387	Yorno_So	ARRIVE		d ɔː ¹⁵
169	ashes	dɔ̀:yé-gè	cendre	646	Ampari	ASH		d ɔː ¹ j e ⁵ + ɡ e ¹
170	ashes	tùɥɛ̀	cendre	646	Bangime	ASH	Yanda_Dom	t u ¹ ɥ ɛ ¹
171	ashes	dɔ̀yⁿɔ̌yⁿ	cendre(s); couleur cendre, gris	646	Bankan_Tey	ASH		d ɔ ¹ j ∼ ɔ ¹⁵ j ∼
172	ashes	dɔ̀yⁿɔ̌yⁿ	cendre	646	Ben_Tey	ASH		d ɔ ¹ j ∼ ɔ ¹⁵ j ∼
173	ashes	sibo_kuoⁿ	cendre	646	Bozo_Korondougou_nord	ASH		s i b o _ k u o ∼
174	ashes	sobo	cendre	646	Bozo_Korondougou_sud	ASH		s o b o
175	ashes	díwɔ̀	cendre	646	Bunoge	ASH		d i ⁵ w ɔ ¹
176	ashes	dɔ́ɔ̀	cendre	646	Dogul_Dom	ASH		d ɔː ⁵¹
177	ashes	úndɔ̀	cendre	646	Donno_So	ASH		u ⁵ n d ɔ ¹
178	ashes	ɛ́:rⁿɛ̀	cendre	646	Gourou	ASH		ɛː ⁵ r̃ ∼ ɛ ¹
179	ashes	dɔ̀yⁿɔ́	cendre(s); couleur cendre, gris	646	Jamsay	ASH		d ɔ ¹ j ∼ ɔ ⁵
180	ashes	síbō	cendre	646	Jenaama	ASH		s i ⁵ b o ³
181	ashes	dwɛ̂:	cendre(s); couleur cendre, gris	646	Mombo	ASH		d w ɛː ⁵¹
182	ashes	dɔ̀dɛ̌:ŋgó	cendre	646	Najamba	ASH		d ɔ ¹ d ɛː ¹⁵ ŋ ɡ o ⁵
183	ashes	dùyá	cendre	646	Nanga	ASH		d u ¹ j a ⁵
184	ashes	dwɛ̀:	cendre	646	Penange	ASH		d w ɛː ¹
185	ashes	dɔ̀yⁿɔ́	cendre	646	Perge_Tegu	ASH		d ɔ ¹ j ∼ ɔ ⁵
186	ashes	bó:sú	cendre(s); couleur cendre, gris	646	Songhai_Kiini	ASH		b oː ⁵ s u ⁵
187	ashes	bó:só	cendre(s); couleur cendre, gris	646	Songhai_Senni	ASH		b oː ⁵ s o ⁵
188	ashes	dɔ̀ɛ́	cendre	646	Tebul_Ure	ASH		d ɔ ¹ ɛ ⁵
189	ashes	dwɛ́:	cendre	646	Tiranige_Diga	ASH		d w ɛː ⁵
190	ashes	dɔ̀yⁿɛ́	cendre	646	Togo_Kan	ASH		d ɔ ¹ j ∼ ɛ ⁵
191	ashes	úndɔ́	cendre	646	Tommo_So	ASH		u ⁵ n d ɔ ⁵
192	ashes	dwɛ́ⁿ	cendre	646	Tomo_Kan	ASH		d w ɛ ∼ ⁵
193	ashes	dòwⁿ_òsú	cendre	646	Toro_Tegu	ASH		d o ¹ w̃ ∼ _ o ¹ s u ⁵
194	ashes	púnɔ̀	cendre	646	Toro_So	ASH		p u ⁵ n ɔ ¹
195	ashes	dɔ̀yⁿɛ̀	cendre	646	Yanda_Dom	ASH		d ɔ ¹ j ∼ ɛ ¹
196	ashes	únɔ̀	cendre	646	Yorno_So	ASH		u ⁵ n ɔ ¹
197	back (body)	ɡīìⁿ	dos	1291	Bangime	BACK	Jamsay	ɡ ĩː ∼ ³¹
198	back (body)	tùndú	dos	1291	Bankan_Tey	BACK		t u ¹ n d u ⁵
199	back (body)	tùlù_kɛ́lɛ̀	dos	1291	Ben_Tey	BACK		t u ¹ l u ¹ _ k ɛ ⁵ l ɛ ¹
200	back (body)	pùmbù	dos	1291	Bunoge	BACK		p u ¹ m b u ¹
201	back (body)	ǹdɔ́ŋ́	dos	1291	Dogul_Dom	BACK		n ¹ d ɔ ⁵ ŋ ⁵
202	back (body)	ùnnú	dos	1291	Donno_So	BACK		u ¹ n n u ⁵
203	back (body)	caggal	dos	1291	Fulfulde	BACK		tʃ a ɡ ɡ a l
204	back (body)	gùn_kɛ́nɛ́	dos	1291	Gourou	BACK		ɡ u ¹ n _ k ɛ ⁵ n ɛ ⁵
205	back (body)	gǔn	dos	1291	Jamsay	BACK		ɡ u ¹⁵ n
206	back (body)	túndú	dos	1291	Mombo	BACK		t u ⁵ n d u ⁵
207	back (body)	bàndíŋgé	dos	1291	Najamba	BACK		b a ¹ n d i ⁵ ŋ ɡ e ⁵
208	back (body)	tùndù_bìrⁿɛ́	dos	1291	Nanga	BACK		t u ¹ n d u ¹ _ b i ¹ r̃ ∼ ɛ ⁵
209	back (body)	túndú	dos	1291	Penange	BACK		t u ⁵ n d u ⁵
