ID	NUMBER	ENGLISH	FRENCH	ENGLISH_SHORT	SEMFIELD_CODE	REFERENCE	OCCURRENCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	ADD	COMMENT
217	217	woman's head shawl	foulard de tête de femme	shawl	16.0.18.0.1.0	1197.0	22		???		shawl	see HEADRESS but only for women
12	12	(single) grain, seed, nut	graine (individuelle), noix	grain, seed, nut	15.0.10.0.1.0	941.0	25	191	NUT	4		
13	13	meat	viande	meat	26.0.12.0.1.0	1682.0	25	634	MEAT	2		
14	14	liver	foie	liver	10.0.7.0.1.0	359.0	25	1224	LIVER	2		
15	15	eye	œil	eye	10.0.17.0.1.0	464.0	25	1248	EYE	2		
245	245	shea-butter (for cooking)	beurre de karité	shea-butter	34.0.3.0.1.0	1996.0	22		???		shea-butter	see SHEA NUT TREE
18	18	head	tête	head	10.0.15.0.1.0	455.0	25	1256	HEAD	2		
260	260	green baobab-leaf sauce (the common sauce for millet cakes)	sauce verte aux feuilles de baobab (la sauce ordinaire pour le tô)	sauce	26.0.15.0.1.0	1693.0	22		???		Baobab leaf sauce	see BAOBAB TREE
275	275	sift (sth)	tamiser (qch)	sift	28.0.4.0.1.0	1779.0	22		???		sift	(see WINNOWING)
20	20	cotton	coton	cotton	17.0.1.0.1.0	1247.0	25	1850	COTTON	2		
297	297	whirlwind, twister	tourbillon	whirlwind	60.0.6.0.10.0	3127.0	21		???		whirlwind	see TORNADO
21	21	fire	feu	fire	35.0.1.0.1.0	2012.0	25	221	FIRE	2		
322	322	throat (interior)	gorge (intérieure)	throat	10.0.23.0.2.0	528.0	21	1333	NECK	4		often the same concept
23	23	man, male person	homme, personne mâle	man	6.0.7.0.1.0	167.0	25	1554	MAN	4		
24	24	kill	tuer	kill	9.0.2.0.1.0	251.0	25	1417	KILL	2		
350	350	sleep (verb only)	dormir (verbe seulement)	sleep	142.0.1.0.3.0	6922.0	21	2116	REST OR SLEEP	3		see above, separate concepts
26	26	nose	nez	nose	10.0.19.0.1.0	483.0	25	1221	NOSE	2		
28	28	oil (vegetable, liquid or buttery)	huile (végétal, liquide ou en forme de beurre)	oil	34.0.2.0.1.0	1991.0	24	2551	ORGANIC FAT OR OIL	4		
31	31	go hunting, do some hunting (verb plus noun)	faire la chasse, aller d'la chasse (verbe plus substantif)	hunt	27.0.1.0.2.0	1718.0	24		HUNT			
32	32	forehead	front	forehead	10.0.20.0.2.0	489.0	24	123	FOREHEAD	2		
33	33	chicken	poulet	chicken	5.0.1.0.1.0	129.0	24	1318	CHICKEN	2		
34	34	lung	poumon	lung	10.0.7.0.3.0	361.0	24	688	LUNG	2		
417	417	(individuals) come together, assemble, gather	(individus) se rassembler, se réunir	assemble, gather	80.0.3.0.1.0	4010.0	21	1831	MEET	4		separate concepts
425	425	disease, sickness, illness (general term)	maladie (mot général)	disease, sickness, illness	98.0.1.0.1.0	4819.0	21	1847	SICK	4		separate concepts
428	428	inquiry, question (noun)	interrogation, question	question	102.0.6.0.2.0	5131.0	21		???		question see ASK (INQUIRE)	see ASK (INQUIRE)
35	35	pestle (for pounding in a mortar)	pilon (d'piler dans un mortier)	pestle	29.0.3.0.1.0	1804.0	24	225	PESTLE	4		
36	36	new	nouveau	new	7.0.5.0.1.0	196.0	24	1231	NEW	2		
37	37	body	corps	body	10.0.1.0.1.0	307.0	24	1480	BODY	2		
38	38	horn (of animal)	corne (d'animal)	horn	13.0.5.0.1.0	772.0	24	1393	HORN (ANATOMY)	2		
463	463	earth (as brick mix or to repair walls)	banco, terre (pour faire des briques ou pour crépir les murs)	soil, earth	48.0.4.0.2.0	2628.0	21	1228	EARTH (SOIL)	4		separate concepts
41	41	root	racine	root	15.0.2.0.1.0	867.0	24	670	ROOT	2		
480	480	speak (verb only)	parler (verbe seulement)	speak, tell, say	102.0.1.0.2.0	5104.0	20	1458	SAY	3		separate concepts
42	42	slightly concave circular calabash cover and winnowing van, woven from doum-palm fronds	couverture de calabasse et van d'vanner, légèrement concave, tissé en feuille de doum	winnowing van, calabash cover	28.0.2.0.1.0	1771.0	24		LID			
43	43	egg	œuf	egg	5.0.3.0.1.0	138.0	24	744	EGG	2		
44	44	thorn	épine	thorn	15.0.8.0.1.0	922.0	24	124	THORN	2		
45	45	sorghum	sorgho	sorghum	36.0.2.0.3.0	2070.0	24	347	SORGHUM	4		
47	47	knee	genou	knee	10.0.10.0.1.0	387.0	24	1371	KNEE	2		
48	48	pounding mortar (any kind)	mourtier pilé (toute sorte)	mortar	29.0.1.0.1.0	1796.0	24		MORTAR CRUSHER			
50	50	suck (e.g. candy)	sucer (bonbon, etc.)	suck	25.0.11.0.1.0	1595.0	24	1421	SUCK	4		
52	52	wing (of bird)	aile (d'oiseau)	wing	13.0.4.0.1.0	762.0	24	1257	WING	2		
569	569	(sth) be charred (by burning)	(qch) ê. carbonisé (après ê. brûlé)	char	32.0.7.0.2.0	1944.0	20		???		burnt	see BURN
574	574	(2Pl subject pronominal)	(marque de sujet 2Pl)	2Pl subject	179.0.2.0.6.0	9607.0	20		???		you pl 	see YOU TWO
54	54	hair	cheveux	hair	10.0.14.0.1.0	434.0	24	1040	HAIR	2		
587	587	pod shell (of legume)	coque de gousse (de légumineux)	pod, shell	15.0.15.0.13.0	990.0	20		???		pod	see SHELL but for vegetables as well
594	594	unroll, roll back down (rolled-up ends of pants)	désenrouler (bout de pantalon enroulé)	unroll	16.0.23.0.4.0	1230.0	20		???		unroll	see above unravel
596	596	eggshell	coque d'œuf	eggsheel	13.0.10.0.1.0	786.0	20		???		shell	see SHELL but for an egg
624	624	shade, shadows	ombre	shade	174.0.6.0.1.0	8163.0	20	1388	SHADE	4		same concept
55	55	mouth	bouche	mouth	10.0.18.0.1.0	477.0	24	674	MOUTH	2		
56	56	hearth for cooking formed by three large stones (or two stones against a wall)	foyer de cuisine constitué par trois grosses pierres (ou par deux pierres contre un mur)	oven, hearth	32.0.1.0.1.0	1908.0	24		OVEN			
57	57	carapace, shell (of tortoise)	carapace (coque de tortue)	shell, carapace	13.0.10.0.2.0	787.0	24	598	SHELL	4		
58	58	beard	barbe	beard	10.0.14.0.3.0	436.0	24	678	BEARD	2		
59	59	goat	chèvre	goat	1.0.6.0.1.0	17.0	24	1502	GOAT	2		
60	60	squat	s'accroupir	squat	12.0.3.0.1.0	703.0	24		CROUCH			
61	61	back (body)	dos	back	10.0.4.0.8.0	325.0	24	1482	SHOULDER	4		
62	62	stem, stalk	tige	stem	15.0.3.0.1.0	873.0	24	2628	PLANT STEM	4		
64	64	lie down, go to bed	se coucher	lie down	12.0.8.0.1.0	734.0	24	215	LIE DOWN	4		
65	65	millet	mil	millet	36.0.2.0.2.0	2069.0	24	931	MILLET	2		
68	68	hunger (noun)	faim	hunger	25.0.8.0.1.0	1580.0	24	1864	HUNGER	3		
69	69	shut eye(s)	fermer les yeux	shut eye	11.0.19.0.3.0	664.0	23		CLOSE THE EYES			
70	70	fabric, cloth	tissu, étoffe	fabric, cloth	16.0.4.0.1.0	1054.0	23	1616	CLOTH	4		
71	71	old (thing, animal)	vieux (objet, animal)	old	7.0.1.0.7.0	181.0	23	2113	OLD (USED)	4		
745	745	Muslim holy man, marabou	marabout musulman	holy man	87.0.12.0.4.0	4330.0	20		???		marabout	see SHAMAN
73	73	okra	gombo	okra	36.0.8.0.5.0	2154.0	23	1737	OKRA	2		
765	765	snuff, sniffing tobacco	tabac d'priser	snuff	51.0.3.0.1.0	2716.0	19		???		snuff	see TOBACCO
74	74	boubou (robe) or shirt (all types)	boubou ou chemise (toutes sortes)	boubou	16.0.1.0.1.0	1023.0	23	461	BOUBOU	4		
75	75	stomach	estomac	stomach	10.0.7.0.6.0	364.0	23	819	STOMACH	2		
76	76	salt	sel	salt	33.0.9.0.1.0	1976.0	23	1274	SALT	2		
78	78	elbow	coude	elbow	10.0.10.0.5.0	391.0	23	981	ELBOW	2		
79	79	laughter	rire (substantif)	laughter	11.0.16.0.3.0	650.0	23	2958	LAUGHTER	2		
80	80	urine	urine	urine	11.0.15.0.2.0	646.0	23	1142	URINE	2		
795	795	I am not (copula, with noun)	je ne suis pas (copule, avec substantif)	be	64.0.5.0.4.0	3282.0	19		???		it is not	see BE, (negative)
803	803	crumple (e.g. tin can)	froisser (boîte de conserve, etc.)	crumple	30.0.3.0.2.0	1831.0	19		???		crumple	see WRINKLE (verb)
81	81	hat (any type)	chapeau (toute sorte)	hat	16.0.16.0.1.0	1156.0	23	771	HAT	4		
82	82	honey	miel	honey	24.0.1.0.1.0	1528.0	23	942	HONEY	2		
83	83	boundary (of field)	limite (d'un champ)	boundary	37.0.5.0.1.0	2179.0	23	1010	BOUNDARY	4		
84	84	shoulderbag from an entire goatskin (carried to fields)	gibecière d'une peau entière de chèvre (portée aux champs)	shoulderbag	43.0.1.0.1.0	2468.0	23		BAG			
85	85	farmer, peasant	cultivateur, paysan	farmer	37.0.1.0.1.0	2157.0	23	979	FARMER	4		
86	86	reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle	faucher, couper (tiges, par ex. en récoltant le riz ou le dah) d'coups de faucille	reap, harvest	37.0.23.0.1.0	2331.0	23	1827	HARVEST CROPS	4		
87	87	donkey	âne	donkey	3.0.1.0.1.0	95.0	23	1862	DONKEY	2		
842	842	itchy area, rash	démangeaison	itch, rash	98.0.17.0.1.0	4917.0	19		???		rash	 see ITCH
88	88	wide, flat, slightly concave grindstone with coarse texture on which one grinds (e.g. millet) with a small round stone	pierre large, plate et légèrement creuse d'surface rugueuse sur laquelle on écrase (mil etc.) avec une petite pierre ronde	grindstone	30.0.2.0.1.0	1822.0	23	1243	GRINDSTONE	4		
844	844	imam (Muslim preacher)	imam	imam	87.0.12.0.5.0	4331.0	19		???		Imam	see PRIEST
850	850	daba (hoe) with a pin in the back of the blade inserted into a hole in the curved end of the short handle, for basic farm work	daba d'lame large dont le derrière pointu est inséré dans un trou au bout courbé du manche court, sert d'cultiver	hoe, daba	37.0.7.0.2.0	2199.0	19		HOE			(but only one prong/blade)
89	89	breathe	respirer	breathe	11.0.1.0.10.0	555.0	23	1407	BREATHE	2		
90	90	horse	cheval	horse	1.0.8.0.1.0	43.0	23	615	HORSE	2		
878	878	transform (sth, into sth)	transformer (qch, en qch)	transform	64.0.2.0.1.0	3263.0	19		???		transform	 see CHANGE
879	879	(1Pl subject pronominal)	(marque de sujet 1Pl)	1Pl subject	179.0.2.0.4.0	9605.0	19		WE			no INCL vs EXCL distinction
91	91	heart	cœur	heart	10.0.7.0.2.0	360.0	23	1223	HEART	2		
92	92	garment, clothes	vêtement, habits	garment, clothes, clothing	16.0.13.0.1.0	1122.0	23	1895	CLOTHES	4		
93	93	shoe, footwear (any kind)	chaussure (toute sorte)	shoe	16.0.15.0.1.0	1128.0	23	1381	SHOE	4		
94	94	winnow (pounded grain) by dropping it slowly into a calabash in the wind (which blows chaff away)	vanner (graines pilées) en les laissant tomber dans une calebasse, au vent (qui emporte le son)	winnow	28.0.1.0.1.0	1767.0	23		WINNOWING			
95	95	onion	oignon	onion	36.0.6.0.6.0	2140.0	23	2366	ONION	2		
97	97	traditional flint lighter (fire-making device)	briquet d'silex traditionnel	lighter	35.0.3.0.1.0	2028.0	23		???		lighter	
98	98	eat (meal)	manger (repas)	eat meal	25.0.1.0.2.0	1540.0	23	1336	EAT	4		
100	100	cat	chat	cat	1.0.3.0.1.0	5.0	23	1208	CAT	2		
101	101	marrow	moelle	marrow	13.0.11.0.1.0	794.0	23	1835	MARROW	2		
937	937	turn on (lights)	allumer (lumière)	turn on	174.0.7.0.1.0	8167.0	19		???		turn on	same as IGNITE
961	961	(2Sg independent pronoun)	(pronom indépendant 2Sg)	2Sg	179.0.1.0.2.0	9591.0	19		YOU  			sg
102	102	hiccup (noun)	hoquet (substantif)	hiccup	11.0.1.0.9.0	554.0	23		HICCOUGH			
965	965	speak, talk, do some talking (verb plus noun)	parler (verbe plus substantif)	speak, tell, say	102.0.1.0.1.0	5103.0	19	1623	SPEAK	4		separate concepts
968	968	scarification (decorative facial scars, general word)	balafre, scarification (cicatrices décoratives, mot général)	scarification	18.0.4.0.1.0	1304.0	19		???		scarification	see SCAR, but not from a wound
103	103	cut throat of (animal), slaughter	égorger	cut throat, slaughter	2.0.11.0.1.0	91.0	23	1796	SLAUGHTER	4		
105	105	pants	pantalon	pants	16.0.9.0.2.0	1089.0	23		TROUSERS			
107	107	breakfast	petit déjeuner	breakfast	26.0.2.0.1.0	1610.0	23	1322	BREAKFAST	2		
978	978	(2Pl independent pronoun)	(pronom indépendant 2Pl)	2Pl	179.0.1.0.4.0	9593.0	19		YOU  			pl
108	108	animal fat (in meat)	graisse d'animal (dans la viande)	fat	26.0.13.0.1.0	1687.0	23	1282	FAT (FROM ANIMALS)	4		
111	111	large wooden eating bowl	grosse écuelle d'manger en bois	bowl	42.0.1.0.1.0	2455.0	23		BOWL (CLASSIFIER)			
112	112	sickle (for cutting grass, or cutting stems of rice, roselle, sesame with slashing action)	faucille (pour couper l'herbe, ou pour couper les tiges de riz, de dah, de sésame en frappant)	sickle	37.0.9.0.1.0	2216.0	23	2132	SICKLE OR SCYTHE	4		
113	113	urinate, have a piss	uriner, pisser	urinate, piss	11.0.15.0.1.0	645.0	23	592	PISS	4		
114	114	scale (of fish or snake)	écaille (de poisson ou de serpent)	scale	13.0.9.0.2.0	785.0	23	730	SNAKE	4		
114	114	scale (of fish or snake)	écaille (de poisson ou de serpent)	scale	13.0.9.0.2.0	785.0	23	266	SCALE	4		
1011	1011	(sth) become short, be shortened	(qch) devenir plus court, se raccourcir	short	69.0.8.0.2.0	3521.0	19		???		shorten	see SHORT (cause)
117	117	cow-pea	haricot	cow-pea	36.0.3.0.1.0	2110.0	23		BEAN OR PEA			
1015	1015	interethnic cousinhood (joking relationship, e.g. Dogon and Bozo, Dogon and Songhay)	cousinage interethnique (plaisanterie, par ex. dogon et bozo, ou dogon et songhay)	joking	78.0.5.0.6.0	3859.0	19		???		joking cousin	see COUSIN, but specific to W. Africa
118	118	sweet potato	patate (douce)	sweet potato	36.0.6.0.2.0	2136.0	23	159	SWEET POTATO	2		
119	119	testicles	testicules	testicles	10.0.9.0.1.0	378.0	23	797	TESTICLES	2		
120	120	female breast	sein de la femme	breast	10.0.4.0.6.0	323.0	23	1402	BREAST	2		
124	124	feather	plume (d'oiseau)	feather	13.0.7.0.1.0	779.0	23	1201	FEATHER	2		
125	125	hunter	chasseur	hunter	27.0.1.0.1.0	1717.0	23	1053	HUNTER	2		
126	126	roselle, bissap (cultivated hibiscus, used in cooking and for beverages; Hibiscus sabdariffa)	dah, oseille (hibiscus cultivé, utilisé dans la cuisine et dans les boissons; Hibiscus sabdariffa)	roselle, bissap	33.0.6.0.1.0	1960.0	23		???		hibiscus	
127	127	road, path	chemin, route	road	57.0.5.0.1.0	2969.0	23	2457	PATH OR ROAD	2		
128	128	belly	ventre	belly	10.0.4.0.1.0	318.0	23	1251	BELLY	2		
129	129	African eggplant (similar to tomato) in two varieties	aubergine africaine (ressemble aux tomates) en deux variétés	eggplant (African)	36.0.8.0.1.0	2150.0	23		AUBERGINE			
1067	1067	pour (tea) back and forth	transvaser (thé)	pour	149.0.8.0.2.0	7360.0	18		???		pour back and forth	see POUR, but pour back and forth to cool or mix
132	132	sheath (of knife or saber)	fourreau, gaine (de couteau ou de sabre)	sheath	14.0.5.0.1.0	855.0	23		???		sheath	
133	133	large basket with squared base, woven tightly from grass stems (for bringing harvested millet grain spikes from the fields to the village)	gros panier carré en bas, tissé solidement d'base de tiges de graminées (sert d'apporter les épis de mil récoltés du champs au village)	basket (grass stems)	44.0.1.0.1.0	2486.0	23		BASKET			
134	134	spin (cotton thread)	filer (fil de coton)	spin	17.0.6.0.1.0	1266.0	23	121	SPIN	4		
141	141	kola nut	cola	kola	36.0.5.0.1.0	2126.0	23		???		kola nut	
1095	1095	(sb's) shadow	ombre (de qn)	shadow	174.0.6.0.2.0	8164.0	18	1388	SHADE	4		same concept
142	142	crumple (paper or clothing)	froisser (papier ou vêtement)	crumple	30.0.3.0.1.0	1830.0	23	1895		4	crumple	
143	143	manure (sometimes mixed with garbage) as fertilizer	fumier (parfois mélangé d'ordures) en tant qu'engrais	manure, fertilizer	37.0.6.0.1.0	2191.0	23		???		manure	
144	144	personal name	nom personnel	name	102.0.4.0.1.0	5121.0	23		NAME			
145	145	bird (any)	(tout) oiseau	bird	1.0.11.0.1.0	47.0	23	937	BIRD	4		
148	148	laugh (verb only)	rire (verbe seulement)	laugh	11.0.16.0.2.0	649.0	23	1355	LAUGH	3		
149	149	rice	riz	rice	36.0.2.0.6.0	2073.0	23	926	RICE	2		
150	150	rinse out one's mouth	se rincer la bouche	rinse mouth	11.0.12.0.1.0	632.0	23		???		rinse	
1127	1127	my share	ma part	share, portion	111.0.17.0.1.0	5516.0	18		???		share	see SHARE (noun)
152	152	tendon, sinew, nerve	tendon, nerf	nerve, tendon, sinew	10.0.8.0.1.0	373.0	23	1137	TENDON	4		
1143	1143	carry (hoe, ax) with blade resting on one's shoulder	porter (houe, hache) avec la lame sur l'épaule	carry	148.0.2.0.3.0	7267.0	18	413	CARRY ON SHOULDER	4		but not like a bag, carry tool on shoulder
152	152	tendon, sinew, nerve	tendon, nerf	nerve, tendon, sinew	10.0.8.0.1.0	373.0	23	2626	NERVE	4		
1149	1149	drive in (nail)	clouer (clou)	nail, drive in	143.0.3.0.3.0	6963.0	18		???		nail (verb)	see POUND
153	153	couscous (from millet flour)	couscous (d'base de farine de mil)	couscous	26.0.8.0.1.0	1656.0	23		???		couscous	
154	154	corn, maize	maïs	corn, maize	36.0.2.0.8.0	2075.0	23	506	MAIZE	2		
155	155	millet beer	bière de mil	millet beer	22.0.6.0.1.0	1480.0	23		BEER			
156	156	moon	lune	moon	59.0.2.0.1.0	3059.0	23	1313	MOON	2		
157	157	sun	soleil	sun	59.0.1.0.1.0	3058.0	23	1343	SUN	2		
158	158	hot chili pepper	piment	chili pepper	33.0.5.0.1.0	1958.0	23		CHILI PEPPER			
160	160	night	nuit	night	73.0.1.0.1.0	3698.0	23	1233	NIGHT	2		
1186	1186	saw (gourd) in half (to make calabashes)	scier (gourde) pour faire des calebasses	saw	137.0.6.0.1.0	6783.0	18		???		saw	SAW (verb)
161	161	lunch	déjeuner	lunch	26.0.2.0.3.0	1612.0	23	768	LUNCH	2		
162	162	(sb, camel) kneel	(qn, chameau) s'agenouiller	kneel	12.0.2.0.1.0	701.0	22	66	KNEEL	4		
163	163	grill, roast (meat) over a fire	griller (viande) au-dessus du feu	roast, grill	32.0.4.0.2.0	1925.0	22	1962	ROAST (SOMETHING)	4		
164	164	see	voir	see	119.0.1.0.1.0	5967.0	22	1409	SEE	2		
165	165	sand, sandy soil	sable, sol sableux	sand	48.0.6.0.1.0	2639.0	22	671	SAND	4		
167	167	weave (fabric, from cotton thread)	tisser (tissu, en fil de coton)	weave	17.0.8.0.4.0	1276.0	22	133	WEAVE	4		
169	169	belch, emit a belch	éructer, roter	belch, burp	11.0.1.0.4.0	549.0	22	2245	BELCH	4		
170	170	tree bark	écorce	tree bark	15.0.4.0.1.0	883.0	22	1204	BARK	2		
171	171	penis	pénis, sexe de l'homme	penis	10.0.9.0.5.0	382.0	22	1222	PENIS	2		
173	173	sprinkle (water) from a container	asperger (eau) d'un récipient	sprinkle	47.0.2.0.1.0	2558.0	22		???		sprinkle	
175	175	wrap (woman's garment)	pagne (vêtement de femme)	wrap (woman's)	16.0.8.0.1.0	1076.0	22	1113	WRAPPER	4		
176	176	bracelet	bracelet	bracelet	20.0.1.0.1.0	1341.0	22	1754	BRACELET	2		
180	180	six	six	6.0	109.0.2.0.5.0	5383.0	22	1703	SIX	2		
181	181	three	trois	3.0	109.0.2.0.2.0	5380.0	22	492	THREE	2		
184	184	lick	lécher	lick	25.0.10.0.1.0	1593.0	22	319	LICK	2		
186	186	get old, age (verb)	vieiillir, ê. ou devenir vieux	get old	7.0.1.0.3.0	177.0	22	1789	AGE	4		
1277	1277	daba (hoe-like tool for weeding, using a pulling action, all types)	daba (instrument d'manche pour désherber, en tirant vers soi, toutes sortes)	hoe, daba	37.0.7.0.1.0	2198.0	18		???		hoe	 but see comment above
190	190	thing (general term)	chose (mot général)	thing, object	64.0.12.0.1.0	3314.0	22	738	THING	4		
191	191	black, dark	noir, sombre	black, dark	160.0.3.0.1.0	7590.0	22	2633	BLACK OR DARK	4		
192	192	chewstick, toothpick	cure-dents	chewstick, toothpick	19.0.5.0.1.0	1327.0	22		???		toothpick	
193	193	near, close	proche, près	near, close	65.0.2.0.4.0	3325.0	22	1942	NEAR	4		
198	198	meal (cooked)	repas (cuit)	meal	26.0.1.0.1.0	1606.0	22	1526	MEAL	4		
199	199	far, distant	lointain	far, distant	65.0.1.0.1.0	3316.0	22	1406	FAR	4		
200	200	place, location	lieu, endroit	place	66.0.1.0.1.0	3343.0	22	723	PLACE (POSITION)	4		
202	202	necklace	collier	necklace	20.0.5.0.1.0	1361.0	22	1961	NECKLACE	2		
204	204	vagina	vagin	vagina	10.0.9.0.7.0	384.0	22	1836	VAGINA	2		
205	205	cream of millet	crème de mil	cream of millet	22.0.1.0.1.0	1446.0	22		???		porridge	
206	206	heavy	lourd	heavy	165.0.1.0.1.0	7779.0	22	1210	HEAVY	2		
211	211	supper	dîner	supper	26.0.2.0.6.0	1615.0	22	1833	DINNER (SUPPER)	2		
212	212	excrement, shit (noun)	excréments, caca	excrement, shit	11.0.20.0.2.0	666.0	22	675	FAECES (EXCREMENT)	4		
213	213	swallow	avaler	swallow	25.0.12.0.1.0	1597.0	22	897	SWALLOW	2		
219	219	sieve	tamis	sieve	28.0.5.0.1.0	1787.0	22	86	SIEVE	2		
221	221	earthenware water jar (all types)	canari, jarre d'eau en terre cuite (toutes sortes)	jar, waterjar	39.0.1.0.1.0	2390.0	22		???		ceramic pot	
222	222	comb, crest (on head of rooster)	crête (de coq)	comb, crest	13.0.6.0.1.0	775.0	22	188	COMB OF BIRD	4		
226	226	cloud	nuage	cloud	60.0.9.0.1.0	3134.0	22	1489	CLOUD	2		
228	228	handful (of food)	tartine (poignée de nourriture)	handful	25.0.5.0.1.0	1566.0	22		???		handful	
229	229	finger	doigt	finger	10.0.13.0.1.0	422.0	22	1303	FINGER	2		
232	232	trough (of wood or metal, for drinking or to beat as a drum)	abreuvoir (en bois ou en métal, pour l'eau ou d'battre comme tambour)	trough	39.0.5.0.1.0	2418.0	22	205	TROUGH	4		
233	233	buttock	fesse	buttock	10.0.5.0.1.0	335.0	22	834	BUTTOCKS	2		
234	234	come	venir	come	146.0.2.0.1.0	7027.0	22	1446	COME	2		
236	236	pigeon (domestic)	pigeon (domestic)	pigeon	1.0.9.0.1.0	44.0	22	1853	DOVE	4		
237	237	big, large	gros, grand	big, large	69.0.1.0.1.0	3456.0	22	1202	BIG	2		
240	240	firewood	bois de chauffage	firewood	35.0.2.0.1.0	2019.0	22	10	FIREWOOD	2		
241	241	christening, naming ceremony (for newborn, one week after birth)	baptême (rite où on donne un nom au nouveau-né, sept jours après la naissance)	baptism	8.0.2.0.1.0	213.0	22		???		baptism	
242	242	slash earth in field with pick-hoe (to plant seeds)	faire des poquets avec la pioche dans un champ (afin de semer)	slash earth	37.0.13.0.1.0	2234.0	22		PLANT (SOMETHING)			
243	243	fonio (cultivated grain, Digitaria exilis)	fonio (céréale cultivée, Digitaria exilis)	fonio	36.0.2.0.7.0	2074.0	22		???		fonio	
244	244	chaff, outer covering of grains and their connection to grain spikes	balle, son extérieur des graines de céréales et ce qui les attache d'l'épi	chaff	15.0.11.0.2.0	961.0	22	2363	CHAFF (HUSK)	4		
246	246	calf (of leg)	mollet	calf (leg)	10.0.12.0.3.0	413.0	22	498	CALF OF LEG	2		
249	249	two	deux	2.0	109.0.2.0.1.0	5379.0	22	1498	TWO	2		
251	251	blow on (e.g. fire)	souffler sur (feu etc.)	blow	35.0.12.0.1.0	2052.0	22		BLOW (WITH MOUTH)			
253	253	(female) give birth to (baby)	(femelle) accoucher (bébé)	bear, give birth to	8.0.1.0.1.0	204.0	22		GIVE BIRTH			
254	254	(sb) braid the hair of, do the hair of (a woman)	(qn) tresser les cheveux de, coiffer (une femme)	braid	19.0.1.0.5.0	1321.0	22		PLAIT OR BRAID OR WEAVE			
255	255	sweat (noun), perspiration	sueur	sweat	11.0.22.0.1.0	676.0	22	125	SWEAT (SUBSTANCE)	3		
256	256	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	armpit	10.0.11.0.11.0	409.0	22	1886	ARMPIT	4		
257	257	good	bon	good	169.0.1.0.1.0	7935.0	22	1035	GOOD	2		
258	258	dip briefly (e.g. piece of millet cake in sauce, clothing in water)	tremper rapidement (tartine de tô dans la sauce, vêtement dans l'eau, etc.)	dip	25.0.6.0.1.0	1572.0	22		???		dip	
261	261	cold (e.g. water)	froid, frais (eau, etc.)	cold	173.0.1.0.1.0	8100.0	22	1287	COLD	4		
265	265	boy	garçon	boy	6.0.4.0.2.0	155.0	22	1366	BOY	2		
267	267	thousand	mille	thousand	109.0.6.0.1.0	5405.0	22	1843	THOUSAND	2		
270	270	(liquid) drip (one drop at a time)	(liquide) goutter (goutte par goutte)	drip	47.0.1.0.1.0	2545.0	22	808	DRIP (FALL IN GLOBULES)	4		
271	271	cow, bull (any bovine)	bovin (vache ou taureau)	cow, bull	1.0.4.0.1.0	6.0	22	1007	COW	4		
272	272	five	cinq	5.0	109.0.2.0.4.0	5382.0	22	493	FIVE	2		
