ID	CONCEPT	CONCEPT_FRENCH	DOCULECT	DOCULECT_NAME_IN_SOURCE	IPA	FORM	SEGMENTS	CONCEPT_ABBREVIATED	CONCEPT_FRENCH_ABBREVIATED	SEMANTIC_FIELD	SEMANTIC_FIELD_FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	IPA2	ALIGNMENT
19	finish	finir	Bangime		bìtà							743	END (OF TIME)	b i ¹ t a ¹	b i ¹ t a ¹
21	stretch out (e.g. after waking)	s'étirer	Bangime		bòrndà							214	STRETCH	b o ¹ r n d a ¹	b o ¹ r n d a ¹
22	help	aider	Bangime		bɔ̄ɡɔ̀							1897	HELP	b ɔ ³ ɡ ɔ ¹	b ɔ ³ ɡ ɔ ¹
23	be alive	être en vie, vivre	Bangime		bɔ̄n-dɔ̀							1422	BE ALIVE	b ɔ ³ n + d ɔ ¹	b ɔ ³ n + d ɔ ¹
24	come out; get away from (sw)	sortir (en venant); quitter (qp)	Bangime		būrà								!COME OUT	b u ³ r a ¹	b u ³ r a ¹
25	tie	attacher	Bangime		bū-wɔ̀							1917	TIE	b u ³ + w ɔ ¹	b u ³ + w ɔ ¹
26	end, be used up	s'épuiser, finir	Bangime		būndì								!DEPLETED	b u ³ n d i ¹	b u ³ n d i ¹
27	remove; take off (garment)	enlever; enlever (vêtement)	Bangime		bùndà							1755	UNDRESS	b u ¹ n d a ¹	b u ¹ n d a ¹
28	finish up, finish the last small amount (of work, of food in a bowl)	finir, finir le peu qui reste (d'un travail, de la nourriture dans une tasse)	Bangime		bùrⁿà							1766	FINISH	b u ¹ r̃ ∼ a ¹	b u ¹ r̃ ∼ a ¹
30	hide	cacher	Bangime		dàà-ndà							2486	HIDE	d aː ¹ + n d a ¹	d aː ¹ + n d a ¹
31	touch	toucher	Bangime		dāɡà							1892	TOUCH	d a ³ ɡ a ¹	d a ³ ɡ a ¹
33	wait	attendre	Bangime		dèŋɡò							1590	WAIT (FOR)	d e ¹ ŋ ɡ o ¹	d e ¹ ŋ ɡ o ¹
34	strangle	étrangler	Bangime		dɛ̄dà							129	CHOKE	d ɛ ³ d a ¹	d ɛ ³ d a ¹
35	cultivate, farm (a field)	cultiver	Bangime		dɛ̀ɛ̀-rɛ̀ (1)							1541	CULTIVATE	d ɛː ¹ + r ɛ ¹ #	d ɛː ¹ + r ɛ ¹ #
36	lick; taste (by licking)	lécher; goûter en léchant	Bangime		dɛ̀ɛ̀-rɛ̀ (2)							319	LICK	d ɛː ¹ + r ɛ ¹ #	d ɛː ¹ + r ɛ ¹ #
37	hit; kick	frapper; donner un coup de pied à	Bangime		dɛ̄ɡɛ̀							1433	HIT	d ɛ ³ ɡ ɛ ¹	d ɛ ³ ɡ ɛ ¹
38	fold (garment)	plier (vêtement)	Bangime		dɛ̀mbì-jɛ̀							1470	FOLD	d ɛ ¹ m b i ¹ + dʒ ɛ ¹	d ɛ ¹ m b i ¹ + dʒ ɛ ¹
39	cook in pot	cuire dans une marmite	Bangime		dɛ̄ndɛ̀							1100	COOK (SOMETHING)	d ɛ ³ n d ɛ ¹	d ɛ ³ n d ɛ ¹
40	stop (sth), cause to stop or stand up	arrêter (qch), faire arrêter, mettre debout	Bangime		dɛ̄rɛ̄-ndɛ̀							2880	HALT (STOP)	d ɛ ³ r ɛ ³ + n d ɛ ¹	d ɛ ³ r ɛ ³ + n d ɛ ¹
42	(sb, body part) hurt (sb)	(qn, partie du corps) faire mal à (qn)	Bangime		dìì-ndà							2561	HURT (SENSE PAIN)	d iː ¹ + n d a ¹	d iː ¹ + n d a ¹
43	eat	manger	Bangime		dījà							1336	EAT	d i ³ dʒ a ¹	d i ³ dʒ a ¹
44	(sb) stop, stand	(qn) s'arrêter, se mettre debout	Bangime		dīn-dà							1442	STAND	d i ³ n + d a ¹	d i ³ n + d a ¹
45	speak; discuss	parler; discuter	Bangime		dìŋì-ndà (1)							1623	SPEAK	d i ¹ ŋ i ¹ + n d a ¹ #	d i ¹ ŋ i ¹ + n d a ¹ #
46	become dirty	se salir	Bangime		dìŋì-ndà (2)							1015	SOIL	d i ¹ ŋ i ¹ + n d a ¹ #	d i ¹ ŋ i ¹ + n d a ¹ #
47	bend (e.g. metal)	plier, courber (fer etc.)	Bangime		dòŋɡò							2224	BEND (SOMETHING)	d o ¹ ŋ ɡ o ¹	d o ¹ ŋ ɡ o ¹
48	convey, transport	transporter	Bangime		dōò							2711	TRANSPORT	d oː ³¹	d oː ³¹
49	pass	passer	Bangime		dòò-rò							1951	PASS	d oː ¹ + r o ¹	d oː ¹ + r o ¹
50	shut (door)	fermer (porte)	Bangime		dòòndò (1)							1046	SHUT	d oː ¹ n d o ¹ #	d oː ¹ n d o ¹ #
51	spend (night)	passer (nuit)	Bangime		dòòndò (2)								!SPEND THE NIGHT	d oː ¹ n d o ¹ #	d oː ¹ n d o ¹ #
52	chop	couper avec des coups verticaux (comme avec la hache)	Bangime		dɔ̄ɡɔ̀ (1)							155	CHOP	d ɔ ³ ɡ ɔ ¹ #	d ɔ ³ ɡ ɔ ¹ #
56	tell (a story)	raconter (un conte)	Bangime		dɔ̄ɡɔ̀ (5)							1711	TELL	d ɔ ³ ɡ ɔ ¹ # �	d ɔ ³ ɡ ɔ ¹ # �
57	betray (sb), renege on, fail to fulfill a promise to (sb)	trahir (qn), ne pas tenir une promesse à (qn)	Bangime		dɔ̀ɡɔ̀rɔ̀							1902	BETRAY	d ɔ ¹ ɡ ɔ ¹ r ɔ ¹	d ɔ ¹ ɡ ɔ ¹ r ɔ ¹
58	punch (sb), bump (sb) hard	boxer, bousculer (qn)	Bangime		dɔ̀jɔ̀							1665	BEAT	d ɔ ¹ dʒ ɔ ¹	d ɔ ¹ dʒ ɔ ¹
59	(sb) be ashamed	(qn) avoir honte	Bangime		dɔ̀ŋɔ̀-ndɔ̀ (1)							1894	ASHAMED	d ɔ ¹ ŋ ɔ ¹ + n d ɔ ¹ #	d ɔ ¹ ŋ ɔ ¹ + n d ɔ ¹ #
60	resemble, look like (sb)	ressembler (qn)	Bangime		dɔ̀ŋɔ̀ndɔ̀ (2)							1777	RESEMBLE	d ɔ ¹ ŋ ɔ ¹ n d ɔ ¹ #	d ɔ ¹ ŋ ɔ ¹ n d ɔ ¹ #
61	have	avoir	Bangime		dūɡà							773	HAVE	d u ³ ɡ a ¹	d u ³ ɡ a ¹
62	calculate	calculer	Bangime		ʤàtà							2867	CALCULATE	dʒ a ¹ t a ¹	dʒ a ¹ t a ¹
63	feed (sb, animal)	nourrir (qn, animal)	Bangime		ʤìì-ndà (1)							739	FEED	dʒ iː ¹ + n d a ¹ #	dʒ iː ¹ + n d a ¹ #
64	anger (sb)	fâcher (qn)	Bangime		ʤìì-ndà (2)							82	ANGER	dʒ iː ¹ + n d a ¹ #	dʒ iː ¹ + n d a ¹ #
65	carve (wood, e.g. to make a mortar)	tailler (bois, par ex. en fabriquant un mortier)	Bangime		ʤìjɛ̀-rɛ̀							228	CARVE	dʒ i ¹ dʒ ɛ ¹ + r ɛ ¹	dʒ i ¹ dʒ ɛ ¹ + r ɛ ¹
67	extinguish	êteindre	Bangime		ʤīm-bò (3)							127	EXTINGUISH	dʒ i ³ m + b o ¹ #	dʒ i ³ m + b o ¹ #
68	shut (eyes)	fermer (yeux)	Bangime		ʤīm-bò (4)							2211	CLOSE THE EYES	dʒ i ³ m + b o ¹ #	dʒ i ³ m + b o ¹ #
69	(healer) cure (sb)	(guérisseur) guérir (qn)	Bangime		ʤìmì-nì								!HEAL	dʒ i ¹ m i ¹ + n i ¹	dʒ i ¹ m i ¹ + n i ¹
71	(mother) wean (child)	(mère) sevrer (enfant)	Bangime		ɛ̄ntà								!WEAN	ɛ ³ n t a ¹	ɛ ³ n t a ¹
74	(branch) break off	(branche) se détacher en se cassant	Bangime		ɡàj-ndà (1)							2558	BREAK (CLEAVE)	ɡ a ¹ dʒ + n d a ¹ #	ɡ a ¹ dʒ + n d a ¹ #
76	win	gagner	Bangime		ɡàɲà							866	WIN	ɡ a ¹ ɲ a ¹	ɡ a ¹ ɲ a ¹
77	scrape one’s skin (on sth)	se gratter la peau (sur qch)	Bangime		ɡārnʤà							1767	SCRAPE	ɡ a ³ r n dʒ a ¹	ɡ a ³ r n dʒ a ¹
80	(sb) slip	(qn) glisser	Bangime		ɡɛ̄rɛ̀ (1)							1324	SLIP	ɡ ɛ ³ r ɛ ¹ #	ɡ ɛ ³ r ɛ ¹ #
81	skim off (water, from the top)	enlever (eau, d'en haut)	Bangime		ɡɛ̄rɛ̀ (2)							2657	LADLE	ɡ ɛ ³ r ɛ ¹ #	ɡ ɛ ³ r ɛ ¹ #
82	rub, brush, wipe	frotter, brosser, essuyer	Bangime		ɡìjàà							1454	WIPE	ɡ i ¹ dʒ aː ¹	ɡ i ¹ dʒ aː ¹
83	sweep	balayer	Bangime		ɡìjɛ̀ndɛ̀							230	SWEEP	ɡ i ¹ dʒ ɛ ¹ n d ɛ ¹	ɡ i ¹ dʒ ɛ ¹ n d ɛ ¹
84	leave, abandon	abandonner	Bangime		ɡòmbè							1752	LEAVE	ɡ o ¹ m b e ¹	ɡ o ¹ m b e ¹
85	(sth) change; (sth) rotate, spin	(qn) se changer; (qch) tourner	Bangime		ɡòmbì-jɛ̀							2857	CHANGE (BECOME DIFFERENT)	ɡ o ¹ m b i ¹ + dʒ ɛ ¹	ɡ o ¹ m b i ¹ + dʒ ɛ ¹
86	weave	tisser	Bangime		ɡɔ̄ɡɔ̀								!WEAVE (MAT)	ɡ ɔ ³ ɡ ɔ ¹	ɡ ɔ ³ ɡ ɔ ¹
87	lay (egg)	pondre	Bangime		ɡɔ̄m-bɔ̀							2071	LAY (VERB)	ɡ ɔ ³ m + b ɔ ¹	ɡ ɔ ³ m + b ɔ ¹
89	separate; share, divide	séparer; partager, diviser	Bangime		ɡùjɛ̀-ndɛ̀							1119	DIVIDE	ɡ u ¹ dʒ ɛ ¹ + n d ɛ ¹	ɡ u ¹ dʒ ɛ ¹ + n d ɛ ¹
90	cough (v)	tousser	Bangime		ɡùjɛ̀-rɛ̀							879	COUGH	ɡ u ¹ dʒ ɛ ¹ + r ɛ ¹	ɡ u ¹ dʒ ɛ ¹ + r ɛ ¹
93	murmur	murmurer	Bangime		ɡùù-ndù (1)							55	WHISPER	ɡ uː ¹ + n d u ¹ #	ɡ uː ¹ + n d u ¹ #
94	stack (bricks, in layers)	superposer (briques, en couches)	Bangime		ɡùù-ndù (2)								!STACK	ɡ uː ¹ + n d u ¹ #	ɡ uː ¹ + n d u ¹ #
95	weave strands into rope (by rolling them on one's leg)	tisser des fils pour fabriquer une corde (en les roulant sur sa jambe)	Bangime		ɡùɥɛ̀-rɛ̀							133	!WEAVE (ROPE)	ɡ u ¹ ɥ ɛ ¹ + r ɛ ¹	ɡ u ¹ ɥ ɛ ¹ + r ɛ ¹
96	rinse out (mouth)	se rincer (la bouche)	Bangime		ɡwìì-ndà								!RINSE	ɡ w iː ¹ + n d a ¹	ɡ w iː ¹ + n d a ¹
97	throw	jeter	Bangime		ɡwìjì							1456	THROW	ɡ w i ¹ dʒ i ¹	ɡ w i ¹ dʒ i ¹
99	must	devoir	Bangime		háá-ndì							971	MUST	h aː ⁵ + n d i ¹	h aː ⁵ + n d i ¹
100	comb or brush (hair)	peigner, brosser (cheveux)	Bangime		hāāsà							2070	COMB (VERB)	h aː ³ s a ¹	h aː ³ s a ¹
103	die	mourir	Bangime		jā-wɔ̀							1494	DIE	dʒ a ³ + w ɔ ¹	dʒ a ³ + w ɔ ¹
104	see	voir	Bangime		jāà							1409	SEE	dʒ aː ³¹	dʒ aː ³¹
107	forgive, pardon	pardonner	Bangime		jààpī-nà							1528	FORGIVE	dʒ aː ¹ p i ³ + n a ¹	dʒ aː ¹ p i ³ + n a ¹
108	cut (sth)	couper (qch)	Bangime		jāɡà (1)							1432	CUT	dʒ a ³ ɡ a ¹ #	dʒ a ³ ɡ a ¹ #
110	cross, go across (street, river)	traverser (chemin, fleuve)	Bangime		jāɡà (3)							1367	CROSS	dʒ a ³ ɡ a ¹ #	dʒ a ³ ɡ a ¹ #
111	blink (eyes)	cligner des yeux	Bangime		jāɡà (4)							1655	BLINK	dʒ a ³ ɡ a ¹ #	dʒ a ³ ɡ a ¹ #
114	ruin, damage (sth)	gâter	Bangime		jàwⁿɔ̀							1116	DAMAGE	dʒ a ¹ w̃ ∼ ɔ ¹	dʒ a ¹ w̃ ∼ ɔ ¹
116	fart (v)	péter	Bangime		jàwɔ̀							1159	FART	dʒ a ¹ w ɔ ¹	dʒ a ¹ w ɔ ¹
117	do	faire	Bangime		jē-rò (1)							813	DO	dʒ e ³ + r o ¹ #	dʒ e ³ + r o ¹ #
118	get up	se lever	Bangime		jē-rò (2)							1512	RISE (ONESELF)	dʒ e ³ + r o ¹ #	dʒ e ³ + r o ¹ #
119	become, turn into (sth)	devenir (qch)	Bangime		jē-rò (3)							1990	BECOME	dʒ e ³ + r o ¹ #	dʒ e ³ + r o ¹ #
120	call	appeler	Bangime		jèndò							1084	CALL	dʒ e ¹ n d o ¹	dʒ e ¹ n d o ¹
121	(griot) call out the ancestor’s names of (a noble, in praise)	(griot) crier les noms des ancêtres de (qn, pour le flatter)	Bangime		jɛ̀mbì-jɛ̀							1687	PRAISE	dʒ ɛ ¹ m b i ¹ + dʒ ɛ ¹	dʒ ɛ ¹ m b i ¹ + dʒ ɛ ¹
122	swim	nager	Bangime		jìnà							1439	SWIM	dʒ i ¹ n a ¹	dʒ i ¹ n a ¹
123	fan; swing (burner) vertically to get coals hot	éventer, ventiler; faire tourner (fourneau) sur le plan vertical afin de chauffer les braises	Bangime		jìrì-ŋɡà							360	FAN ACTION	dʒ i ¹ r i ¹ + ŋ ɡ a ¹	dʒ i ¹ r i ¹ + ŋ ɡ a ¹
124	fine (sb)	amender (qn)	Bangime		jòŋò-ndà (1)							218	FINE (PENALTY)	dʒ o ¹ ŋ o ¹ + n d a ¹ #	dʒ o ¹ ŋ o ¹ + n d a ¹ #
129	dance	danser	Bangime		jūm-bà							1879	DANCE	dʒ u ³ m + b a ¹	dʒ u ³ m + b a ¹
130	pull	tirer (sur)	Bangime		jùmbàà							1455	PULL	dʒ u ¹ m b aː ¹	dʒ u ¹ m b aː ¹
132	hang up, hook	accrocher, suspendre	Bangime		jūn-dà							357	HANG UP	dʒ u ³ n + d a ¹	dʒ u ³ n + d a ¹
133	kill	tuer	Bangime		jūrà							1417	KILL	dʒ u ³ r a ¹	dʒ u ³ r a ¹
134	shave (sb’s head)	raser (la tête de qn)	Bangime		kàà-rà							231	SHAVE	k aː ¹ + r a ¹	k aː ¹ + r a ¹
135	(sb) be sure, certain (of sth)	(qn) être sur (de qch)	Bangime		kàà-ntɛ̀ɛ̀							509	CERTAIN	k aː ¹ + n t ɛː ¹	k aː ¹ - - - + n t ɛː ¹ - -
136	scratch, abrade	gratter, érafler	Bangime		kàɡà-jà (1)							1436	SCRATCH	k a ¹ ɡ a ¹ + dʒ a ¹ #	k a ¹ ɡ a ¹ + dʒ a ¹ #
138	follow, go/come after (sb, sth)	suivre, succéder à (qch, qn)	Bangime		kām-bà							1085	FOLLOW	k a ³ m + b a ¹	k a ³ m + b a ¹
139	hold by squeezing, pinch	tenir en serrant, pincer	Bangime		kàmbà							378	PINCH	k a ¹ m b a ¹	k a ¹ m b a ¹
142	get, find	obtenir, gagner	Bangime		kārà							719	FIND	k a ³ r a ¹	k a ³ r a ¹
143	pound (moistened dough); pound (onions, spices, meat)	piler (pâte mouillée); piler légèrement (oignons, épices, viande)	Bangime		kàrà-bà							354	POUND	k a ¹ r a ¹ + b a ¹	k a ¹ r a ¹ + b a ¹
146	read	lire	Bangime		kàr-ndà (2)							724	READ	k a ¹ r + n d a ¹ #	k a ¹ r + n d a ¹ #
147	teach (at school)	enseigner (à l'école)	Bangime		kàr-ndà (3)							709	TEACH	k a ¹ r + n d a ¹ #	k a ¹ r + n d a ¹ #
148	say	dire	Bangime		kéndé							1458	SAY	k e ⁵ n d e ⁵	k e ⁵ n d e ⁵
149	uncover (sb, sth), open (door, container)	découvrir (qch, qn), ouvrir (porte, récipient)	Bangime		kèwòò							1156	OPEN	k e ¹ w oː ¹	k e ¹ w oː ¹ - - - -
150	uncover (sb, sth), open (door, container)	découvrir (qch, qn), ouvrir (porte, récipient)	Bangime		kèwò-rò							1108	UNCOVER	k e ¹ w o ¹ + r o ¹	k e ¹ w o ¹ + r o ¹
155	spin (cotton)	filer (coton)	Bangime		kɛ̀rndɛ̀ (2)							121	SPIN	k ɛ ¹ r n d ɛ ¹ #	k ɛ ¹ r n d ɛ ¹ #
156	spin (cotton thread)	filer (fil de coton)	Bangime		kɛ̀rⁿɛ̀							1445	TURN (SOMETHING)	k ɛ ¹ r̃ ∼ ɛ ¹	k ɛ ¹ r̃ ∼ ɛ ¹
157	reply	répondre	Bangime		kììjà								!REPLY	k iː ¹ dʒ a ¹	k iː ¹ dʒ a ¹
158	dig	creuser	Bangime		kììndù							1418	DIG	k iː ¹ n d u ¹	k iː ¹ n d u ¹
160	kneel	s'agenouiller	Bangime		kìŋɡò							66	KNEEL	k i ¹ ŋ ɡ o ¹	k i ¹ ŋ ɡ o ¹
165	scratch (lightly)	gratter (légèrement)	Bangime		kɔ̀ɡɔ̀jɔ̀								!ITCH (V.)	k ɔ ¹ ɡ ɔ ¹ dʒ ɔ ¹	k ɔ ¹ ɡ ɔ ¹ dʒ ɔ ¹
168	pick up	prendre	Bangime		kɔ̀mbɛ̀							371	PICK UP	k ɔ ¹ m b ɛ ¹	k ɔ ¹ m b ɛ ¹
169	snap, break off (sth)	casser, enlever en cassant	Bangime		kɔ̄n-dɔ̀								!SNAP (OFF)	k ɔ ³ n + d ɔ ¹	k ɔ ³ n + d ɔ ¹
172	(baby) crawl	(enfant) ramper, marcher à quatre pattes	Bangime		kɔ̀ŋɔ̀ndɔ̀							96	CRAWL	k ɔ ¹ ŋ ɔ ¹ n d ɔ ¹	k ɔ ¹ ŋ ɔ ¹ n d ɔ ¹
173	rake (st); clean up (field, before planting)	ratisser; nettoyer (champs, avant de semer)	Bangime		kɔ̀ɔ̀rɔ̀							338	RAKE	k ɔː ¹ r ɔ ¹	k ɔː ¹ r ɔ ¹
175	circumcise (boy)	circoncire (garçon)	Bangime		kɔ̀rndɔ̀ (2)							393	CIRCUMCISION	k ɔ ¹ r n d ɔ ¹ #	k ɔ ¹ r n d ɔ ¹ #
177	repeat (sth)	répéter (qch)	Bangime		kɔ̄rɔ̀ (2)							880	REPEAT	k ɔ ³ r ɔ ¹ #	k ɔ ³ r ɔ ¹ #
179	steal	voler, dérober	Bangime		kùjⁿɛ̀rɛ̀							713	STEAL	k u ¹ j̃ ∼ ɛ ¹ r ɛ ¹	k u ¹ j̃ ∼ ɛ ¹ r ɛ ¹
180	carry (baby, sack) on back	porter (enfant, sac) au dos	Bangime		kùmbò (1)							465	CARRY ON BACK	k u ¹ m b o ¹ #	k u ¹ m b o ¹ #
181	look for (sth, sb)	chercher (qn, qch)	Bangime		kùmbò (2)							1468	LOOK FOR	k u ¹ m b o ¹ #	k u ¹ m b o ¹ #
182	walk around, take a walk	se promener	Bangime		kùmbò (3)							2890	WALK (TAKE A WALK)	k u ¹ m b o ¹ #	k u ¹ m b o ¹ #
185	give birth; (plant) bear (fruit)	accoucher; (plante) donner (fruit)	Bangime		kūrà (1)							1195	GIVE BIRTH	k u ³ r a ¹ #	k u ³ r a ¹ #
186	be born	naître	Bangime		kūrà (2)							1090	BE BORN	k u ³ r a ¹ #	k u ³ r a ¹ #
189	roll up (e.g. mat); fold (paper, mat)	enrouler (natte etc.); plier (papier, natte)	Bangime		kùrù-mà								!ROLL UP	k u ¹ r u ¹ + m a ¹	k u ¹ r u ¹ + m a ¹
190	(night) fall	(nuit) tomber	Bangime		kùwⁿɔ̀ (1)							2297	DUSK	k u ¹ w̃ ∼ ɔ ¹ #	k u ¹ w̃ ∼ ɔ ¹ #
191	(rain) thunder	(pluie) tonner	Bangime		kùwⁿɔ̀ (2)							2378	THUNDER (VERB)	k u ¹ w̃ ∼ ɔ ¹ #	k u ¹ w̃ ∼ ɔ ¹ #
193	be able to, can (do)	pouvoir (faire)	Bangime		kwàà (1)							972	BE ABLE	k w aː ¹ #	k w aː ¹ #
194	beg	quémander, mendier	Bangime		kwàà (2)							1828	ASK (REQUEST)	k w aː ¹ #	k w aː ¹ #
195	cover (sb, with blanket)	couvrir (qn, avec une couverture)	Bangime		kwìjì								!ENCLOSE	k w i ¹ dʒ i ¹	k w i ¹ dʒ i ¹
197	govern, administer, rule over	gouverner, commander	Bangime		lààmà							382	GOVERN	l aː ¹ m a ¹	l aː ¹ m a ¹
198	laugh	rire	Bangime		màà							1355	LAUGH	m aː ¹	m aː ¹
199	want	vouloir	Bangime		māà							1784	WANT	m aː ³¹	m aː ³¹
200	build	construire	Bangime		màà-rà							1840	BUILD	m aː ¹ + r a ¹	m aː ¹ + r a ¹
201	shake	secouer	Bangime		māɡà							1909	SHAKE	m a ³ ɡ a ¹	m a ³ ɡ a ¹
203	add	ajouter	Bangime		màŋɡàà (1)							2882	ADD	m a ¹ ŋ ɡ aː ¹ #	m a ¹ ŋ ɡ aː ¹ #
204	(sb) assemble (people)	(qn) rassembler (les gens)	Bangime		màŋɡàà (2)							1831	MEET	m a ¹ ŋ ɡ aː ¹ #	m a ¹ ŋ ɡ aː ¹ #
207	select, choose, pick out	choisir	Bangime		mɛ̀ndɛ̀ (1)							1750	CHOOSE	m ɛ ¹ n d ɛ ¹ #	m ɛ ¹ n d ɛ ¹ #
211	think	penser, réfléchir	Bangime		mììndà							2271	THINK	m iː ¹ n d a ¹	m iː ¹ n d a ¹
214	swallow	avaler	Bangime		mīn-dà							897	SWALLOW	m i ³ n + d a ¹	m i ³ n + d a ¹
215	go in	entrer	Bangime		mīndè							749	ENTER	m i ³ n d e ¹	m i ³ n d e ¹
216	rot, stink	pourrir, puer	Bangime		mɔ̄ɡɔ̀							2907	ROT	m ɔ ³ ɡ ɔ ¹	m ɔ ³ ɡ ɔ ¹
218	squeeze, wring	serrer, essorer	Bangime		mɔ̀jⁿɛ̀							1414	SQUEEZE	m ɔ ¹ j̃ ∼ ɛ ¹	m ɔ ¹ j̃ ∼ ɛ ¹
219	suck	sucer	Bangime		mɔ̀nʤɛ̀							1421	SUCK	m ɔ ¹ n dʒ ɛ ¹	m ɔ ¹ n dʒ ɛ ¹
220	castrate	castrer	Bangime		mɔ̀ɔ̀lɔ̀							29	GELD	m ɔː ¹ l ɔ ¹	m ɔː ¹ l ɔ ¹
221	come in	entrer en venant	Bangime		mūn-dà (1)								!COME INSIDE	m u ³ n + d a ¹ #	m u ³ n + d a ¹ #
223	put on (pants)	mettre, porter (pantalon)	Bangime		mùndà (1)							158	PUT ON	m u ¹ n d a ¹ #	m u ¹ n d a ¹ #
224	braid (a girl)	tresser (une fille)	Bangime		mùndà (2)							1729	PLAIT OR BRAID OR WEAVE	m u ¹ n d a ¹ #	m u ¹ n d a ¹ #
227	moisten (garments, earth for construction	mouiller (vêtements, banco)	Bangime		mùwⁿɔ̀-rɔ̀							28	MOISTEN	m u ¹ w̃ ∼ ɔ ¹ + r ɔ ¹	m u ¹ w̃ ∼ ɔ ¹ + r ɔ ¹
229	come up	venir en montant	Bangime		nā-wɔ̀								!COME UP	n a ³ + w ɔ ¹	n a ³ + w ɔ ¹
230	stone-grind (e.g. grain); crush (sth, sb)	écraser (céréales etc.) avec des pierres; êcraser (qn, qch)	Bangime		nām-bà							1520	CRUSH	n a ³ m + b a ¹	n a ³ m + b a ¹
231	post, affix	afficher (qch)	Bangime		nārà								!STICK (V.)	n a ³ r a ¹	n a ³ r a ¹
232	give	donner	Bangime		nāẁⁿ							1447	GIVE	n a ³ w̃ ∼ ¹	n a ³ w̃ ∼ ¹
233	guard, watch over (e.g. garden, children)	garder, surveiller (jardin, enfants)	Bangime		nɛ̀bɛ̀								!GUARD (V.)	n ɛ ¹ b ɛ ¹	n ɛ ¹ b ɛ ¹
234	put up, load	faire monter, charger	Bangime		nɛ̄ɡɛ̀							1679	LOAD	n ɛ ³ ɡ ɛ ¹	n ɛ ³ ɡ ɛ ¹
235	lock (door)	boucler (porte)	Bangime		nɛ̀ŋɛ̀ndɛ̀								!LOCK (V.)	n ɛ ¹ ŋ ɛ ¹ n d ɛ ¹	n ɛ ¹ ŋ ɛ ¹ n d ɛ ¹
237	groan; (rain) thunder	gémir; (pluie) tonner	Bangime		nīɡù							716	GROAN	n i ³ ɡ u ¹	n i ³ ɡ u ¹
238	breathe	respirer	Bangime		nììrù							1407	BREATHE	n iː ¹ r u ¹	n iː ¹ r u ¹
239	greet	saluer	Bangime		nìjɛ̀-rɛ̀								!GREET	n i ¹ dʒ ɛ ¹ + r ɛ ¹	n i ¹ dʒ ɛ ¹ + r ɛ ¹
240	say	dire	Bangime		nìŋà								!TALK	n i ¹ ŋ a ¹	n i ¹ ŋ a ¹
241	hear (sound); detect (odor)	entendre (son); sentir (odeur)	Bangime		nō-rè							1408	HEAR	n o ³ + r e ¹	n o ³ + r e ¹
242	come	venir	Bangime		nōò							1446	COME	n oː ³¹	n oː ³¹
243	fix	réparer, régler	Bangime		nùùwⁿà							2243	REPAIR	n uː ¹ w̃ ∼ a ¹	n uː ¹ w̃ ∼ a ¹
244	pick up, take	prendre	Bangime		ɲà-rⁿà							1749	TAKE	ɲ a ¹ + r̃ ∼ a ¹	ɲ a ¹ + r̃ ∼ a ¹
245	sleep	dormir	Bangime		ɲām-bà (1)							1585	SLEEP	ɲ a ³ m + b a ¹ #	ɲ a ³ m + b a ¹ #
